mode,seed,outer,loss,wall_s
physics,2,0,0.00465631677687996,55.3
physics,2,1,0.0018967676225565865,55.5
physics,2,2,0.0013504997422608904,56.8
physics,2,3,0.001052757427468587,59.0
physics,2,4,0.0008292730646861542,64.3
physics,2,5,0.0006927424263296838,55.2
physics,2,6,0.0005964153872984334,60.0
physics,2,7,0.0005027698669192309,46.9
physics,2,8,0.00042846400137893254,56.0
physics,2,9,0.0003671303225387056,68.9
physics,2,10,0.00031073826071042245,93.6
physics,2,11,0.0002654093977846028,72.5
physics,2,12,0.00023129750920252424,83.2
physics,2,13,0.00019960057280947685,75.8
physics,2,14,0.00017617378859924679,76.6
physics,2,15,0.000159246364663301,49.4
physics,2,16,0.00014682834917754644,17.0
physics,2,17,0.00013689152488161472,8.7
physics,2,18,0.00012821928920392383,8.4
physics,2,19,0.00012054943189211551,8.1
physics,2,20,0.00011369383299591145,8.5
physics,2,21,0.00010784751489176536,7.3
physics,2,22,0.00010332483389308245,6.4
physics,2,23,9.920894894374558e-05,6.3
physics,2,24,9.537695319079453e-05,6.3
physics,2,25,9.192315278301864e-05,6.1
physics,2,26,8.84101662796738e-05,7.0
physics,2,27,8.509726891119485e-05,8.0
physics,2,28,8.172645169350832e-05,6.2
physics,2,29,7.902664113216899e-05,6.2
physics,2,30,7.616816100767927e-05,6.1
physics,2,31,7.361386335707598e-05,6.3
physics,2,32,7.136022989241876e-05,6.4
physics,2,33,6.897713643033896e-05,6.3
physics,2,34,6.639643936143655e-05,6.3
physics,2,35,6.435262604255632e-05,6.2
physics,2,36,6.237731150259764e-05,6.2
physics,2,37,6.050590712213135e-05,6.2
physics,2,38,5.8591843422498585e-05,6.4
physics,2,39,5.674399614973584e-05,6.2
physics,2,40,5.475909034781464e-05,6.4
physics,2,41,5.312237758232853e-05,6.3
physics,2,42,5.1466028615940257e-05,6.5
physics,2,43,5.001588961659523e-05,6.3
physics,2,44,4.8673488175679744e-05,6.3
physics,2,45,4.7429180446952495e-05,6.1
physics,2,46,4.625828967471186e-05,6.4
physics,2,47,4.5208906625033306e-05,6.3
physics,2,48,4.4170687755784214e-05,6.3
physics,2,49,4.3198722341152776e-05,6.7
physics,2,50,4.230391426759754e-05,5.9
physics,2,51,4.148079387880339e-05,5.9
physics,2,52,4.073754244985212e-05,5.8
physics,2,53,4.003902031514971e-05,6.2
physics,2,54,3.937356210847294e-05,6.0
physics,2,55,3.875263306098195e-05,6.5
physics,2,56,3.806312066272702e-05,6.5
physics,2,57,3.746935835526498e-05,6.3
physics,2,58,3.6964276203172943e-05,6.3
physics,2,59,3.639086396762411e-05,6.1
physics,2,60,3.5843706694318924e-05,6.5
physics,2,61,3.5291765707904923e-05,6.5
physics,2,62,3.4745273041738565e-05,6.1
physics,2,63,3.413717119020459e-05,6.3
physics,2,64,3.357488959913788e-05,6.4
physics,2,65,3.2978685125938724e-05,6.2
physics,2,66,3.2493010061218964e-05,6.2
physics,2,67,3.198735293787319e-05,6.3
physics,2,68,3.1441618268184444e-05,6.3
physics,2,69,3.098220399381754e-05,6.2
physics,2,70,3.0532531564097296e-05,6.1
physics,2,71,3.0105755914123587e-05,6.1
physics,2,72,2.9709577525114984e-05,6.1
physics,2,73,2.9238814157489727e-05,6.3
physics,2,74,2.8802767101047674e-05,6.3
physics,2,75,2.8341892453353696e-05,6.4
physics,2,76,2.7875163477517523e-05,6.2
physics,2,77,2.748813265271188e-05,6.0
physics,2,78,2.7119882363264884e-05,6.3
physics,2,79,2.6731449224362186e-05,6.1
physics,2,80,2.6336740669836993e-05,6.2
physics,2,81,2.5955968768500056e-05,6.0
physics,2,82,2.5573137945434132e-05,6.2
physics,2,83,2.5226389563078358e-05,6.1
physics,2,84,2.4863284390721448e-05,6.1
physics,2,85,2.4496124133982533e-05,6.2
physics,2,86,2.4160101887879097e-05,6.3
physics,2,87,2.3820100895203503e-05,6.2
physics,2,88,2.3480666120030366e-05,6.1
physics,2,89,2.3154272483730026e-05,6.0
physics,2,90,2.2808335650621696e-05,6.3
physics,2,91,2.2459915833846233e-05,6.2
physics,2,92,2.2161577628126367e-05,6.3
physics,2,93,2.184947714092191e-05,6.2
physics,2,94,2.155710707221429e-05,6.3
physics,2,95,2.125617957093431e-05,6.0
physics,2,96,2.09914315279052e-05,5.9
physics,2,97,2.0712196853406322e-05,5.7
physics,2,98,2.039129018768801e-05,6.4
physics,2,99,2.0074732117075946e-05,6.2
physics,2,100,1.9719625500892996e-05,6.3
physics,2,101,1.940710636680399e-05,6.1
physics,2,102,1.910653062667821e-05,6.1
physics,2,103,1.8834502788189544e-05,6.3
physics,2,104,1.8595044131489716e-05,5.9
physics,2,105,1.831999285604421e-05,6.1
physics,2,106,1.808833094227491e-05,6.2
physics,2,107,1.7885595069062537e-05,6.3
physics,2,108,1.7662361292734853e-05,6.3
physics,2,109,1.745613706177453e-05,6.5
physics,2,110,1.7247125379970813e-05,6.6
physics,2,111,1.702950240546341e-05,6.1
physics,2,112,1.6804631721837574e-05,6.2
physics,2,113,1.6577209845257477e-05,6.4
physics,2,114,1.6376736738049484e-05,6.0
physics,2,115,1.61664849219922e-05,6.1
physics,2,116,1.5932142261380538e-05,6.1
physics,2,117,1.5729619630508376e-05,6.4
physics,2,118,1.553744338344167e-05,6.4
physics,2,119,1.5338722794367613e-05,6.5
physics,2,120,1.5151643459457583e-05,5.8
physics,2,121,1.496531521810161e-05,6.1
physics,2,122,1.4782839584043868e-05,5.9
physics,2,123,1.4607136179089978e-05,6.5
physics,2,124,1.4428410868892341e-05,6.2
physics,2,125,1.4248286836567075e-05,6.3
physics,2,126,1.4058439863796723e-05,6.2
physics,2,127,1.3879949193717216e-05,6.3
physics,2,128,1.370641924947354e-05,6.4
physics,2,129,1.3541725963409424e-05,6.1
physics,2,130,1.3369590825015385e-05,6.0
physics,2,131,1.322056405991399e-05,6.6
physics,2,132,1.3075269797621502e-05,6.7
physics,2,133,1.294003973514499e-05,7.0
physics,2,134,1.280399330820518e-05,6.7
physics,2,135,1.2674830865076514e-05,6.5
physics,2,136,1.252861672643747e-05,7.8
physics,2,137,1.2379824818260268e-05,8.4
physics,2,138,1.2237858686090118e-05,7.0
physics,2,139,1.2092851553955966e-05,9.0
physics,2,140,1.1954523090567136e-05,6.6
physics,2,141,1.1827683607849707e-05,6.8
physics,2,142,1.1703235363886576e-05,6.9
physics,2,143,1.159140830498224e-05,7.2
physics,2,144,1.148165949184086e-05,6.7
physics,2,145,1.1480601747870391e-05,23.2
physics,2,146,1.1479997971052339e-05,10.4
