mode,seed,outer,loss,wall_s
data,0,0,0.01305431838469803,37.3
data,0,1,0.005035907375763577,72.3
data,0,2,0.0024835490741987724,48.6
data,0,3,0.001098866015774653,36.2
data,0,4,0.0007125351028395879,84.8
data,0,5,0.0005237628466796669,47.1
data,0,6,0.00038956698156175466,21.2
data,0,7,0.00030426507056147145,17.1
data,0,8,0.0002460937537934715,13.7
data,0,9,0.00020222481533358895,19.2
data,0,10,0.00017420296958640976,25.6
data,0,11,0.0001526326235899072,16.9
data,0,12,0.0001358504490455429,17.5
data,0,13,0.00012282222720722485,16.8
data,0,14,0.00011260417205539517,19.3
data,0,15,0.00010284103633817777,14.0
data,0,16,9.412487365337792e-05,17.5
data,0,17,8.66134224474076e-05,18.8
data,0,18,8.033774258449104e-05,18.5
data,0,19,7.508374575859526e-05,18.6
data,0,20,7.059938566525875e-05,19.5
data,0,21,6.596474329764232e-05,17.1
data,0,22,6.224352928762398e-05,19.7
data,0,23,5.8931155410534914e-05,11.8
data,0,24,5.551025427870998e-05,16.6
data,0,25,5.2258275071845645e-05,16.2
data,0,26,4.963796657898371e-05,16.2
data,0,27,4.7519032479575294e-05,17.4
data,0,28,4.5354356872381445e-05,14.1
data,0,29,4.3071762672535154e-05,14.9
data,0,30,4.123333990407915e-05,15.1
data,0,31,3.950935285907629e-05,15.4
data,0,32,3.778224830135716e-05,16.8
data,0,33,3.619010429162773e-05,12.0
data,0,34,3.481067500303648e-05,13.0
data,0,35,3.335638724032518e-05,11.7
data,0,36,3.195742955410586e-05,14.4
data,0,37,3.0726348011565505e-05,12.4
data,0,38,2.9688958273911036e-05,10.9
data,0,39,2.8624023539089215e-05,15.0
data,0,40,2.7684421938619387e-05,17.0
data,0,41,2.6760523288189952e-05,10.5
data,0,42,2.5906628006658235e-05,19.8
data,0,43,2.512323863650806e-05,11.9
data,0,44,2.4274017020364544e-05,11.2
data,0,45,2.3536730291048063e-05,13.8
data,0,46,2.2906560555628737e-05,14.4
data,0,47,2.2332138382297275e-05,13.8
data,0,48,2.165613221116883e-05,14.5
data,0,49,2.105958773076558e-05,12.0
data,0,50,2.051071624262802e-05,11.1
data,0,51,1.9988338182950094e-05,12.5
data,0,52,1.9560650696988515e-05,12.0
data,0,53,1.9064272271522527e-05,13.5
data,0,54,1.863154209636009e-05,13.9
data,0,55,1.818496506142999e-05,18.7
data,0,56,1.7731647064619554e-05,18.7
data,0,57,1.7321046802757114e-05,16.9
data,0,58,1.691574196271136e-05,22.4
data,0,59,1.650638888034175e-05,11.3
data,0,60,1.6098852977032723e-05,20.8
data,0,61,1.569788934854613e-05,21.2
data,0,62,1.539770616267111e-05,24.7
data,0,63,1.5119620164492895e-05,21.3
data,0,64,1.4794094259142496e-05,9.3
data,0,65,1.4531328887898114e-05,13.4
data,0,66,1.4273710011044716e-05,18.1
data,0,67,1.3975417697026199e-05,19.2
data,0,68,1.3706336802658019e-05,15.8
data,0,69,1.3422136142179271e-05,17.7
data,0,70,1.3166313990568754e-05,79.5
data,0,71,1.2905490182475713e-05,84.4
data,0,72,1.2646205135601165e-05,19.7
data,0,73,1.2419669510369476e-05,14.5
data,0,74,1.217284346928753e-05,19.8
data,0,75,1.1937017064593146e-05,15.7
data,0,76,1.1754946120437173e-05,20.0
data,0,77,1.1550208685808008e-05,48.6
data,0,78,1.1350954459976034e-05,35.5
data,0,79,1.1148057572569373e-05,14.4
data,0,80,1.0937180431508907e-05,14.9
data,0,81,1.0711941526164124e-05,17.3
data,0,82,1.0524894111781283e-05,23.7
data,0,83,1.0343999343660591e-05,12.7
data,0,84,1.015779127963252e-05,16.8
data,0,85,9.979852812725771e-06,12.6
data,0,86,9.821121722014088e-06,16.3
data,0,87,9.668247828545916e-06,13.6
data,0,88,9.49847668597136e-06,18.7
data,0,89,9.347993973320352e-06,17.2
data,0,90,9.206844593393878e-06,12.4
data,0,91,9.049692836791234e-06,18.2
data,0,92,8.908684513624956e-06,6.1
data,0,93,8.765573533405643e-06,16.8
data,0,94,8.63554390693549e-06,22.5
data,0,95,8.51767627418299e-06,128.2
data,0,96,8.39007733627039e-06,117.2
data,0,97,8.277537893732899e-06,37.4
data,0,98,8.17038932914979e-06,18.3
data,0,99,8.068391615016883e-06,22.6
data,0,100,7.950384221713033e-06,10.2
data,0,101,7.842298235173054e-06,13.1
data,0,102,7.72774650971967e-06,27.4
data,0,103,7.629110084493178e-06,25.2
data,0,104,7.527829356108545e-06,33.5
data,0,105,7.425705172246823e-06,29.1
data,0,106,7.318748106716218e-06,17.2
data,0,107,7.214061569390636e-06,108.2
data,0,108,7.123578012159942e-06,25.8
data,0,109,7.0340669901279545e-06,18.0
data,0,110,6.939526013657064e-06,32.9
data,0,111,6.846223366698039e-06,30.0
data,0,112,6.746980044673007e-06,30.2
data,0,113,6.649883849265362e-06,11.2
data,0,114,6.556744955158561e-06,12.5
data,0,115,6.458496943587349e-06,31.6
data,0,116,6.3673677891381224e-06,16.0
data,0,117,6.289090803009693e-06,12.8
data,0,118,6.207245870655156e-06,16.1
data,0,119,6.125750842768244e-06,70.4
data,0,120,6.039941928756788e-06,64.1
data,0,121,5.959412923265789e-06,13.5
data,0,122,5.8865142176201e-06,46.5
data,0,123,5.813379441118704e-06,28.0
data,0,124,5.740405669760893e-06,51.2
data,0,125,5.666289036313969e-06,42.2
data,0,126,5.595234483767341e-06,69.6
data,0,127,5.526760276006614e-06,73.0
data,0,128,5.4523714720300455e-06,35.4
data,0,129,5.381886094722329e-06,7.0
data,0,130,5.315120306347675e-06,42.7
data,0,131,5.245804865560899e-06,45.8
data,0,132,5.179755691910294e-06,46.0
data,0,133,5.130868696845629e-06,17.4
data,0,134,5.129085385785286e-06,14.9
data,0,135,5.12899241915194e-06,12.5
data,0,136,5.128914167920659e-06,6.8
