mode,seed,phase,outer,loss,wall_s
data,2,stall,0,0.007045530833173042,4.2
data,2,stall,1,0.004093744524074551,4.5
data,2,stall,2,0.002539094996974393,4.6
data,2,stall,3,0.0013746982362917272,4.6
data,2,stall,4,0.0009669343959709266,4.6
data,2,stall,5,0.0007225477376900083,4.6
data,2,stall,6,0.0005216124462048724,4.7
data,2,stall,7,0.00039738598188401224,4.6
data,2,stall,8,0.0003122497874729024,4.7
data,2,stall,9,0.0002612052327480356,4.7
data,2,stall,10,0.0002248058806709035,4.7
data,2,stall,11,0.00019697816548909733,4.7
data,2,stall,12,0.00017482694402383065,4.7
data,2,stall,13,0.00015565013597002245,4.8
data,2,stall,14,0.00013984041510727032,4.7
data,2,stall,15,0.00012604256557743494,4.7
data,2,stall,16,0.00011608942527459419,4.8
data,2,stall,17,0.00010758969232855685,4.7
data,2,stall,18,0.00010093708594513037,4.7
data,2,stall,19,9.462179389030046e-05,4.7
data,2,stall,20,8.817125482694044e-05,4.8
data,2,stall,21,8.269974707339447e-05,4.7
data,2,stall,22,7.821376587135011e-05,4.8
data,2,stall,23,7.3703564714743e-05,4.8
data,2,stall,24,6.956805064056858e-05,4.8
data,2,stall,25,6.572395327814745e-05,4.7
data,2,stall,26,6.219208190698628e-05,4.6
data,2,stall,27,5.8704284385859065e-05,4.7
data,2,stall,28,5.556505571901049e-05,4.7
data,2,stall,29,5.270372097882432e-05,4.8
data,2,stall,30,5.019239633440642e-05,4.7
data,2,stall,31,4.782659084690547e-05,4.8
data,2,stall,32,4.541412317690423e-05,4.7
data,2,stall,33,4.3110224651137345e-05,4.7
data,2,stall,34,4.117387743292241e-05,4.8
data,2,stall,35,3.941683852092584e-05,4.7
data,2,stall,36,3.7841117537008615e-05,4.7
data,2,stall,37,3.6294012057051025e-05,4.7
data,2,stall,38,3.470653959893777e-05,4.8
data,2,stall,39,3.335997710087069e-05,4.8
data,2,stall,40,3.211289540200999e-05,4.8
data,2,stall,41,3.097359472391608e-05,4.8
data,2,stall,42,2.9912070023728323e-05,4.8
data,2,stall,43,2.8934151741990173e-05,4.8
data,2,stall,44,2.7824561854417134e-05,4.7
data,2,stall,45,2.693158377594495e-05,4.8
data,2,stall,46,2.5993434690102537e-05,4.8
data,2,stall,47,2.5014566702600023e-05,4.8
data,2,stall,48,2.4140389833533563e-05,4.7
data,2,stall,49,2.3381463044948432e-05,4.8
data,2,stall,50,2.2686387969957023e-05,4.8
data,2,stall,51,2.1982096271310772e-05,5.0
data,2,stall,52,2.1254820005913415e-05,4.8
data,2,stall,53,2.0651229467117284e-05,4.7
data,2,stall,54,2.007306608804236e-05,4.7
data,2,stall,55,1.9476001590389273e-05,4.8
data,2,stall,56,1.886218332717202e-05,4.7
data,2,stall,57,1.8315965659388647e-05,4.8
data,2,stall,58,1.781366812945134e-05,4.8
data,2,stall,59,1.7347543143236447e-05,4.7
data,2,stall,60,1.6828031055098382e-05,4.8
data,2,stall,61,1.6356962017038595e-05,4.8
data,2,stall,62,1.5897338835116944e-05,4.8
data,2,stall,63,1.5451674280228466e-05,4.7
data,2,stall,64,1.5069513215522149e-05,4.7
data,2,stall,65,1.4671537845810946e-05,4.7
data,2,stall,66,1.4282151051607e-05,4.8
data,2,stall,67,1.3925093938490583e-05,4.8
data,2,stall,68,1.3606357103241795e-05,4.9
data,2,stall,69,1.3270873634363704e-05,4.8
data,2,stall,70,1.2931168270655627e-05,4.8
data,2,stall,71,1.2587297426267719e-05,4.8
data,2,stall,72,1.2305533816566032e-05,4.8
data,2,stall,73,1.1987181658568365e-05,4.8
data,2,stall,74,1.169569008161421e-05,4.7
data,2,stall,75,1.1391405891605487e-05,4.8
data,2,stall,76,1.1112937765933869e-05,4.9
data,2,stall,77,1.0828748477624887e-05,4.8
data,2,stall,78,1.0581995468324943e-05,4.8
data,2,stall,79,1.0314808063551959e-05,4.9
data,2,stall,80,1.0081750431710168e-05,4.8
data,2,stall,81,9.837689918038446e-06,4.8
data,2,stall,82,9.637520272623982e-06,4.8
data,2,stall,83,9.445951781956102e-06,4.8
data,2,stall,84,9.271147677550954e-06,4.8
data,2,stall,85,9.08577024061094e-06,4.9
data,2,stall,86,8.890850387640481e-06,4.7
data,2,stall,87,8.7268119285164e-06,4.8
data,2,stall,88,8.556110173660513e-06,4.7
data,2,stall,89,8.38939534850927e-06,4.7
data,2,stall,90,8.216617338717009e-06,4.7
data,2,stall,91,8.03912300940298e-06,4.8
data,2,stall,92,7.87723356256447e-06,4.7
data,2,stall,93,7.718354957355997e-06,4.8
data,2,stall,94,7.572324129169824e-06,4.7
data,2,stall,95,7.423359908046306e-06,4.7
data,2,stall,96,7.293740297678308e-06,4.8
data,2,stall,97,7.171773908216028e-06,4.7
data,2,stall,98,7.055405760015878e-06,4.8
data,2,stall,99,6.939974593836636e-06,4.8
data,2,stall,100,6.810534632032593e-06,4.8
data,2,stall,101,6.700135929659671e-06,4.8
data,2,stall,102,6.579322478584509e-06,4.8
data,2,stall,103,6.4767449282496e-06,4.9
data,2,stall,104,6.374712349931264e-06,4.9
data,2,stall,105,6.283847085744703e-06,4.9
data,2,stall,106,6.198044914929137e-06,5.1
data,2,stall,107,6.196292271810891e-06,4.8
data,2,stall,108,6.1952335454478615e-06,4.8
data,2,confirm,109,6.195063314095348e-06,4.0
data,2,confirm,110,6.194921564049233e-06,4.0
