mode,seed,phase,outer,loss,wall_s
data,3,stall,0,0.0029042885365456557,17.6
data,3,stall,1,0.0005870852340791653,17.7
data,3,stall,2,0.00023971234544389525,18.1
data,3,stall,3,0.00012341646706100673,17.9
data,3,stall,4,7.766608311771947e-05,18.5
data,3,stall,5,5.623793320646512e-05,18.2
data,3,stall,6,4.3471707548347526e-05,20.2
data,3,stall,7,3.447205013577367e-05,18.1
data,3,stall,8,2.8320845853131952e-05,18.6
data,3,stall,9,2.4073097538073285e-05,18.5
data,3,stall,10,2.0552033109813393e-05,18.4
data,3,stall,11,1.770461798594982e-05,19.5
data,3,stall,12,1.540252666294296e-05,18.2
data,3,stall,13,1.3648556937792466e-05,20.4
data,3,stall,14,1.199476640277687e-05,18.9
data,3,stall,15,1.0669847800905267e-05,18.9
data,3,stall,16,9.507779777494329e-06,18.7
data,3,stall,17,8.495456608815366e-06,18.3
data,3,stall,18,7.671996727861218e-06,18.6
data,3,stall,19,6.88021822136892e-06,18.6
data,3,stall,20,6.17079339091087e-06,18.4
data,3,stall,21,5.533106603499462e-06,20.6
data,3,stall,22,4.950260928617875e-06,19.9
data,3,stall,23,4.488275354675004e-06,20.3
data,3,stall,24,4.109048135824138e-06,19.4
data,3,stall,25,3.7649008069120935e-06,19.1
data,3,stall,26,3.4624942131941225e-06,18.6
data,3,stall,27,3.2029039865452242e-06,18.8
data,3,stall,28,2.970934657180651e-06,18.4
data,3,stall,29,2.7619164248370236e-06,18.7
data,3,stall,30,2.5723809329132426e-06,20.5
data,3,stall,31,2.3943122812554893e-06,20.0
data,3,stall,32,2.256416313236229e-06,18.4
data,3,stall,33,2.121237502712285e-06,19.4
data,3,stall,34,2.0044934860397787e-06,18.8
data,3,stall,35,1.891393683958429e-06,19.7
data,3,stall,36,1.7861942574669667e-06,19.3
data,3,stall,37,1.6908223000319446e-06,18.7
data,3,stall,38,1.6037537660717634e-06,19.0
data,3,stall,39,1.519983314172284e-06,20.5
data,3,stall,40,1.5011435736589744e-06,21.3
data,3,stall,41,1.5000457106140886e-06,18.1
data,3,stall,42,1.499263827507618e-06,18.1
data,3,confirm,43,1.49915556445163e-06,14.2
data,3,confirm,44,1.4990642450612428e-06,16.0
