mode,seed,phase,outer,loss,wall_s
physics,3,stall,0,0.0023874867163121505,30.6
physics,3,stall,1,0.001248123164694131,36.0
physics,3,stall,2,0.000816294934104955,34.5
physics,3,stall,3,0.0005541363909721873,34.3
physics,3,stall,4,0.0004044735384996237,35.8
physics,3,stall,5,0.0002804663157315241,34.1
physics,3,stall,6,0.00020048448995098718,34.8
physics,3,stall,7,0.00015636684392198328,34.8
physics,3,stall,8,0.0001275747225056873,34.5
physics,3,stall,9,0.00010716911453457837,37.5
physics,3,stall,10,9.209051895688099e-05,39.1
physics,3,stall,11,8.062639395249009e-05,41.4
physics,3,stall,12,7.177362025566193e-05,36.7
physics,3,stall,13,6.388280903632648e-05,35.3
physics,3,stall,14,5.766583773857492e-05,39.5
physics,3,stall,15,5.2426006150098716e-05,38.0
physics,3,stall,16,4.757106203340898e-05,37.9
physics,3,stall,17,4.338055155780158e-05,38.7
physics,3,stall,18,4.0468995703240466e-05,36.0
physics,3,stall,19,3.798852508909802e-05,34.1
physics,3,stall,20,3.552436200927652e-05,34.9
physics,3,stall,21,3.329644272409052e-05,32.0
physics,3,stall,22,3.128125518224132e-05,34.6
physics,3,stall,23,2.9336273747195364e-05,31.8
physics,3,stall,24,2.76128722758834e-05,33.7
physics,3,stall,25,2.595648002694382e-05,30.9
physics,3,stall,26,2.444844433939887e-05,32.5
physics,3,stall,27,2.2939752049521014e-05,32.2
physics,3,stall,28,2.1521867266652885e-05,27.7
physics,3,stall,29,2.0219310450919116e-05,29.2
physics,3,stall,30,1.891359156658071e-05,26.2
physics,3,stall,31,1.7626482895267532e-05,25.4
physics,3,stall,32,1.6679649262217964e-05,25.7
physics,3,stall,33,1.5790889751233136e-05,27.4
physics,3,stall,34,1.4983087921494174e-05,25.3
physics,3,stall,35,1.4173250742190253e-05,27.7
physics,3,stall,36,1.3417835480330034e-05,25.5
physics,3,stall,37,1.2724367076356327e-05,25.2
physics,3,stall,38,1.2055840151448083e-05,26.1
physics,3,stall,39,1.1398664394870878e-05,25.7
physics,3,stall,40,1.0842517993470544e-05,26.0
physics,3,stall,41,1.0315616116777434e-05,24.4
physics,3,stall,42,9.871693933316085e-06,24.4
physics,3,stall,43,9.447082845527772e-06,24.1
physics,3,stall,44,9.05066393213203e-06,24.7
physics,3,stall,45,8.674185318559132e-06,25.2
physics,3,stall,46,8.316738655588234e-06,24.9
physics,3,stall,47,7.96376870599841e-06,26.3
physics,3,stall,48,7.602136134752526e-06,24.5
physics,3,stall,49,7.284299116505393e-06,25.8
physics,3,stall,50,6.96093596058894e-06,24.6
physics,3,stall,51,6.651819287119957e-06,24.5
physics,3,stall,52,6.378286168299326e-06,25.2
physics,3,stall,53,6.1357245430107575e-06,24.6
physics,3,stall,54,5.903599183631034e-06,24.7
physics,3,stall,55,5.693815984234998e-06,23.8
physics,3,stall,56,5.488055935884599e-06,23.6
physics,3,stall,57,5.315693329612364e-06,23.5
physics,3,stall,58,5.129969969988963e-06,24.0
physics,3,stall,59,4.967587328430833e-06,23.2
physics,3,stall,60,4.797023355905181e-06,23.4
physics,3,stall,61,4.6445538034151925e-06,23.9
physics,3,stall,62,4.498224211263025e-06,24.2
physics,3,stall,63,4.362782137731475e-06,24.9
physics,3,stall,64,4.233933659062099e-06,23.4
physics,3,stall,65,4.121527635155245e-06,24.2
physics,3,stall,66,3.998118102534941e-06,23.9
physics,3,stall,67,3.878484918026278e-06,22.9
physics,3,stall,68,3.767785662864422e-06,23.3
physics,3,stall,69,3.664062966327133e-06,23.3
physics,3,stall,70,3.564228746260903e-06,21.8
physics,3,stall,71,3.4676054557597962e-06,21.2
physics,3,stall,72,3.3738029495586498e-06,21.2
physics,3,stall,73,3.28133232122224e-06,21.8
physics,3,stall,74,3.1874288339781164e-06,21.0
physics,3,stall,75,3.1009992211281655e-06,21.4
physics,3,stall,76,3.008193323921496e-06,22.0
physics,3,stall,77,2.921335185163477e-06,21.9
physics,3,stall,78,2.8418898339585966e-06,21.7
physics,3,stall,79,2.7607495507467197e-06,21.7
physics,3,stall,80,2.6794669652606666e-06,22.2
physics,3,stall,81,2.606209445087448e-06,22.1
physics,3,stall,82,2.537893871410594e-06,22.0
physics,3,stall,83,2.4695441151359254e-06,21.2
physics,3,stall,84,2.3993416262437723e-06,20.9
physics,3,stall,85,2.3354877382859614e-06,21.0
physics,3,stall,86,2.270163607616531e-06,21.2
physics,3,stall,87,2.2017699740860128e-06,21.6
physics,3,stall,88,2.1400088684394143e-06,20.8
physics,3,stall,89,2.0852884664824272e-06,20.6
physics,3,stall,90,2.0260943963023365e-06,20.7
physics,3,stall,91,2.0198274497236944e-06,20.6
physics,3,stall,92,2.0187639220479826e-06,19.9
physics,3,confirm,93,2.018620988478237e-06,17.5
physics,3,confirm,94,2.018503468539452e-06,17.8
