mode,seed,phase,outer,loss,wall_s
physics,1,stall,0,0.00027416869102329136,25.5
physics,1,stall,1,0.00013184237206067555,25.8
physics,1,stall,2,9.550819204739058e-05,26.1
physics,1,stall,3,7.253061074115813e-05,26.0
physics,1,stall,4,5.6174107788002985e-05,27.1
physics,1,stall,5,4.3660799985779395e-05,25.9
physics,1,stall,6,3.74166586303286e-05,27.5
physics,1,stall,7,3.185494080767027e-05,28.3
physics,1,stall,8,2.612554968775103e-05,27.0
physics,1,stall,9,2.1896443879271374e-05,25.7
physics,1,stall,10,1.8738077506671317e-05,26.5
physics,1,stall,11,1.618717646007545e-05,27.1
physics,1,stall,12,1.396933448034271e-05,25.4
physics,1,stall,13,1.2169250349926856e-05,25.9
physics,1,stall,14,1.0728524762242249e-05,25.7
physics,1,stall,15,9.476123530240123e-06,25.5
physics,1,stall,16,8.46522252153602e-06,25.8
physics,1,stall,17,7.637579797673241e-06,25.4
physics,1,stall,18,6.964087487022201e-06,26.6
physics,1,stall,19,6.386526955552523e-06,26.5
physics,1,stall,20,5.870539401272742e-06,26.6
physics,1,stall,21,5.389227886556732e-06,26.1
physics,1,stall,22,4.972885909177415e-06,27.6
physics,1,stall,23,4.617554846009166e-06,25.5
physics,1,stall,24,4.309363206833228e-06,26.0
physics,1,stall,25,4.051397776199898e-06,25.6
physics,1,stall,26,3.8059169159272647e-06,27.8
physics,1,stall,27,3.5730357882198696e-06,28.2
physics,1,stall,28,3.3692320828849423e-06,26.6
physics,1,stall,29,3.185388518576727e-06,27.5
physics,1,stall,30,3.009066391795538e-06,28.1
physics,1,stall,31,2.856103548170612e-06,27.8
physics,1,stall,32,2.7087429784575408e-06,27.4
physics,1,stall,33,2.5789677078572614e-06,28.3
physics,1,stall,34,2.460967645624584e-06,25.8
physics,1,stall,35,2.357736249436665e-06,25.7
physics,1,stall,36,2.2534429443582787e-06,26.9
physics,1,stall,37,2.158480186723823e-06,26.9
physics,1,stall,38,2.064441841216142e-06,27.8
physics,1,stall,39,1.980035079274664e-06,27.0
physics,1,stall,40,1.898547373265396e-06,27.0
physics,1,stall,41,1.826502743419188e-06,27.1
physics,1,stall,42,1.7578734663220263e-06,28.4
physics,1,stall,43,1.6951924269052802e-06,27.0
physics,1,stall,44,1.6332994827676203e-06,28.0
physics,1,stall,45,1.57459596428794e-06,27.8
physics,1,stall,46,1.5198017645307848e-06,27.0
physics,1,stall,47,1.4714586518071217e-06,28.2
physics,1,stall,48,1.4195892648798885e-06,27.9
physics,1,stall,49,1.3720024405431149e-06,30.9
physics,1,stall,50,1.369943945191105e-06,31.7
physics,1,stall,51,1.3687506323295136e-06,30.4
physics,1,confirm,52,1.3685082304016187e-06,30.0
physics,1,confirm,53,1.368314990693158e-06,30.1
