arm,tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
residual,residual_w100_data_s0,data,0,100,4,A,0,0.019855071751231912,False,0.00073870475802984,203.6566468953524,604
residual,residual_w100_data_s0,data,0,100,4,A,1,0.10166676129318664,False,0.002029185938834388,620.3475139207113,604
residual,residual_w100_data_s0,data,0,100,4,A,2,0.2372337950418355,False,0.006951043328068396,2304.680081306639,604
residual,residual_w100_data_s0,data,0,100,4,A,3,0.4082826787521751,False,0.015638137128626273,4766.737744136794,604
residual,residual_w100_data_s0,data,0,100,4,A,4,0.5917173212478248,False,0.02718104727993456,7155.274231742808,604
residual,residual_w100_data_s0,data,0,100,4,A,5,0.7627662049581645,False,0.0367625671958971,12000.176541709963,604
residual,residual_w100_data_s0,data,0,100,4,A,6,0.8983332387068134,False,0.047701379185527415,15268.711975412944,604
residual,residual_w100_data_s0,data,0,100,4,A,7,0.9801449282487681,False,0.05554615128910978,16793.775291397375,604
residual,residual_w100_data_s0,data,0,100,4,A,8,1.0,True,0.058252119107732314,17278.325189641422,604
residual,residual_w100_data_s0,data,0,100,4,B,0,0.019855071751231912,False,22.092423396237848,249.17870951899496,564
residual,residual_w100_data_s0,data,0,100,4,B,1,0.10166676129318664,False,41.93697343754366,491.4108068824476,564
residual,residual_w100_data_s0,data,0,100,4,B,2,0.2372337950418355,False,131.59164303813498,1614.0499983784812,564
residual,residual_w100_data_s0,data,0,100,4,B,3,0.4082826787521751,False,269.43532788269374,3860.4269929638667,564
residual,residual_w100_data_s0,data,0,100,4,B,4,0.5917173212478248,False,352.9861135098429,7655.846295898826,564
residual,residual_w100_data_s0,data,0,100,4,B,5,0.7627662049581645,False,387.39562849735876,9758.857544225524,564
residual,residual_w100_data_s0,data,0,100,4,B,6,0.8983332387068134,False,421.49838528536065,15852.33467995736,564
residual,residual_w100_data_s0,data,0,100,4,B,7,0.9801449282487681,False,441.0485098802397,18968.86890689183,564
residual,residual_w100_data_s0,data,0,100,4,B,8,1.0,True,486.12240508089855,20276.19082156433,564
residual,residual_w100_data_s0,data,0,100,4,C,0,0.019855071751231912,False,0.00011928124088456116,0.13539527431589762,2793
residual,residual_w100_data_s0,data,0,100,4,C,1,0.10166676129318664,False,0.00030068772005620303,0.6459200661424879,2793
residual,residual_w100_data_s0,data,0,100,4,C,2,0.2372337950418355,False,0.0011074222197038353,2.5887985426265936,2793
residual,residual_w100_data_s0,data,0,100,4,C,3,0.4082826787521751,False,0.0027967159930142316,7.534528377709663,2793
residual,residual_w100_data_s0,data,0,100,4,C,4,0.5917173212478248,False,0.0048214693322279345,12.846830851594918,2793
residual,residual_w100_data_s0,data,0,100,4,C,5,0.7627662049581645,False,0.007335172568900816,19.532464708913725,2793
residual,residual_w100_data_s0,data,0,100,4,C,6,0.8983332387068134,False,0.009763503896920156,26.43711415909142,2793
residual,residual_w100_data_s0,data,0,100,4,C,7,0.9801449282487681,False,0.01140307114155803,30.845935874185674,2793
residual,residual_w100_data_s0,data,0,100,4,C,8,1.0,True,0.011885999441574313,31.859087308510006,2793
residual,residual_w100_data_s1,data,1,100,4,A,0,0.019855071751231912,False,0.0007288015377859836,229.15948603456116,604
residual,residual_w100_data_s1,data,1,100,4,A,1,0.10166676129318664,False,0.0014080808128369426,750.1235678425487,604
residual,residual_w100_data_s1,data,1,100,4,A,2,0.2372337950418355,False,0.005687138766502509,2187.9945251829013,604
residual,residual_w100_data_s1,data,1,100,4,A,3,0.4082826787521751,False,0.013990852943956966,7530.122044929854,604
residual,residual_w100_data_s1,data,1,100,4,A,4,0.5917173212478248,False,0.02578655878271441,10005.873589839359,604
residual,residual_w100_data_s1,data,1,100,4,A,5,0.7627662049581645,False,0.03926449162394707,11238.253382021072,604
residual,residual_w100_data_s1,data,1,100,4,A,6,0.8983332387068134,False,0.052490154955509016,14890.37939067905,604
residual,residual_w100_data_s1,data,1,100,4,A,7,0.9801449282487681,False,0.06150300642893125,19999.625171900025,604
residual,residual_w100_data_s1,data,1,100,4,A,8,1.0,True,0.063288099387937,21134.969497102236,604
residual,residual_w100_data_s1,data,1,100,4,B,0,0.019855071751231912,False,26.53266173720681,319.68059844241503,564
residual,residual_w100_data_s1,data,1,100,4,B,1,0.10166676129318664,False,53.93486216510723,686.9256054882229,564
residual,residual_w100_data_s1,data,1,100,4,B,2,0.2372337950418355,False,163.73153342605562,2144.0357735663797,564
residual,residual_w100_data_s1,data,1,100,4,B,3,0.4082826787521751,False,232.10582054784368,3862.4153125658227,564
residual,residual_w100_data_s1,data,1,100,4,B,4,0.5917173212478248,False,337.2671299741512,6403.022409831287,564
residual,residual_w100_data_s1,data,1,100,4,B,5,0.7627662049581645,False,416.13399390412553,9518.763047521717,564
residual,residual_w100_data_s1,data,1,100,4,B,6,0.8983332387068134,False,456.8937705991729,12170.040056776148,564
residual,residual_w100_data_s1,data,1,100,4,B,7,0.9801449282487681,False,529.4811607053838,14518.586863693385,564
residual,residual_w100_data_s1,data,1,100,4,B,8,1.0,True,511.91086676553255,15491.358272108726,564
residual,residual_w100_data_s1,data,1,100,4,C,0,0.019855071751231912,False,0.00014116369584371569,0.20488237291669403,2793
residual,residual_w100_data_s1,data,1,100,4,C,1,0.10166676129318664,False,0.0002974378361386698,0.6960860886010782,2793
residual,residual_w100_data_s1,data,1,100,4,C,2,0.2372337950418355,False,0.0009976330090921692,3.251751420702933,2793
residual,residual_w100_data_s1,data,1,100,4,C,3,0.4082826787521751,False,0.002504528782587556,8.577077198242485,2793
residual,residual_w100_data_s1,data,1,100,4,C,4,0.5917173212478248,False,0.0046790158083620526,15.309701738510798,2793
residual,residual_w100_data_s1,data,1,100,4,C,5,0.7627662049581645,False,0.007092822059462378,23.22487934243614,2793
residual,residual_w100_data_s1,data,1,100,4,C,6,0.8983332387068134,False,0.009610375030888463,27.554178266356658,2793
residual,residual_w100_data_s1,data,1,100,4,C,7,0.9801449282487681,False,0.011408238108856494,31.72025857111295,2793
residual,residual_w100_data_s1,data,1,100,4,C,8,1.0,True,0.011759501717278908,32.403442048144,2793
residual,residual_w100_data_s2,data,2,100,4,A,0,0.019855071751231912,False,0.0006972902857338426,253.55927727909204,604
residual,residual_w100_data_s2,data,2,100,4,A,1,0.10166676129318664,False,0.0015903915219217524,563.7526264453762,604
residual,residual_w100_data_s2,data,2,100,4,A,2,0.2372337950418355,False,0.006555268117658386,2328.45339689626,604
residual,residual_w100_data_s2,data,2,100,4,A,3,0.4082826787521751,False,0.012977702414318504,5527.042470436116,604
