mode,seed,phase,outer,loss,wall_s
data,2,stall,0,0.010191862649144921,34.9
data,2,stall,1,0.001288209299748979,34.7
data,2,stall,2,0.0006287219576300548,35.5
data,2,stall,3,0.00040943471834363774,36.4
data,2,stall,4,0.00030989104103181474,36.4
data,2,stall,5,0.0002573601163050197,37.0
data,2,stall,6,0.00022506761021273943,36.5
data,2,stall,7,0.00019813056481775342,36.8
data,2,stall,8,0.00017916429425948635,37.0
data,2,stall,9,0.00016555126432059775,36.7
data,2,stall,10,0.00015302098820426502,36.1
data,2,stall,11,0.00014286195728846165,36.5
data,2,stall,12,0.00013431267007730656,37.3
data,2,stall,13,0.000126571478030794,36.4
data,2,stall,14,0.000119763588249689,36.4
data,2,stall,15,0.00011286500584680931,36.8
data,2,stall,16,0.00010689563151808427,37.2
data,2,stall,17,0.00010094492075636646,36.8
data,2,stall,18,9.511822431394561e-05,37.2
data,2,stall,19,8.914835685273885e-05,36.8
data,2,stall,20,8.396160349717608e-05,36.8
data,2,stall,21,7.887911959961706e-05,37.3
data,2,stall,22,7.464689660398846e-05,37.5
data,2,stall,23,7.10376940323451e-05,37.4
data,2,stall,24,6.707037089967551e-05,36.2
data,2,stall,25,6.396228914148955e-05,35.7
data,2,stall,26,6.091505178816477e-05,36.4
data,2,stall,27,5.832090757460358e-05,36.4
data,2,stall,28,5.584799842814946e-05,35.9
data,2,stall,29,5.3619814523279705e-05,37.1
data,2,stall,30,5.141139225539907e-05,37.1
data,2,stall,31,4.93852902072714e-05,37.2
data,2,stall,32,4.741292979900992e-05,36.9
data,2,stall,33,4.5588462481299145e-05,37.3
data,2,stall,34,4.3967576915443004e-05,37.5
data,2,stall,35,4.243439859934317e-05,38.1
data,2,stall,36,4.096716693527361e-05,37.0
data,2,stall,37,3.9678130194574856e-05,37.6
data,2,stall,38,3.842438396746116e-05,36.6
data,2,stall,39,3.728665962079347e-05,37.2
data,2,stall,40,3.6133180164442116e-05,38.4
data,2,stall,41,3.503312137488991e-05,37.1
data,2,stall,42,3.386943761736976e-05,36.6
data,2,stall,43,3.2932360317038897e-05,37.0
data,2,stall,44,3.195982549703018e-05,36.9
data,2,stall,45,3.1031683924313316e-05,37.2
data,2,stall,46,3.0124257704945364e-05,37.2
data,2,stall,47,2.931205640371732e-05,37.7
data,2,stall,48,2.8487401580139483e-05,37.1
data,2,stall,49,2.7745717371255253e-05,36.8
data,2,stall,50,2.6951076579602953e-05,36.5
data,2,stall,51,2.6225747170049217e-05,36.7
data,2,stall,52,2.5504154532085623e-05,35.9
data,2,stall,53,2.477432024917048e-05,36.5
data,2,stall,54,2.415317894685575e-05,37.4
data,2,stall,55,2.353343390529992e-05,36.4
data,2,stall,56,2.296506669257163e-05,36.4
data,2,stall,57,2.2360792353523315e-05,37.2
data,2,stall,58,2.1875468369137633e-05,36.4
data,2,stall,59,2.1385615604470194e-05,36.2
data,2,stall,60,2.0968152552039573e-05,37.0
data,2,stall,61,2.0536117591769907e-05,36.6
data,2,stall,62,2.008570004348483e-05,37.2
data,2,stall,63,1.9615127718323996e-05,36.6
data,2,stall,64,1.9186206469406912e-05,37.6
data,2,stall,65,1.8786325148611597e-05,37.4
data,2,stall,66,1.8385587741908857e-05,36.0
data,2,stall,67,1.799014166860562e-05,36.5
data,2,stall,68,1.75900157748351e-05,37.8
