mode,seed,phase,outer,loss,wall_s
physics,5,stall,0,0.014086326540545932,28.6
physics,5,stall,1,0.0032442584851409737,26.1
physics,5,stall,2,0.0017758839959160257,25.2
physics,5,stall,3,0.0012239785359791924,25.6
physics,5,stall,4,0.0008888196662118169,26.2
physics,5,stall,5,0.0007207463264406639,25.8
physics,5,stall,6,0.0006129987190709583,26.0
physics,5,stall,7,0.0005354068074030814,26.4
physics,5,stall,8,0.00047020398133811237,26.4
physics,5,stall,9,0.0004169082901317778,26.1
physics,5,stall,10,0.00037709470075234517,26.4
physics,5,stall,11,0.0003415514164611986,26.4
physics,5,stall,12,0.00031329309695036405,26.4
physics,5,stall,13,0.00029124224527521695,26.5
physics,5,stall,14,0.00027190605597147375,26.4
physics,5,stall,15,0.0002560911192991193,26.6
physics,5,stall,16,0.00024204512842999042,26.3
physics,5,stall,17,0.0002302515956883161,27.1
physics,5,stall,18,0.00021983109895089194,26.3
physics,5,stall,19,0.0002109231373506271,26.1
physics,5,stall,20,0.00020354440553497984,26.2
physics,5,stall,21,0.00019759990557771616,26.6
physics,5,stall,22,0.00019110468273767512,26.0
physics,5,stall,23,0.0001853492891202062,26.6
physics,5,stall,24,0.00018007942093662172,25.9
physics,5,stall,25,0.00017578411634764946,27.2
physics,5,stall,26,0.00017179649979010995,26.3
physics,5,stall,27,0.00016854460056822814,26.5
physics,5,stall,28,0.000165163204978584,25.9
physics,5,stall,29,0.0001617290917858583,26.3
physics,5,stall,30,0.0001584063389047358,26.0
physics,5,stall,31,0.00015520428264215007,26.9
physics,5,stall,32,0.00015201245161732148,27.1
physics,5,stall,33,0.00014908224473760088,26.3
physics,5,stall,34,0.0001462817409728326,26.3
physics,5,stall,35,0.00014351169236665986,26.2
physics,5,stall,36,0.00014105227017410853,26.3
physics,5,stall,37,0.00013872738113673277,26.5
physics,5,stall,38,0.00013626211236860794,26.8
physics,5,stall,39,0.00013429321868789744,25.9
physics,5,stall,40,0.00013248924259478458,26.0
physics,5,stall,41,0.0001307283008454978,25.7
physics,5,stall,42,0.0001288836686345044,25.9
physics,5,stall,43,0.00012715033610383948,25.5
physics,5,stall,44,0.0001254126969173637,26.0
physics,5,stall,45,0.0001237728147698425,25.8
physics,5,stall,46,0.00012214479367081305,25.9
physics,5,stall,47,0.00012064262721624189,26.0
physics,5,stall,48,0.0001190866483901189,25.9
physics,5,stall,49,0.0001176961324074641,26.0
physics,5,stall,50,0.0001164000533713237,26.3
physics,5,stall,51,0.00011505161733521107,26.0
physics,5,stall,52,0.00011379853500962812,26.9
physics,5,stall,53,0.00011270617483916726,26.1
physics,5,stall,54,0.000111423138572408,25.7
physics,5,stall,55,0.00011023269046419683,25.9
physics,5,stall,56,0.00010913914687882707,25.8
physics,5,stall,57,0.00010788009292194248,25.5
physics,5,stall,58,0.00010690593979849851,25.8
physics,5,stall,59,0.00010595472651002889,25.9
physics,5,confirm,60,0.00010546877495775206,25.3
physics,5,confirm,61,0.00010500727770647005,25.6
physics,5,confirm,62,0.00010480097999780377,24.6
physics,5,confirm,63,0.00010457945267603965,26.8
physics,5,confirm,64,0.00010445050599781455,17.3
physics,5,confirm,65,0.0001042941793421719,16.7
physics,5,confirm,66,0.00010429396586109632,10.1
physics,5,confirm,67,0.00010429396586109632,0.6
