arm,network,mode,seed,width,depth,converged,variant,n,med_um,p95_um,slope_med_mrad,first_step_med_um,straight_med_um,label_vs_rk4_med_um
residual,residual_w100_data_s0,data,0,100,4,True,composite_two_steps,2726,2761.310996871359,227478.74731875063,0.866259004358716,757.2197732177086,948414.482682055,0.0451482050038976
residual,residual_w100_data_s0,data,0,100,4,True,single_giant_step,2726,1938.5959451331018,141107.27637403976,,,948414.482682055,0.0451482050038976
residual,residual_w100_data_s1,data,1,100,4,True,composite_two_steps,2726,2373.489351953822,198724.56022972937,0.8223246901641612,750.4673967865187,948414.482682055,0.0451482050038976
residual,residual_w100_data_s1,data,1,100,4,True,single_giant_step,2726,2212.55615708435,152327.5203074289,,,948414.482682055,0.0451482050038976
residual,residual_w100_data_s2,data,2,100,4,True,composite_two_steps,2726,1736.6551852161167,263757.19657618867,0.7556194608064268,687.4306886532224,948414.482682055,0.0451482050038976
residual,residual_w100_data_s2,data,2,100,4,True,single_giant_step,2726,2569.6028054899925,130098.22278192262,,,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s0,physics,0,100,4,True,composite_two_steps,2726,4518.3188603986655,256126.74920156598,2.320750611437022,1374.199156668766,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s0,physics,0,100,4,True,single_giant_step,2726,4153.735788453218,147706.31767687458,,,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s1,physics,1,100,4,True,composite_two_steps,2726,3362.3515458948877,411694.6519788613,2.056785397732436,1622.176248680205,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s1,physics,1,100,4,True,single_giant_step,2726,3672.089231534301,162020.85244256275,,,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s2,physics,2,100,4,True,composite_two_steps,2726,4351.363939067525,287849.72793387406,2.8577497602223225,1612.6096764880629,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s2,physics,2,100,4,True,single_giant_step,2726,4837.633291180055,147679.59285200504,,,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s3,physics,3,100,4,True,composite_two_steps,2726,3453.893520390847,386987.9552706953,2.2625454410788586,1318.1223690503714,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s3,physics,3,100,4,True,single_giant_step,2726,3469.5933522733844,132440.63760698304,,,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s4,physics,4,100,4,True,composite_two_steps,2726,3636.085536853443,356884.55848321394,3.143428533547543,1653.55492267782,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s4,physics,4,100,4,True,single_giant_step,2726,3618.316793449111,136069.36876755639,,,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s5,physics,5,100,4,True,composite_two_steps,2726,4468.64897881079,286601.16458815854,2.303205640800332,1534.8342993083647,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s5,physics,5,100,4,True,single_giant_step,2726,3389.812746278949,126946.54194534384,,,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s6,physics,6,100,4,True,composite_two_steps,2726,4152.739890222506,268456.3485458816,2.3694587803592473,1531.934802680084,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s6,physics,6,100,4,True,single_giant_step,2726,3564.789809734009,134891.7352175539,,,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s7,physics,7,100,4,True,composite_two_steps,2726,4919.9546431291665,438821.03660311445,2.9306503284618906,1548.9148514219053,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s7,physics,7,100,4,True,single_giant_step,2726,4147.966497588812,159480.05467809137,,,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s8,physics,8,100,4,True,composite_two_steps,2726,4541.456950334577,332956.5790022635,1.8979764571337294,1512.2138789927533,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s8,physics,8,100,4,True,single_giant_step,2726,3971.236868534722,135048.3770026418,,,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s9,physics,9,100,4,True,composite_two_steps,2726,3738.4362199939005,306289.8467175909,2.1168158715511867,1400.124807685202,948414.482682055,0.0451482050038976
residual,residual_w100_physics_s9,physics,9,100,4,True,single_giant_step,2726,3826.7035183646385,159934.06255607476,,,948414.482682055,0.0451482050038976
residual,residual_w50_data_s0,data,0,50,4,True,composite_two_steps,2726,3776.205737486407,247986.39791764627,1.071611181615046,1467.650898430918,948414.482682055,0.0451482050038976
residual,residual_w50_data_s0,data,0,50,4,True,single_giant_step,2726,3792.874347152406,160213.53073014028,,,948414.482682055,0.0451482050038976
residual,residual_w50_data_s1,data,1,50,4,True,composite_two_steps,2726,4358.805349795668,611166.6575596703,1.8976711006328528,1140.121104936661,948414.482682055,0.0451482050038976
residual,residual_w50_data_s1,data,1,50,4,True,single_giant_step,2726,3023.059855283691,132107.41954888476,,,948414.482682055,0.0451482050038976
residual,residual_w50_data_s2,data,2,50,4,True,composite_two_steps,2726,2098.9574020968575,226294.3098110494,1.4059452996539878,1066.4371227073416,948414.482682055,0.0451482050038976
residual,residual_w50_data_s2,data,2,50,4,True,single_giant_step,2726,2675.841515625905,145742.12497242814,,,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s0,physics,0,50,4,True,composite_two_steps,2726,4794.638753678214,393205.69280518894,1.5736362497351022,1539.9829251250878,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s0,physics,0,50,4,True,single_giant_step,2726,3316.5776476153324,145496.69871557454,,,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s1,physics,1,50,4,True,composite_two_steps,2726,4851.196846083781,544981.894165673,2.102841435755509,1411.633479574789,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s1,physics,1,50,4,True,single_giant_step,2726,3811.453350919109,136064.19704960263,,,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s2,physics,2,50,4,True,composite_two_steps,2726,4083.5997158699347,286457.28087531606,1.5928268260418514,1639.467275521156,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s2,physics,2,50,4,True,single_giant_step,2726,3771.2900424234304,149236.65954517608,,,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s3,physics,3,50,4,True,composite_two_steps,2726,4814.289690708392,322939.91342016024,1.649423080698681,1774.5207082310337,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s3,physics,3,50,4,True,single_giant_step,2726,4243.674410998892,145581.88781168853,,,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s4,physics,4,50,4,True,composite_two_steps,2726,4741.337314966586,242257.28023341333,1.7577263425892862,1640.9948558147107,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s4,physics,4,50,4,True,single_giant_step,2726,3977.0507081017286,144152.25464850903,,,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s5,physics,5,50,4,True,composite_two_steps,2726,5194.278549404885,280448.94119013933,2.4364748410055648,1741.646649169013,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s5,physics,5,50,4,True,single_giant_step,2726,4466.619162985474,139159.84607597388,,,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s6,physics,6,50,4,True,composite_two_steps,2726,2801.851196584778,237757.25666928233,1.472148758130074,1314.151671684362,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s6,physics,6,50,4,True,single_giant_step,2726,3553.4203601571335,131894.8926788429,,,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s7,physics,7,50,4,True,composite_two_steps,2726,4627.608073711599,314907.9240817967,1.6002417749679254,1746.7411967990838,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s7,physics,7,50,4,True,single_giant_step,2726,4395.778637630461,132211.49706655307,,,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s8,physics,8,50,4,True,composite_two_steps,2726,5472.970583293545,291135.6611676715,2.2108180866780014,1775.8587134897539,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s8,physics,8,50,4,True,single_giant_step,2726,3783.7945820820096,139308.3310784627,,,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s9,physics,9,50,4,True,composite_two_steps,2726,4374.690893136427,360657.79257470195,1.9819885986534502,1452.879189303701,948414.482682055,0.0451482050038976
residual,residual_w50_physics_s9,physics,9,50,4,True,single_giant_step,2726,3800.2647006293273,146937.40270730577,,,948414.482682055,0.0451482050038976
