mode,seed,phase,outer,loss,wall_s
data,1,stall,0,0.0026991198850713125,2.7
data,1,stall,1,0.0005218158784351002,2.9
data,1,stall,2,0.0002735802502670332,2.9
data,1,stall,3,0.0001847815277429854,2.9
data,1,stall,4,0.00014146862371958293,2.9
data,1,stall,5,0.0001144162951847516,3.0
data,1,stall,6,9.395159870913578e-05,3.0
data,1,stall,7,7.934130299868117e-05,3.0
data,1,stall,8,7.057458725888316e-05,3.0
data,1,stall,9,6.330920237003158e-05,3.0
data,1,stall,10,5.659654567703134e-05,3.0
data,1,stall,11,5.076446495131046e-05,3.0
data,1,stall,12,4.618486472253051e-05,3.0
data,1,stall,13,4.259273909475672e-05,3.0
data,1,stall,14,3.874484704213944e-05,3.1
data,1,stall,15,3.552929616001797e-05,3.0
data,1,stall,16,3.313046202196979e-05,3.0
data,1,stall,17,3.113620866219182e-05,3.0
data,1,stall,18,2.9390830146388935e-05,3.0
data,1,stall,19,2.787696346391207e-05,3.0
data,1,stall,20,2.6327999411644148e-05,3.0
data,1,stall,21,2.489935527181164e-05,3.0
data,1,stall,22,2.3577055044570764e-05,3.0
data,1,stall,23,2.2458721433312718e-05,3.0
data,1,stall,24,2.1466786064607165e-05,3.0
data,1,stall,25,2.059405646669074e-05,3.1
data,1,stall,26,1.9798007479591422e-05,3.1
data,1,stall,27,1.910028844677263e-05,3.0
data,1,stall,28,1.8450908053607633e-05,3.0
data,1,stall,29,1.7904583534617647e-05,3.0
data,1,stall,30,1.7385858335353856e-05,3.0
data,1,stall,31,1.687032728943859e-05,3.0
data,1,stall,32,1.6436372112462097e-05,3.0
data,1,stall,33,1.5983660034732293e-05,3.1
data,1,stall,34,1.5596187190411535e-05,3.0
data,1,stall,35,1.5230350445562868e-05,3.1
data,1,stall,36,1.4875861685625997e-05,3.0
data,1,stall,37,1.4510039096744624e-05,3.0
data,1,stall,38,1.4157976690231104e-05,3.0
data,1,stall,39,1.3816712009596127e-05,3.0
data,1,stall,40,1.3501340004904075e-05,3.0
data,1,stall,41,1.3192578374163455e-05,3.0
data,1,stall,42,1.2905592633283296e-05,3.0
data,1,stall,43,1.268760020552377e-05,3.1
data,1,stall,44,1.2440969257308432e-05,3.0
data,1,stall,45,1.2219996420094465e-05,3.0
data,1,stall,46,1.1975891675259152e-05,3.0
data,1,stall,47,1.1754678660779356e-05,3.0
data,1,stall,48,1.1536875291620668e-05,3.0
data,1,stall,49,1.1310650880608125e-05,2.9
data,1,stall,50,1.1092993622589993e-05,3.0
data,1,stall,51,1.0880579005346604e-05,3.0
data,1,stall,52,1.0656943506342246e-05,3.0
data,1,stall,53,1.0460755091071709e-05,2.9
data,1,stall,54,1.0269017620822938e-05,3.0
data,1,stall,55,1.0084943187687507e-05,3.0
data,1,stall,56,9.893299154914094e-06,3.0
data,1,stall,57,9.70043975290294e-06,3.0
data,1,stall,58,9.531834384915389e-06,3.1
data,1,stall,59,9.343944027461836e-06,3.0
data,1,stall,60,9.166731361126798e-06,3.0
data,1,stall,61,8.996100534160639e-06,3.0
data,1,stall,62,8.826841839344675e-06,3.0
data,1,stall,63,8.681484574763206e-06,3.0
data,1,stall,64,8.513558904755806e-06,3.0
data,1,stall,65,8.354115591425158e-06,3.1
data,1,stall,66,8.201424834994005e-06,3.0
data,1,stall,67,8.067984850130343e-06,3.0
data,1,stall,68,7.92815892736405e-06,3.0
data,1,stall,69,7.78482591000956e-06,3.0
data,1,stall,70,7.657652732161105e-06,3.0
data,1,stall,71,7.526191353383736e-06,3.0
data,1,stall,72,7.405684242417608e-06,3.0
data,1,stall,73,7.298021956371419e-06,3.0
data,1,stall,74,7.1984317329072586e-06,3.0
data,1,stall,75,7.087276018948923e-06,3.0
data,1,stall,76,6.9795198125116275e-06,3.0
data,1,stall,77,6.8800245923140955e-06,3.0
data,1,stall,78,6.78232510703806e-06,3.0
data,1,stall,79,6.689030720967311e-06,3.0
data,1,stall,80,6.5904597401141215e-06,3.0
data,1,stall,81,6.4948395904932e-06,3.0
data,1,stall,82,6.408662472432567e-06,3.0
data,1,stall,83,6.326566728364483e-06,3.0
data,1,stall,84,6.232838850507796e-06,3.1
data,1,stall,85,6.148287536279361e-06,3.0
data,1,stall,86,6.05955407927921e-06,3.0
data,1,stall,87,5.974074348463372e-06,3.0
data,1,stall,88,5.897463787068099e-06,3.0
data,1,stall,89,5.817766718924797e-06,3.0
data,1,stall,90,5.761686551955395e-06,3.3
data,1,stall,91,5.759998064215908e-06,2.9
data,1,confirm,92,5.7598540943394495e-06,2.3
data,1,confirm,93,5.759735994701206e-06,2.3
