mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,0.002621452424528169,8.0
physics,0,stall,1,0.001270057687219116,7.9
physics,0,stall,2,0.0007276002026933995,7.5
physics,0,stall,3,0.0004655449693015626,7.8
physics,0,stall,4,0.00032197520058599156,9.2
physics,0,stall,5,0.00023041426012190383,10.6
physics,0,stall,6,0.0001896200817904732,10.4
physics,0,stall,7,0.0001627614948103565,10.2
physics,0,stall,8,0.00014705987557137729,9.3
physics,0,stall,9,0.00013519784984006455,10.4
physics,0,stall,10,0.00012643685179950003,9.3
physics,0,stall,11,0.00011900026743837542,8.5
physics,0,stall,12,0.00011191278264532808,8.7
physics,0,stall,13,0.00010694301904615706,8.0
physics,0,stall,14,0.00010292617983776959,8.6
physics,0,stall,15,9.881525842364504e-05,9.6
physics,0,stall,16,9.480264976933714e-05,8.9
physics,0,stall,17,9.099075243830843e-05,8.8
physics,0,stall,18,8.731895335471545e-05,9.1
physics,0,stall,19,8.423382615983502e-05,9.3
physics,0,stall,20,8.120976554494468e-05,9.0
physics,0,stall,21,7.842432544270564e-05,10.5
physics,0,stall,22,7.564123122530899e-05,9.6
physics,0,stall,23,7.33222625129706e-05,9.1
physics,0,stall,24,7.11068345518921e-05,9.5
physics,0,stall,25,6.896742640420687e-05,9.4
physics,0,stall,26,6.704768929211865e-05,9.5
physics,0,stall,27,6.518321889002488e-05,9.6
physics,0,stall,28,6.345240116388243e-05,9.4
physics,0,stall,29,6.133479666857827e-05,8.9
physics,0,stall,30,5.936062231482713e-05,10.2
physics,0,stall,31,5.757864741926386e-05,9.8
physics,0,stall,32,5.598449176353849e-05,8.9
physics,0,stall,33,5.453214071031901e-05,8.7
physics,0,stall,34,5.317141096611897e-05,8.9
physics,0,stall,35,5.1655049938657944e-05,8.4
physics,0,stall,36,5.021073270193987e-05,10.0
physics,0,stall,37,4.886612460553184e-05,9.9
physics,0,stall,38,4.764511257930266e-05,9.8
physics,0,stall,39,4.6388358315373985e-05,8.2
physics,0,stall,40,4.508918352470025e-05,9.0
physics,0,stall,41,4.391834197774169e-05,9.4
physics,0,stall,42,4.289110958678388e-05,10.6
physics,0,stall,43,4.201166760972215e-05,10.0
physics,0,stall,44,4.102508113503874e-05,9.0
physics,0,stall,45,4.001519644484736e-05,9.0
physics,0,stall,46,3.913718049238917e-05,7.6
physics,0,stall,47,3.826174443182339e-05,7.6
physics,0,stall,48,3.740936377811609e-05,9.8
physics,0,stall,49,3.6436014884847615e-05,10.6
physics,0,stall,50,3.553389684451347e-05,9.0
physics,0,stall,51,3.4647053683161705e-05,8.8
physics,0,stall,52,3.3770363834726314e-05,8.5
physics,0,stall,53,3.2824499407971326e-05,8.9
physics,0,stall,54,3.1969859315268565e-05,9.7
physics,0,stall,55,3.107208482366619e-05,10.4
physics,0,stall,56,3.0236011745290196e-05,10.0
physics,0,stall,57,2.9439364892222666e-05,8.8
physics,0,stall,58,2.8614597750626856e-05,8.3
physics,0,stall,59,2.7882918586440974e-05,8.4
physics,0,stall,60,2.7212488952776725e-05,9.4
physics,0,stall,61,2.6634142948400146e-05,9.7
physics,0,stall,62,2.593515909663067e-05,9.5
physics,0,stall,63,2.532580768816766e-05,8.4
physics,0,stall,64,2.4717326976596644e-05,7.8
