width,depth,q,mode,seed,split,stratum,direction,converged,median,p95,slope,rho,straight_line,n,tag
128,2,2,data,0,val,all,all,True,0.1662215998692318,8459.280065232284,0.10338853962524319,1.2412498181296718e-12,11.660928643891566,12000,w128_d2_q02_data_s0
128,2,2,data,0,val,all,forward,True,0.13579387373496843,8600.948986722664,0.11292010360491617,1.0274374872773516e-12,9.735130103429412,5984,w128_d2_q02_data_s0
128,2,2,data,0,val,all,backward,True,0.19906617013987216,8182.333537968976,0.09593813320001032,1.5382121311752387e-12,16.376053191527795,6016,w128_d2_q02_data_s0
128,2,2,data,0,val,0.05-0.2 mm,all,True,1.0104912462338689e-06,2.1248550297059406e-05,0.0025773881732185297,8.831943024982e-17,0.00013977896173855697,2000,w128_d2_q02_data_s0
128,2,2,data,0,val,0.05-0.2 mm,forward,True,9.879315143734857e-07,1.903343687104096e-05,0.0024209166944993282,7.65620267992513e-17,0.00013516631724996842,983,w128_d2_q02_data_s0
128,2,2,data,0,val,0.05-0.2 mm,backward,True,1.0267733330238116e-06,2.394639295744125e-05,0.0027177307630465997,1.1614804261272059e-16,0.0001464744912027527,1017,w128_d2_q02_data_s0
128,2,2,data,0,val,0.5-2 mm,all,True,9.508840292937748e-05,0.002194848916303726,0.015252937658854908,3.1708065871212097e-15,0.013709354546698194,2000,w128_d2_q02_data_s0
128,2,2,data,0,val,0.5-2 mm,forward,True,9.728093353089662e-05,0.002137905800836388,0.013705162901972434,2.3439022824381427e-15,0.013378662334417868,1014,w128_d2_q02_data_s0
128,2,2,data,0,val,0.5-2 mm,backward,True,9.320768867837614e-05,0.0023002362610213822,0.01613854562485667,3.799519299662538e-15,0.01395275811333363,986,w128_d2_q02_data_s0
128,2,2,data,0,val,5-20 mm,all,True,0.010396936147571978,0.24273122161559965,0.04190839465794804,3.192206989159703e-14,1.3815279362461297,2000,w128_d2_q02_data_s0
128,2,2,data,0,val,5-20 mm,forward,True,0.011571088734285695,0.2239370584163675,0.043744983676492766,3.657176300546516e-14,1.3562850019077644,1030,w128_d2_q02_data_s0
128,2,2,data,0,val,5-20 mm,backward,True,0.009607957342061546,0.2591715266191841,0.040187876308807324,2.835634310204126e-14,1.4107756143744155,970,w128_d2_q02_data_s0
128,2,2,data,0,val,50-200 mm,all,True,1.8100381185739423,33.925246868724905,0.20315490087054536,5.395125508005549e-11,129.96536147640825,2000,w128_d2_q02_data_s0
128,2,2,data,0,val,50-200 mm,forward,True,1.7073147436974523,33.15760776678183,0.23328196113589147,4.917891168156489e-11,124.33531501326911,989,w128_d2_q02_data_s0
128,2,2,data,0,val,50-200 mm,backward,True,1.8780419952690863,34.633905889581484,0.18577209106368509,6.34507266078428e-11,134.8384062812329,1011,w128_d2_q02_data_s0
128,2,2,data,0,val,500-2000 mm,all,True,308.9071303600974,4890.768808199561,0.8309374637816055,1.263732732277792e-06,15408.515420144415,2000,w128_d2_q02_data_s0
128,2,2,data,0,val,500-2000 mm,forward,True,362.22833396894316,4611.165361453805,0.7657200646150608,1.4453583818061686e-06,16137.757478396765,975,w128_d2_q02_data_s0
128,2,2,data,0,val,500-2000 mm,backward,True,272.5952695968665,5056.666837399406,0.882686622058041,1.1460384243782186e-06,14492.363104850454,1025,w128_d2_q02_data_s0
128,2,2,data,0,val,full crossing,all,True,3106.762960972276,45798.146656285186,1.0770764565541797,0.00014617348694428195,418003.17999508075,2000,w128_d2_q02_data_s0
128,2,2,data,0,val,full crossing,forward,True,3362.367621158455,45691.68799992167,1.029259981144115,3.964749116423921e-05,422725.11157961754,993,w128_d2_q02_data_s0
128,2,2,data,0,val,full crossing,backward,True,2785.432323933829,48332.0648738834,1.164324138836095,0.0004423887998298295,412962.7382011377,1007,w128_d2_q02_data_s0
128,2,2,data,0,test,all,all,True,0.1644175248998181,8947.797615206006,0.10940577435017765,1.4524917248357774e-12,12.07131072872647,12000,w128_d2_q02_data_s0
128,2,2,data,0,test,all,forward,True,0.15244807763536983,9804.457482244765,0.11026009732689745,1.2272860617381681e-12,10.075976668844078,5968,w128_d2_q02_data_s0
128,2,2,data,0,test,all,backward,True,0.17576945305108893,8324.302564922318,0.1088790524709244,1.7016559423280637e-12,13.706558166376226,6032,w128_d2_q02_data_s0
128,2,2,data,0,test,0.05-0.2 mm,all,True,9.081730922844145e-07,1.845471189199088e-05,0.0029203611997792936,8.618044929434178e-17,0.0001305794636863311,2000,w128_d2_q02_data_s0
128,2,2,data,0,test,0.05-0.2 mm,forward,True,9.759162367117824e-07,1.767467665558793e-05,0.0030613759763216397,8.635989370844926e-17,0.0001273499492526753,1017,w128_d2_q02_data_s0
128,2,2,data,0,test,0.05-0.2 mm,backward,True,8.60651994116779e-07,1.9652537019965146e-05,0.0028314637686606414,8.600100488023428e-17,0.00013178674862501794,983,w128_d2_q02_data_s0
128,2,2,data,0,test,0.5-2 mm,all,True,9.831374825353123e-05,0.0021582734859748585,0.01600923458675886,3.3525760526077908e-15,0.013896570703053612,2000,w128_d2_q02_data_s0
128,2,2,data,0,test,0.5-2 mm,forward,True,9.623096275390708e-05,0.0018363839359381,0.014233773130561955,3.2143880941469243e-15,0.014008352798633439,1000,w128_d2_q02_data_s0
128,2,2,data,0,test,0.5-2 mm,backward,True,0.00010070835188003002,0.0026233190624225227,0.017156534657166572,3.5969919269863065e-15,0.013845175832472023,1000,w128_d2_q02_data_s0
128,2,2,data,0,test,5-20 mm,all,True,0.012094733165213256,0.20644636630890992,0.043728631447022964,3.264670717660715e-14,1.4150646893398289,2000,w128_d2_q02_data_s0
128,2,2,data,0,test,5-20 mm,forward,True,0.012315780204108506,0.21289972352462846,0.04564414527876218,3.641728947126977e-14,1.4635983336042102,994,w128_d2_q02_data_s0
128,2,2,data,0,test,5-20 mm,backward,True,0.011886500232094477,0.20125680072169416,0.041208186944193675,3.019407249740465e-14,1.3915581564276636,1006,w128_d2_q02_data_s0
128,2,2,data,0,test,50-200 mm,all,True,1.9161356105001914,34.6236735587169,0.21703179663385905,5.343189224091043e-11,141.05070694597543,2000,w128_d2_q02_data_s0
128,2,2,data,0,test,50-200 mm,forward,True,1.8792326024232864,35.254731026347486,0.22226144142988014,5.656508835698026e-11,143.455285236044,968,w128_d2_q02_data_s0
128,2,2,data,0,test,50-200 mm,backward,True,1.9389057620067263,33.76498837327011,0.21134953070548954,4.8749556938637606e-11,140.25341367157296,1032,w128_d2_q02_data_s0
128,2,2,data,0,test,500-2000 mm,all,True,322.8141024152431,4823.228972652331,0.8039168599437013,1.3962756117416953e-06,15985.931709538963,2000,w128_d2_q02_data_s0
128,2,2,data,0,test,500-2000 mm,forward,True,365.44775730467194,5550.290763308338,0.736522916476974,1.6271837949168475e-06,16359.267616175515,988,w128_d2_q02_data_s0
128,2,2,data,0,test,500-2000 mm,backward,True,293.4259959036609,4631.733535399787,0.8600151205466061,1.205826367070768e-06,15658.961022059259,1012,w128_d2_q02_data_s0
128,2,2,data,0,test,full crossing,all,True,3464.2356725362424,45665.611832740346,1.2425752193062356,0.00016509792479798972,456075.1746171858,2000,w128_d2_q02_data_s0
128,2,2,data,0,test,full crossing,forward,True,4129.427495943006,42603.09148417196,1.2451200476034652,4.7647519428875454e-05,461912.954381598,1001,w128_d2_q02_data_s0
128,2,2,data,0,test,full crossing,backward,True,2954.5505120047437,49899.74256497124,1.2394838576562859,0.0005119907797696228,449115.8207340198,999,w128_d2_q02_data_s0
128,2,2,data,1,val,all,all,True,0.17775617464010907,9476.698831469626,0.1355386114972228,2.987745922384086e-12,11.660928643891566,12000,w128_d2_q02_data_s1
128,2,2,data,1,val,all,forward,True,0.1385849762449709,9571.1731824586,0.09543186890615882,1.0191624681434063e-12,9.735130103429412,5984,w128_d2_q02_data_s1
128,2,2,data,1,val,all,backward,True,0.2716534154147965,9350.999877372995,0.17743276204163805,5.823081175195878e-12,16.376053191527795,6016,w128_d2_q02_data_s1
128,2,2,data,1,val,0.05-0.2 mm,all,True,1.2504983715189155e-06,2.4547475163672058e-05,0.003239153743474915,1.1962657959406456e-16,0.00013977896173855697,2000,w128_d2_q02_data_s1
128,2,2,data,1,val,0.05-0.2 mm,forward,True,1.2628902368305717e-06,2.1360881419241192e-05,0.0025824022239565037,8.216272551206703e-17,0.00013516631724996842,983,w128_d2_q02_data_s1
128,2,2,data,1,val,0.05-0.2 mm,backward,True,1.2350085398793453e-06,2.610845513117963e-05,0.003933253176900686,1.4907852187611054e-16,0.0001464744912027527,1017,w128_d2_q02_data_s1
128,2,2,data,1,val,0.5-2 mm,all,True,0.00012371988589165994,0.00210744134392371,0.026873780713233385,8.680467151891566e-15,0.013709354546698194,2000,w128_d2_q02_data_s1
128,2,2,data,1,val,0.5-2 mm,forward,True,0.00012428360918192993,0.0021176691603841382,0.016933188702966673,3.39344815520262e-15,0.013378662334417868,1014,w128_d2_q02_data_s1
128,2,2,data,1,val,0.5-2 mm,backward,True,0.0001229655595125223,0.0020936194857767987,0.039820025495487105,2.03199787118622e-14,0.01395275811333363,986,w128_d2_q02_data_s1
128,2,2,data,1,val,5-20 mm,all,True,0.012340047101488949,0.21561002980092778,0.04723741159358072,4.496993788055954e-14,1.3815279362461297,2000,w128_d2_q02_data_s1
128,2,2,data,1,val,5-20 mm,forward,True,0.0119240251617303,0.2130722207724031,0.02965759793750744,2.3144910223273485e-14,1.3562850019077644,1030,w128_d2_q02_data_s1
128,2,2,data,1,val,5-20 mm,backward,True,0.013020748127701154,0.21422427827459942,0.07894645998142089,1.089021359743841e-13,1.4107756143744155,970,w128_d2_q02_data_s1
128,2,2,data,1,val,50-200 mm,all,True,2.195772738879498,37.023654889975425,0.2411247188450266,7.734938279075374e-11,129.96536147640825,2000,w128_d2_q02_data_s1
128,2,2,data,1,val,50-200 mm,forward,True,2.1154380525842953,37.81434498171724,0.19259961546107773,6.632405184935014e-11,124.33531501326911,989,w128_d2_q02_data_s1
128,2,2,data,1,val,50-200 mm,backward,True,2.3202779569828635,36.589549517308306,0.3324222229495119,8.764058281590341e-11,134.8384062812329,1011,w128_d2_q02_data_s1
128,2,2,data,1,val,500-2000 mm,all,True,410.34267005759517,6387.526419048432,0.9904833064740894,2.3298885400982637e-06,15408.515420144415,2000,w128_d2_q02_data_s1
128,2,2,data,1,val,500-2000 mm,forward,True,424.9789044366832,6966.086683954684,0.8640036432392904,2.172479390134717e-06,16137.757478396765,975,w128_d2_q02_data_s1
128,2,2,data,1,val,500-2000 mm,backward,True,404.4524047811997,5744.352742290757,1.1297657897791809,2.5234211693665237e-06,14492.363104850454,1025,w128_d2_q02_data_s1
128,2,2,data,1,val,full crossing,all,True,3023.796743409605,52049.14079293488,1.3090255626941119,0.0001456320686037174,418003.17999508075,2000,w128_d2_q02_data_s1
128,2,2,data,1,val,full crossing,forward,True,2742.2803501934823,48437.03471093509,1.4789849985361037,3.75530560313823e-05,422725.11157961754,993,w128_d2_q02_data_s1
128,2,2,data,1,val,full crossing,backward,True,3315.469747286656,54776.597177531556,1.1257617457807316,0.0005638957568454023,412962.7382011377,1007,w128_d2_q02_data_s1
128,2,2,data,1,test,all,all,True,0.18145061639529558,9609.154384740561,0.141715488357974,2.99424472326429e-12,12.07131072872647,12000,w128_d2_q02_data_s1
128,2,2,data,1,test,all,forward,True,0.15495687820532567,9908.377428893142,0.09801714707975695,1.1529137786437233e-12,10.075976668844078,5968,w128_d2_q02_data_s1
128,2,2,data,1,test,all,backward,True,0.20690390181243856,9159.481475280221,0.18529202060266248,5.162289567604519e-12,13.706558166376226,6032,w128_d2_q02_data_s1
128,2,2,data,1,test,0.05-0.2 mm,all,True,1.1889937923115212e-06,1.9191519129435612e-05,0.0032263239511070956,1.1342053701714542e-16,0.0001305794636863311,2000,w128_d2_q02_data_s1
128,2,2,data,1,test,0.05-0.2 mm,forward,True,1.1588099368964322e-06,1.800779898530887e-05,0.0026817095747783126,8.468910222903466e-17,0.0001273499492526753,1017,w128_d2_q02_data_s1
128,2,2,data,1,test,0.05-0.2 mm,backward,True,1.205222588396282e-06,2.0119415466979252e-05,0.003827634054709428,1.6926544693946822e-16,0.00013178674862501794,983,w128_d2_q02_data_s1
128,2,2,data,1,test,0.5-2 mm,all,True,0.0001220840957216751,0.0019629669409937374,0.02315965074791912,7.155234789257927e-15,0.013896570703053612,2000,w128_d2_q02_data_s1
128,2,2,data,1,test,0.5-2 mm,forward,True,0.0001211159013081442,0.002046428676294452,0.016899074308742226,4.005562201789454e-15,0.014008352798633439,1000,w128_d2_q02_data_s1
128,2,2,data,1,test,0.5-2 mm,backward,True,0.00012394323789521877,0.001935414665865664,0.032393669619166024,1.3034594437078067e-14,0.013845175832472023,1000,w128_d2_q02_data_s1
128,2,2,data,1,test,5-20 mm,all,True,0.013508333950085216,0.2103288665580293,0.048662624137789295,4.5584565053173187e-14,1.4150646893398289,2000,w128_d2_q02_data_s1
128,2,2,data,1,test,5-20 mm,forward,True,0.01274618323066079,0.22722692947922943,0.02997466435730907,2.0784853607326704e-14,1.4635983336042102,994,w128_d2_q02_data_s1
128,2,2,data,1,test,5-20 mm,backward,True,0.014455174920158242,0.19411501639865492,0.08630369696133872,1.2155750449594845e-13,1.3915581564276636,1006,w128_d2_q02_data_s1
128,2,2,data,1,test,50-200 mm,all,True,2.3597312961300965,37.93211506864508,0.2542339291783397,8.08626995652507e-11,141.05070694597543,2000,w128_d2_q02_data_s1
128,2,2,data,1,test,50-200 mm,forward,True,2.477701846505198,44.29659820268909,0.19774690685783053,8.604997005214601e-11,143.455285236044,968,w128_d2_q02_data_s1
128,2,2,data,1,test,50-200 mm,backward,True,2.2189053945886883,33.00853194418775,0.32362929228212445,7.828314407107197e-11,140.25341367157296,1032,w128_d2_q02_data_s1
128,2,2,data,1,test,500-2000 mm,all,True,438.55585039324296,5748.9047026216385,0.986235509662578,2.4931181256415587e-06,15985.931709538963,2000,w128_d2_q02_data_s1
128,2,2,data,1,test,500-2000 mm,forward,True,439.31644201920506,6306.771656523301,0.9843279823509993,2.477117152513343e-06,16359.267616175515,988,w128_d2_q02_data_s1
128,2,2,data,1,test,500-2000 mm,backward,True,438.54171696369804,5341.624197433748,0.9908143375579742,2.5158910821035286e-06,15658.961022059259,1012,w128_d2_q02_data_s1
128,2,2,data,1,test,full crossing,all,True,3357.2365344491573,46039.7526497089,1.3359903748589446,0.00015443286464549222,456075.1746171858,2000,w128_d2_q02_data_s1
128,2,2,data,1,test,full crossing,forward,True,3106.335957944168,42599.24213783253,1.6533659529896494,3.99607961079066e-05,461912.954381598,1001,w128_d2_q02_data_s1
128,2,2,data,1,test,full crossing,backward,True,3719.132440986904,50782.749334920816,1.1998329843631166,0.0006844465799983827,449115.8207340198,999,w128_d2_q02_data_s1
128,2,2,data,2,val,all,all,True,0.2091634738690118,9118.019710053182,0.1046634703615254,2.608160246850853e-12,11.660928643891566,12000,w128_d2_q02_data_s2
128,2,2,data,2,val,all,forward,True,0.17734602283070444,8471.60746762275,0.09055933021501032,2.009941498142197e-12,9.735130103429412,5984,w128_d2_q02_data_s2
128,2,2,data,2,val,all,backward,True,0.23394395923048705,9663.265802943968,0.11906379864162243,2.9812785515804978e-12,16.376053191527795,6016,w128_d2_q02_data_s2
128,2,2,data,2,val,0.05-0.2 mm,all,True,1.2931025139550911e-06,2.405047183628994e-05,0.0031916938374280945,1.207459703701853e-16,0.00013977896173855697,2000,w128_d2_q02_data_s2
128,2,2,data,2,val,0.05-0.2 mm,forward,True,1.2670966498262715e-06,2.274651365041791e-05,0.0026769756680533607,9.355843541870791e-17,0.00013516631724996842,983,w128_d2_q02_data_s2
128,2,2,data,2,val,0.05-0.2 mm,backward,True,1.308706032432383e-06,2.53614871326135e-05,0.0038019555504559266,1.4949668712379827e-16,0.0001464744912027527,1017,w128_d2_q02_data_s2
128,2,2,data,2,val,0.5-2 mm,all,True,0.0001271080378728584,0.0022074025650908858,0.02326934232295061,6.267738228671004e-15,0.013709354546698194,2000,w128_d2_q02_data_s2
128,2,2,data,2,val,0.5-2 mm,forward,True,0.00012617471156772808,0.002120396322879968,0.01286652169786573,2.1329852995728863e-15,0.013378662334417868,1014,w128_d2_q02_data_s2
128,2,2,data,2,val,0.5-2 mm,backward,True,0.00012902742696496716,0.002300972226976228,0.03341933554649716,1.400545276904062e-14,0.01395275811333363,986,w128_d2_q02_data_s2
128,2,2,data,2,val,5-20 mm,all,True,0.013031692887466306,0.2449164175061467,0.02855634026902032,2.1843258926864612e-14,1.3815279362461297,2000,w128_d2_q02_data_s2
128,2,2,data,2,val,5-20 mm,forward,True,0.01431037171961691,0.22862427014445047,0.02305002973223766,1.6294029092722748e-14,1.3562850019077644,1030,w128_d2_q02_data_s2
128,2,2,data,2,val,5-20 mm,backward,True,0.011715522717281601,0.26994236893926843,0.03535601587439756,2.88930762493587e-14,1.4107756143744155,970,w128_d2_q02_data_s2
128,2,2,data,2,val,50-200 mm,all,True,2.188664565821341,36.23140687007334,0.19452152424141375,7.444870146778376e-11,129.96536147640825,2000,w128_d2_q02_data_s2
128,2,2,data,2,val,50-200 mm,forward,True,2.527157025667748,38.876182925946516,0.18231571462529184,8.88926237200578e-11,124.33531501326911,989,w128_d2_q02_data_s2
128,2,2,data,2,val,50-200 mm,backward,True,1.9004814510026335,33.99941758672753,0.20209576891674907,6.355461186529319e-11,134.8384062812329,1011,w128_d2_q02_data_s2
128,2,2,data,2,val,500-2000 mm,all,True,351.7998447692392,5732.811903677072,0.6239940787338416,1.7049105344095142e-06,15408.515420144415,2000,w128_d2_q02_data_s2
128,2,2,data,2,val,500-2000 mm,forward,True,346.2421629736241,6196.532120929278,0.6188782121677207,1.5067714458573091e-06,16137.757478396765,975,w128_d2_q02_data_s2
128,2,2,data,2,val,500-2000 mm,backward,True,356.0426333223745,5550.260516743529,0.6368875906382077,1.8177895899255311e-06,14492.363104850454,1025,w128_d2_q02_data_s2
128,2,2,data,2,val,full crossing,all,True,3138.5513396502524,50063.145970802856,1.1092418734407923,0.00018610412732688822,418003.17999508075,2000,w128_d2_q02_data_s2
128,2,2,data,2,val,full crossing,forward,True,2773.382094928337,43521.2057406725,1.0289459524502331,3.352230396738249e-05,422725.11157961754,993,w128_d2_q02_data_s2
128,2,2,data,2,val,full crossing,backward,True,3622.0160105288332,52482.51673650503,1.1457182794402978,0.0008067810636125324,412962.7382011377,1007,w128_d2_q02_data_s2
128,2,2,data,2,test,all,all,True,0.2069961687709565,9355.061242454276,0.11287799489818895,2.4387743468000294e-12,12.07131072872647,12000,w128_d2_q02_data_s2
128,2,2,data,2,test,all,forward,True,0.20219430745838096,9386.815476967984,0.09041793058834312,1.9069666253055697e-12,10.075976668844078,5968,w128_d2_q02_data_s2
128,2,2,data,2,test,all,backward,True,0.21044666330283235,9281.017700557992,0.1365827152451553,3.027856464048307e-12,13.706558166376226,6032,w128_d2_q02_data_s2
128,2,2,data,2,test,0.05-0.2 mm,all,True,1.188411147268198e-06,2.2531600052388967e-05,0.0032745824788838612,1.2770847243656566e-16,0.0001305794636863311,2000,w128_d2_q02_data_s2
128,2,2,data,2,test,0.05-0.2 mm,forward,True,1.1860308291034016e-06,2.145429789379701e-05,0.002823999618678519,1.0174932644015312e-16,0.0001273499492526753,1017,w128_d2_q02_data_s2
128,2,2,data,2,test,0.05-0.2 mm,backward,True,1.2049810038661235e-06,2.2535562038683565e-05,0.0039853806076614595,1.5978513906524986e-16,0.00013178674862501794,983,w128_d2_q02_data_s2
128,2,2,data,2,test,0.5-2 mm,all,True,0.0001256752710787623,0.0022288343267007345,0.022718548592544352,6.746575397180575e-15,0.013896570703053612,2000,w128_d2_q02_data_s2
128,2,2,data,2,test,0.5-2 mm,forward,True,0.00011809166799991999,0.0021114254536769295,0.013447195781446375,2.0634552762416322e-15,0.014008352798633439,1000,w128_d2_q02_data_s2
128,2,2,data,2,test,0.5-2 mm,backward,True,0.00013173485058359802,0.002534988542635118,0.037908973898327564,1.3325136275839687e-14,0.013845175832472023,1000,w128_d2_q02_data_s2
128,2,2,data,2,test,5-20 mm,all,True,0.013771673735618606,0.23493571918038467,0.031060816563895782,2.4338796588427927e-14,1.4150646893398289,2000,w128_d2_q02_data_s2
128,2,2,data,2,test,5-20 mm,forward,True,0.014417507792074957,0.24968834535599138,0.023090399126589334,1.8291114585341956e-14,1.4635983336042102,994,w128_d2_q02_data_s2
