arch,mode,q,slope_strata_0_4,slope_all_six
2x128,physics,2,1.9060415268971531,1.8731629547053161
2x128,physics,4,1.9417210786347006,1.8468985081913594
2x128,physics,6,1.9376248194479768,1.764842029697104
2x128,physics,8,1.9227234456845193,1.7455958579326158
2x128,physics,10,1.9152127026677794,1.7356973307537065
2x128,physics,12,1.9319964450139786,1.7551325420141541
2x128,physics,14,1.933878952863563,1.753650634681612
2x128,physics,16,1.9174235376600373,1.7305029081412158
2x128,physics,18,1.9294430547957289,1.7503678265187352
2x128,physics,20,1.9220601757504605,1.7418043926904492
2x128,data,2,2.128973393695165,2.0614647009566114
2x128,data,4,2.1505247786568216,2.077635898014698
2x128,data,6,2.142791065354681,2.0741377343144256
2x128,data,8,2.1442433045913893,2.0726074974993836
2x128,data,10,2.134395248139357,2.072686749160949
2x128,data,12,2.1262738146919595,2.060362134883898
2x128,data,14,2.1285500628338188,2.0673774240838814
2x128,data,16,2.112427093994556,2.05674148122841
2x128,data,18,2.1214713238465084,2.071714070950029
2x128,data,20,2.1256124161236594,2.0613669988235492
2x256,physics,2,1.9780954185169184,1.9512553109131034
2x256,physics,4,1.968340746171556,1.8872837867450565
2x256,physics,6,1.9547666760722504,1.793635781199425
2x256,physics,8,1.9461348030601187,1.7763537038704527
2x256,physics,10,1.946256019161978,1.7788555934234707
2x256,physics,12,1.9451728425533081,1.7774459336341752
2x256,physics,14,1.952305637459438,1.7886714745065941
2x256,physics,16,1.9344402009095154,1.7686861450904259
2x256,physics,18,1.9312908873176986,1.7651659066524628
2x256,physics,20,1.9342220501533998,1.7662538571776718
2x256,data,2,2.1797886967356233,2.094881715133208
2x256,data,4,2.185166846999834,2.0901600065043877
2x256,data,6,2.1935123105189116,2.094659985697448
2x256,data,8,2.211930217201284,2.107639050241007
2x256,data,10,2.1881829068416216,2.0952545366636897
2x256,data,12,2.1774904957870644,2.0859632712135268
2x256,data,14,2.1829467177243917,2.0855471724035843
2x256,data,16,2.1911129861722456,2.098470456431108
2x256,data,18,2.1627118739077495,2.0761593946130454
2x256,data,20,2.169475359690141,2.0813181146655064
2x32,physics,2,1.8619163268192291,1.8056387073696365
2x32,physics,4,1.9087104238813084,1.8158133476400746
2x32,physics,6,1.9489964360453191,1.7787287623043035
2x32,physics,8,1.9663206097622685,1.797017780811616
2x32,physics,10,1.9740368978252647,1.815249231153506
2x32,physics,12,2.006416367866209,1.8652072282966068
2x32,physics,14,1.985511535953176,1.8194425847914146
2x32,physics,16,2.012049057551875,1.854757507559785
2x32,physics,18,1.970397393934912,1.8019839718897854
2x32,physics,20,2.0112171665117695,1.8487465322117325
2x32,data,2,2.0793636012417083,2.0281039102186296
2x32,data,4,2.0774812050105727,2.0339528063008947
2x32,data,6,2.086270285263396,2.041523328278773
2x32,data,8,2.0942303058840186,2.0461829378932297
2x32,data,10,2.1123691296373104,2.06017687869775
2x32,data,12,2.1170614742201264,2.060883595906782
2x32,data,14,2.0956500934710753,2.0495405128876834
2x32,data,16,2.1065638933995854,2.058371738118501
2x32,data,18,2.117482145347271,2.0694448418930063
2x32,data,20,2.103902027691602,2.054055412497783
2x64,physics,2,1.838577594839173,1.7902612363321617
2x64,physics,4,1.8737021301235661,1.7697095272641516
2x64,physics,6,1.897361349313778,1.7161946400548505
2x64,physics,8,1.913473102728095,1.7284235760314373
2x64,physics,10,1.8966170406497995,1.7231417001551406
2x64,physics,12,1.9237951411674268,1.750441289012869
2x64,physics,14,1.9310009382685118,1.758911481381451
2x64,physics,16,1.9399150945541495,1.7793779007208916
2x64,physics,18,1.9199799216217606,1.7573708710393194
2x64,physics,20,1.96146849064233,1.7862355604117404
2x64,data,2,2.1030852426436986,2.0410192116357857
2x64,data,4,2.107935489795244,2.052553745975151
2x64,data,6,2.1164545214370523,2.0535253217507803
2x64,data,8,2.089514940699018,2.034885639799387
2x64,data,10,2.085945712427748,2.0347475294669977
2x64,data,12,2.114211041468878,2.0627663416030684
2x64,data,14,2.1109796062355706,2.0618726221404517
2x64,data,16,2.1151746969102367,2.0727319395165917
2x64,data,18,2.0981495298609083,2.05093317491841
2x64,data,20,2.079736636981365,2.0404582552090806
4x128,physics,2,1.800030609635143,1.7930230128251088
4x128,physics,4,1.8845730272078005,1.807415007980129
4x128,physics,6,1.8282654969743009,1.6545965783363468
4x128,physics,8,1.7857810069623412,1.627415435368943
4x128,physics,10,1.8583292202762436,1.686403354446666
4x128,physics,12,1.8878752767489773,1.7217591520096873
4x128,physics,14,1.8116400823617202,1.6473418104588966
4x128,physics,16,1.8350667301979522,1.6528115150625897
4x128,physics,18,1.8443600767072312,1.6770953250712168
4x128,physics,20,1.8330236488987024,1.672067993730805
4x128,data,2,2.0692637402312135,2.0011775466102097
4x128,data,4,2.0743038264669047,1.998010028512617
4x128,data,6,2.074965377986579,2.0102046404637974
4x128,data,8,2.081036899023329,2.0183486144558
4x128,data,10,2.0921450154759405,2.0357667730355336
4x128,data,12,2.0517161993061444,2.0032635771066456
4x128,data,14,2.046651799408201,1.9762434196545522
4x128,data,16,2.0744122287550812,2.013902484331021
4x128,data,18,2.057875234124516,2.010949070272499
4x128,data,20,2.058733053820108,2.0241875746638778
4x256,physics,2,1.8889394226977363,1.8618723371127874
4x256,physics,4,1.8956296767745358,1.815699904926308
4x256,physics,6,1.880828925183188,1.7164828986289284
4x256,physics,8,1.8360456048552365,1.663160497898131
4x256,physics,10,1.8313484841762329,1.655912660033781
