row,arm,direction,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,forward,2.14e-05 [2.05e-05-4.26e-05],0.00246 [0.00226-0.00458],0.232 [0.175-0.385],7.08 [5.9-10.1],225 [188-278],5.22e+03 [5.1e+03-5.54e+03]
q=2,physics,backward,2.37e-05 [2.32e-05-4.64e-05],0.00237 [0.00227-0.00456],0.294 [0.202-0.556],10.9 [4.7-23.1],255 [215-290],2.56e+04 [2.55e+04-2.57e+04]
q=2,twin,forward,3.56e-06 [2.77e-06-3.62e-06],0.000267 [0.000264-0.000287],0.0288 [0.0283-0.0323],3.98 [3.69-4.38],1.09e+03 [864-1.26e+03],5.41e+03 [5.33e+03-8.05e+03]
q=2,twin,backward,3.07e-06 [2.29e-06-3.91e-06],0.000319 [0.000231-0.000325],0.0311 [0.0263-0.037],3.18 [2.62-3.5],837 [695-898],6.92e+03 [6.38e+03-1.17e+04]
q=4,physics,forward,3.03e-05 [2.19e-05-3.13e-05],0.00339 [0.00251-0.00371],0.309 [0.269-0.392],19.6 [7.22-22.3],243 [219-251],4.99e+03 [4.86e+03-5.02e+03]
q=4,physics,backward,3.18e-05 [2.23e-05-3.21e-05],0.00319 [0.00236-0.00334],0.283 [0.221-0.309],12.5 [9.95-15.7],223 [208-264],2.64e+03 [2.23e+03-2.73e+03]
q=4,twin,forward,4.01e-06 [3.42e-06-4.47e-06],0.000319 [0.000317-0.000405],0.0356 [0.0317-0.0368],4.12 [3.91-5.1],1.24e+03 [877-1.25e+03],6.33e+03 [5.11e+03-7.82e+03]
q=4,twin,backward,3.57e-06 [3.14e-06-4.04e-06],0.000261 [0.000227-0.000341],0.0405 [0.0405-0.0432],3.69 [3.24-3.95],854 [741-870],8.76e+03 [6.37e+03-9.36e+03]
q=6,physics,forward,2.53e-05 [1.89e-05-3.22e-05],0.00287 [0.00187-0.00329],0.296 [0.158-0.362],8.6 [4.89-16.3],215 [213-275],840 [670-893]
q=6,physics,backward,2.53e-05 [1.76e-05-3.26e-05],0.00214 [0.00185-0.00339],0.275 [0.177-0.375],10.5 [7.58-12.9],221 [208-226],869 [817-934]
q=6,twin,forward,3.33e-06 [3.15e-06-5.73e-06],0.000307 [0.000298-0.000333],0.0333 [0.0283-0.0338],4.23 [4.14-4.42],1.25e+03 [1.25e+03-1.26e+03],7.04e+03 [5.68e+03-7.97e+03]
q=6,twin,backward,3.99e-06 [3.14e-06-5.4e-06],0.000319 [0.000317-0.000319],0.0351 [0.0331-0.0351],3.23 [3.01-3.27],895 [876-920],1.09e+04 [8.53e+03-1.19e+04]
q=8,physics,forward,1.9e-05 [1.77e-05-2.59e-05],0.00191 [0.00186-0.0027],0.169 [0.165-0.236],7.89 [7.81-8.08],216 [201-241],768 [725-783]
q=8,physics,backward,1.9e-05 [1.83e-05-2.76e-05],0.00204 [0.00183-0.00269],0.259 [0.186-0.286],11.4 [11.1-17.6],226 [172-248],767 [634-799]
q=8,twin,forward,2.78e-06 [2.2e-06-3.45e-06],0.00024 [0.00018-0.000318],0.0308 [0.0198-0.0393],4.16 [2.23-4.2],1.22e+03 [473-1.27e+03],5.93e+03 [4.92e+03-6.99e+03]
q=8,twin,backward,2.81e-06 [2.28e-06-3.84e-06],0.000308 [0.000187-0.000378],0.0326 [0.0216-0.0331],3.1 [2.24-3.15],885 [420-911],1.11e+04 [5.82e+03-1.13e+04]
