mode,seed,phase,outer,loss,wall_s
physics,2,stall,0,0.00012790152002625595,188.4
physics,2,stall,1,5.7237648459428035e-05,208.3
physics,2,stall,2,3.4140685880058134e-05,201.9
physics,2,stall,3,2.0962396769703464e-05,208.6
physics,2,stall,4,1.4357401506107807e-05,202.0
physics,2,stall,5,1.0678353037983079e-05,198.4
physics,2,stall,6,8.145744873199007e-06,199.2
physics,2,stall,7,6.408536450471807e-06,194.0
physics,2,stall,8,5.212977866366132e-06,199.0
physics,2,stall,9,4.36909393877847e-06,202.4
physics,2,stall,10,3.682957556788521e-06,193.1
physics,2,stall,11,3.1659677569365882e-06,178.8
physics,2,stall,12,2.750115707483245e-06,173.2
physics,2,stall,13,2.4213852191560125e-06,165.4
physics,2,stall,14,2.161664118170918e-06,171.5
physics,2,stall,15,1.941691342143264e-06,172.8
physics,2,stall,16,1.7503654681100053e-06,169.2
physics,2,stall,17,1.6016353573333084e-06,171.7
physics,2,stall,18,1.4661470471640179e-06,169.9
physics,2,stall,19,1.3510491415446722e-06,169.4
physics,2,stall,20,1.2516954648208415e-06,167.3
physics,2,stall,21,1.1572285151590032e-06,176.6
physics,2,stall,22,1.0815556082919206e-06,169.0
physics,2,stall,23,1.019710332895615e-06,178.7
physics,2,stall,24,9.503527754352332e-07,172.9
physics,2,stall,25,8.653274494784392e-07,176.1
physics,2,stall,26,8.169776949092717e-07,182.2
physics,2,stall,27,7.685601734486895e-07,176.0
physics,2,stall,28,7.285021052667245e-07,183.1
physics,2,stall,29,6.940243649051004e-07,169.0
physics,2,stall,30,6.595333323588076e-07,171.9
physics,2,stall,31,5.554112340696509e-07,162.6
physics,2,stall,32,5.54443622360983e-07,164.2
physics,2,stall,33,5.539682828732729e-07,162.9
physics,2,confirm,34,5.538745632880645e-07,144.6
physics,2,confirm,35,5.537969719884165e-07,141.6
