predictor,arch,mode,seed,stratum,p_band,direction,n,median_abs_dz_mm,vs_hit_med_um,vs_hit_p95_um,vs_reference_med_um,vs_reference_p95_um
fine reference (material floor),-,-,-,all,all,all,13228,70.22465149999971,20.435931404875873,4938.25178722024,0.0,0.0
fine reference (material floor),-,-,-,all,all,forward,6669,70.2286009999998,24.39064308165939,5905.074385211356,0.0,0.0
fine reference (material floor),-,-,-,all,all,backward,6559,70.22270000000026,16.465744813814354,4169.179631335787,0.0,0.0
fine reference (material floor),-,-,-,all,1-5 GeV,all,6526,70.21979974999931,38.14207568618144,10466.521694290732,0.0,0.0
fine reference (material floor),-,-,-,all,1-5 GeV,forward,3310,70.2234492499997,47.243954382597764,11554.644765535157,0.0,0.0
fine reference (material floor),-,-,-,all,1-5 GeV,backward,3216,70.21649950000028,30.90086509150325,9036.128578782113,0.0,0.0
fine reference (material floor),-,-,-,all,5-20 GeV,all,5212,140.07619949999935,10.886570144279517,1925.8581878569346,0.0,0.0
fine reference (material floor),-,-,-,all,5-20 GeV,forward,2606,140.02239974999975,13.047355792345172,2389.8757031937203,0.0,0.0
fine reference (material floor),-,-,-,all,5-20 GeV,backward,2606,203.6929999999993,8.72630200260005,1563.4565354071426,0.0,0.0
fine reference (material floor),-,-,-,all,20-200 GeV,all,1490,70.21095024999977,2.7142636714501123,437.97802331790746,0.0,0.0
fine reference (material floor),-,-,-,all,20-200 GeV,forward,753,139.99350049999885,3.056909021736942,596.5964945062065,0.0,0.0
fine reference (material floor),-,-,-,all,20-200 GeV,backward,737,70.2077999999965,2.4351221827600966,344.3398933534588,0.0,0.0
fine reference (material floor),-,-,-,0.05-2 mm,all,all,436,0.6499827500010724,0.10938066685639569,0.9476415434050978,0.0,0.0
fine reference (material floor),-,-,-,0.05-2 mm,all,forward,218,0.6499827500010724,0.1143261133620399,1.0065759669160406,0.0,0.0
fine reference (material floor),-,-,-,0.05-2 mm,all,backward,218,0.6499827500010724,0.10531764890231443,0.8744041475438279,0.0,0.0
fine reference (material floor),-,-,-,0.05-2 mm,1-5 GeV,all,248,0.6499792499998875,0.18786870839448966,1.2018352633504037,0.0,0.0
fine reference (material floor),-,-,-,0.05-2 mm,1-5 GeV,forward,124,0.6499792499998875,0.2228997739166516,1.1993442276775568,0.0,0.0
fine reference (material floor),-,-,-,0.05-2 mm,1-5 GeV,backward,124,0.6499792499998875,0.16376321593725152,1.1964563887488555,0.0,0.0
fine reference (material floor),-,-,-,0.05-2 mm,5-20 GeV,all,142,0.6499850000000151,0.08465909736798949,0.2466155949196746,0.0,0.0
fine reference (material floor),-,-,-,0.05-2 mm,5-20 GeV,forward,71,0.6499850000000151,0.07863852863465581,0.22931528924274858,0.0,0.0
fine reference (material floor),-,-,-,0.05-2 mm,5-20 GeV,backward,71,0.6499850000000151,0.09028759359352989,0.3168770284389666,0.0,0.0
fine reference (material floor),-,-,-,0.05-2 mm,20-200 GeV,all,46,0.6499925000007352,0.058006293770063166,0.12500909760859713,0.0,0.0
fine reference (material floor),-,-,-,0.05-2 mm,20-200 GeV,forward,23,0.6499925000007352,0.055693438753223745,0.13017320447659125,0.0,0.0
