row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,4.06e+05 [3.92e+05-4.99e+05],4.1e+05 [3.82e+05-5.06e+05],3.6e+05 [3.25e+05-4.6e+05],3.42e+04 [1.97e+04-4.9e+04],3.4e+03 [2.59e+03-3.8e+03],8.57e+03 [4.55e+03-2.64e+04]
q=2,twin,2.84e+05 [1.88e+05-4.72e+05],1.95e+05 [9.25e+04-2.74e+05],4.21e+04 [1.7e+04-1.58e+05],2.13e+04 [1.62e+04-2.62e+04],5.27e+03 [3.24e+03-7.25e+03],2.8e+03 [2.3e+03-3.44e+03]
q=4,physics,4.11e+05 [3.89e+05-5.05e+05],3.98e+05 [3.68e+05-4.91e+05],3.48e+05 [3.07e+05-4.35e+05],2.4e+04 [1.67e+04-6.1e+04],3.02e+03 [2.36e+03-3.63e+03],3.85e+03 [2.79e+03-5.42e+03]
q=4,twin,2.79e+05 [1.51e+05-3.91e+05],1.41e+05 [8.94e+04-2.56e+05],1.95e+04 [1.63e+04-2.35e+04],7.06e+03 [4.44e+03-8.17e+03],3.8e+03 [3.05e+03-5.92e+03],2.64e+03 [2.21e+03-2.97e+03]
q=6,physics,4.32e+05 [3.41e+05-4.57e+05],4.24e+05 [3.46e+05-4.43e+05],3.67e+05 [3e+05-3.89e+05],2.89e+04 [2.51e+04-3.71e+04],2.85e+03 [1.98e+03-3.64e+03],981 [748-1.06e+03]
q=6,twin,2.69e+05 [2.23e+05-5.33e+05],1.38e+05 [8.33e+04-2.19e+05],1.84e+04 [9e+03-5.53e+04],6.21e+03 [2.93e+03-1.11e+04],4.55e+03 [3.44e+03-6.51e+03],2.82e+03 [2.49e+03-3.13e+03]
q=8,physics,3.83e+05 [3.26e+05-4.37e+05],3.71e+05 [3.14e+05-4.41e+05],3.24e+05 [2.69e+05-3.88e+05],2.7e+04 [1.87e+04-3.44e+04],3.07e+03 [2.46e+03-3.86e+03],880 [755-1.12e+03]
q=8,twin,3.25e+05 [1.8e+05-3.91e+05],1.21e+05 [5.84e+04-2.22e+05],8.45e+03 [7.19e+03-4.32e+04],6.92e+03 [5.67e+03-8.09e+03],4.12e+03 [3.58e+03-6.6e+03],2.69e+03 [2.48e+03-4.02e+03]
q=10,physics,4.06e+05 [3.16e+05-4.91e+05],4.04e+05 [3.17e+05-4.93e+05],3.52e+05 [2.78e+05-4.37e+05],3.1e+04 [2.28e+04-3.66e+04],2.78e+03 [2.48e+03-3.74e+03],767 [636-878]
q=10,twin,2.75e+05 [1.24e+05-4.96e+05],9.18e+04 [6.83e+04-2.16e+05],9.16e+03 [6.36e+03-2.15e+04],7.3e+03 [4.2e+03-1.03e+04],4.93e+03 [3.12e+03-1.1e+04],3.27e+03 [2.66e+03-4.47e+03]
q=12,physics,3.91e+05 [3.64e+05-4.57e+05],4.03e+05 [3.51e+05-4.61e+05],3.54e+05 [3.12e+05-4.12e+05],3.03e+04 [2.02e+04-4.3e+04],2.68e+03 [2.27e+03-3.26e+03],776 [674-917]
q=12,twin,2.76e+05 [8.93e+04-4.7e+05],1.2e+05 [6.02e+04-1.51e+05],7.12e+03 [5.07e+03-1.32e+04],6.44e+03 [3e+03-1.11e+04],6.29e+03 [4.68e+03-1.27e+04],3.42e+03 [2.63e+03-5.73e+03]
q=14,physics,3.81e+05 [2.81e+05-4.16e+05],3.74e+05 [2.92e+05-4.2e+05],3.24e+05 [2.55e+05-3.74e+05],2.85e+04 [1.82e+04-3.6e+04],3.16e+03 [2.74e+03-4.1e+03],811 [719-1.09e+03]
q=14,twin,2.79e+05 [2.24e+05-5.1e+05],1.47e+05 [9.28e+04-2.47e+05],1.16e+04 [5.3e+03-2.35e+04],6.83e+03 [3.56e+03-8.82e+03],4.9e+03 [4.25e+03-6.46e+03],3.64e+03 [3.18e+03-4.47e+03]
q=16,physics,3.67e+05 [2.81e+05-4.08e+05],3.56e+05 [2.89e+05-4.03e+05],3.16e+05 [2.5e+05-3.59e+05],2.46e+04 [1.91e+04-4.03e+04],2.87e+03 [2.2e+03-3.68e+03],727 [679-888]
q=16,twin,3.13e+05 [2.23e+05-5.19e+05],1.81e+05 [5.46e+04-2.96e+05],1.78e+04 [8.4e+03-4.38e+04],5.96e+03 [3.54e+03-1.93e+04],7.26e+03 [3.33e+03-9.5e+03],3.83e+03 [2.25e+03-4.37e+03]
q=18,physics,3.7e+05 [2.79e+05-4.33e+05],3.63e+05 [2.87e+05-4.38e+05],3.13e+05 [2.49e+05-3.94e+05],2.74e+04 [1.39e+04-3.72e+04],3.1e+03 [2.69e+03-4.51e+03],793 [714-835]
q=18,twin,3.34e+05 [1.55e+05-5.56e+05],1.47e+05 [1.03e+05-2.47e+05],6.1e+03 [3.49e+03-4.13e+04],6.41e+03 [4.3e+03-1.1e+04],6.41e+03 [5.12e+03-1.27e+04],3.82e+03 [2.92e+03-5.15e+03]
q=20,physics,3.57e+05 [2.82e+05-4.38e+05],3.53e+05 [2.82e+05-4.11e+05],3.04e+05 [2.41e+05-3.57e+05],2.91e+04 [2.14e+04-3.72e+04],3.34e+03 [2.47e+03-4.48e+03],837 [647-942]
q=20,twin,1.84e+05 [1.26e+05-3.58e+05],9.16e+04 [6.95e+04-1.86e+05],1.07e+04 [6.53e+03-4.39e+04],6.94e+03 [3.53e+03-1.44e+04],7.44e+03 [5.35e+03-9.43e+03],3.65e+03 [3.3e+03-4.89e+03]
straight line,straight line,4.891e+05,4.783e+05,4.783e+05,4.783e+05,4.783e+05,4.783e+05
material floor,material floor,1135,1114,1114,1114,1114,1114
reference floor,reference floor,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05
