row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,3.79e+05 [2.91e+05-4.34e+05],3.77e+05 [3.12e+05-4.24e+05],3.44e+05 [2.8e+05-3.88e+05],5.48e+04 [4.66e+04-8.62e+04],4.73e+03 [4.45e+03-6.32e+03],1.06e+04 [5.41e+03-2.64e+04]
q=2,twin,4.36e+05 [2.44e+05-6.95e+05],3.13e+05 [1.73e+05-4.84e+05],7.87e+04 [7.25e+04-1.01e+05],7.23e+04 [5.59e+04-7.94e+04],2.76e+04 [2.02e+04-3.4e+04],2e+03 [1.7e+03-2.25e+03]
q=4,physics,3.78e+05 [3.43e+05-4.42e+05],3.67e+05 [3.39e+05-4.16e+05],3.33e+05 [3.06e+05-3.77e+05],5.6e+04 [4.05e+04-6.63e+04],4.31e+03 [3.48e+03-5.28e+03],4.15e+03 [2.99e+03-5.7e+03]
q=4,twin,3.61e+05 [3.37e+05-5.43e+05],2.89e+05 [1.98e+05-5.07e+05],8.18e+04 [4.36e+04-1.08e+05],5.78e+04 [3.76e+04-1.23e+05],2.25e+04 [1.5e+04-3.34e+04],1.79e+03 [1.22e+03-2.42e+03]
q=6,physics,4.01e+05 [3.53e+05-4.51e+05],3.95e+05 [3.54e+05-4.24e+05],3.56e+05 [3.2e+05-3.93e+05],5.48e+04 [2.54e+04-6.96e+04],4.09e+03 [3.64e+03-4.88e+03],1.09e+03 [1.01e+03-1.28e+03]
q=6,twin,3.76e+05 [2.52e+05-6.4e+05],2.46e+05 [1.16e+05-3.42e+05],4.17e+04 [3.67e+04-8.95e+04],3.3e+04 [2.54e+04-6.99e+04],1.24e+04 [7.42e+03-1.73e+04],1.9e+03 [1.35e+03-2.41e+03]
q=8,physics,3.67e+05 [3.51e+05-4.16e+05],3.62e+05 [3.55e+05-3.83e+05],3.21e+05 [3.09e+05-3.48e+05],5.13e+04 [2.42e+04-7.29e+04],3.9e+03 [3.67e+03-6.3e+03],955 [884-1.04e+03]
q=8,twin,4.08e+05 [1.97e+05-5.75e+05],2.29e+05 [1.48e+05-2.94e+05],5.49e+04 [5.09e+04-7.53e+04],3.85e+04 [2.32e+04-6.42e+04],9.72e+03 [6.53e+03-2.32e+04],1.69e+03 [1.14e+03-2.15e+03]
q=10,physics,3.86e+05 [2.79e+05-4.65e+05],3.88e+05 [2.83e+05-4.41e+05],3.44e+05 [2.53e+05-3.98e+05],4.94e+04 [2.71e+04-6.45e+04],3.95e+03 [3.52e+03-4.45e+03],990 [834-1.08e+03]
q=10,twin,2.74e+05 [1.88e+05-5.28e+05],1.68e+05 [1.36e+05-3.59e+05],1.6e+04 [1.29e+04-6.41e+04],2.68e+04 [2.13e+04-3.18e+04],8.16e+03 [5.6e+03-9.18e+03],1.87e+03 [1.31e+03-2.73e+03]
q=12,physics,3.89e+05 [3.33e+05-4.24e+05],3.76e+05 [3.47e+05-4.11e+05],3.33e+05 [3.11e+05-3.75e+05],5.2e+04 [2.39e+04-5.94e+04],3.99e+03 [3.25e+03-4.52e+03],997 [897-1.26e+03]
q=12,twin,2.58e+05 [2.1e+05-3.79e+05],1.93e+05 [8.77e+04-2.67e+05],5.12e+04 [2.18e+04-7.52e+04],2.96e+04 [2.27e+04-4.06e+04],7.62e+03 [6.15e+03-9.81e+03],1.72e+03 [1.36e+03-2.15e+03]
q=14,physics,4e+05 [3.45e+05-4.46e+05],3.92e+05 [3.46e+05-4.3e+05],3.48e+05 [3.08e+05-3.83e+05],4.72e+04 [4.04e+04-6e+04],3.91e+03 [3.43e+03-5.86e+03],986 [906-1.06e+03]
q=14,twin,2.68e+05 [1.96e+05-3.44e+05],1.77e+05 [1.13e+05-3.15e+05],2.83e+04 [1.64e+04-4.71e+04],3.23e+04 [1.7e+04-4.72e+04],8.55e+03 [5.59e+03-1.22e+04],1.99e+03 [1.51e+03-2.42e+03]
q=16,physics,3.87e+05 [3.27e+05-4.67e+05],3.81e+05 [3.25e+05-4.6e+05],3.47e+05 [2.86e+05-4.1e+05],4.06e+04 [2.65e+04-5.15e+04],4.07e+03 [3.41e+03-4.69e+03],1.12e+03 [939-1.4e+03]
q=16,twin,3.77e+05 [2.86e+05-4.75e+05],2.11e+05 [1.56e+05-3.7e+05],3.33e+04 [1.18e+04-8.42e+04],3.28e+04 [1.51e+04-3.65e+04],8.7e+03 [5.53e+03-1.01e+04],1.76e+03 [1.6e+03-2.38e+03]
q=18,physics,3.97e+05 [3.56e+05-4.58e+05],3.9e+05 [3.56e+05-4.41e+05],3.57e+05 [3.12e+05-3.93e+05],5.1e+04 [2.45e+04-6.51e+04],4.49e+03 [3.45e+03-5.14e+03],1.02e+03 [864-1.22e+03]
q=18,twin,3.91e+05 [2.89e+05-6.72e+05],2.88e+05 [1.46e+05-4.68e+05],2.99e+04 [1.39e+04-1.08e+05],2.26e+04 [1.06e+04-3.28e+04],5.01e+03 [4.52e+03-6.42e+03],1.94e+03 [1.63e+03-2.65e+03]
q=20,physics,4.42e+05 [3e+05-4.98e+05],4.41e+05 [3.05e+05-4.74e+05],3.99e+05 [2.68e+05-4.28e+05],4.65e+04 [4.07e+04-6.06e+04],3.64e+03 [3.25e+03-4.71e+03],1.01e+03 [885-1.1e+03]
q=20,twin,3.96e+05 [2.32e+05-6.24e+05],2.65e+05 [1.15e+05-5.06e+05],1.95e+04 [1.27e+04-5.47e+04],2.16e+04 [9.78e+03-2.8e+04],6.76e+03 [6.05e+03-1.27e+04],1.91e+03 [1.55e+03-2.52e+03]
single step (grid C4) q=2,"physics, single step",,,,,,1e+04 [9.94e+03-1.02e+04]
single step (grid C4) q=2,"twin, single step",,,,,,1.9e+03 [1.79e+03-1.9e+03]
single step (grid C4) q=4,"physics, single step",,,,,,4.05e+03 [3.86e+03-4.13e+03]
single step (grid C4) q=4,"twin, single step",,,,,,1.46e+03 [1.46e+03-1.98e+03]
single step (grid C4) q=6,"physics, single step",,,,,,1.1e+03 [1.04e+03-1.11e+03]
single step (grid C4) q=6,"twin, single step",,,,,,1.74e+03 [1.47e+03-1.95e+03]
single step (grid C4) q=8,"physics, single step",,,,,,947 [935-1.02e+03]
single step (grid C4) q=8,"twin, single step",,,,,,1.46e+03 [1.35e+03-1.84e+03]
