row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,4.14e+05 [3.38e+05-4.3e+05],4.09e+05 [3.51e+05-4.22e+05],3.43e+05 [2.92e+05-3.58e+05],1.8e+04 [1.36e+04-2.68e+04],4e+03 [3.37e+03-5.4e+03],1.12e+04 [4.59e+03-2.7e+04]
q=2,twin,1.71e+05 [9.93e+04-3.16e+05],2.79e+04 [1.14e+04-4.73e+04],1.1e+04 [8.06e+03-1.42e+04],8.65e+03 [6.57e+03-1.12e+04],9.55e+03 [8.8e+03-1.44e+04],8.27e+03 [6.79e+03-1.12e+04]
q=4,physics,4.2e+05 [3.32e+05-5.56e+05],4.01e+05 [3.11e+05-5.52e+05],3.44e+05 [2.45e+05-4.67e+05],2.85e+04 [1.52e+04-3.08e+04],4.32e+03 [3.59e+03-5.23e+03],3.15e+03 [2.47e+03-4.21e+03]
q=4,twin,9.95e+04 [6.14e+04-1.42e+05],2.71e+04 [1.57e+04-4.92e+04],8.88e+03 [7.54e+03-1.1e+04],8.25e+03 [7.28e+03-1.07e+04],1.09e+04 [8.69e+03-1.44e+04],8.01e+03 [7.27e+03-9.42e+03]
q=6,physics,4.02e+05 [3.43e+05-4.91e+05],4.04e+05 [3.46e+05-4.67e+05],3.39e+05 [2.88e+05-4.02e+05],1.68e+04 [1.17e+04-2.98e+04],4.1e+03 [3.36e+03-5.59e+03],2.2e+03 [1.72e+03-2.89e+03]
q=6,twin,1.18e+05 [8.97e+04-1.84e+05],2.04e+04 [1.33e+04-3.61e+04],9.52e+03 [6.51e+03-1.42e+04],8.17e+03 [5.59e+03-9.29e+03],1.02e+04 [7.32e+03-1.27e+04],8.32e+03 [7.18e+03-1.24e+04]
q=8,physics,4.13e+05 [3.04e+05-5.22e+05],3.71e+05 [3.09e+05-5.17e+05],3.1e+05 [2.51e+05-4.4e+05],2.1e+04 [1.41e+04-2.26e+04],4.7e+03 [3.73e+03-5.55e+03],2.15e+03 [1.79e+03-2.67e+03]
q=8,twin,1.67e+05 [9.93e+04-2.12e+05],4.48e+04 [1.37e+04-8.3e+04],9.37e+03 [5.99e+03-1.93e+04],7.34e+03 [6.02e+03-1.7e+04],9.12e+03 [7.26e+03-1.12e+04],9.01e+03 [8.01e+03-1.23e+04]
q=10,physics,3.57e+05 [3.17e+05-4.36e+05],3.46e+05 [3.21e+05-4.36e+05],2.94e+05 [2.73e+05-3.65e+05],2.4e+04 [1.46e+04-5.04e+04],4.71e+03 [3.97e+03-5.47e+03],2.27e+03 [1.87e+03-2.75e+03]
q=10,twin,1.67e+05 [1.03e+05-2.07e+05],1.76e+04 [8.35e+03-7.22e+04],9.75e+03 [7.14e+03-1.39e+04],9.91e+03 [6.06e+03-1.28e+04],8.68e+03 [6.91e+03-1.12e+04],1.06e+04 [8.69e+03-1.17e+04]
