row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,79.1 [55.3-122],79.7 [54-115],60.8 [44.5-93.7],4.89 [3.82-6.36],1.11 [0.796-1.21],4.05 [4-4.18]
q=2,twin,45.7 [40.3-103],0.618 [0.376-1.71],0.407 [0.351-0.508],0.555 [0.437-0.679],0.804 [0.574-0.938],0.408 [0.317-0.62]
q=4,physics,85.3 [48.8-171],83.5 [50-172],65.1 [41.9-130],5.48 [3.83-6.31],1.15 [0.756-1.31],1.6 [1.42-1.73]
q=4,twin,37.7 [17.6-58.1],0.363 [0.331-0.675],0.355 [0.205-0.863],0.45 [0.398-0.571],0.616 [0.477-0.655],0.332 [0.274-0.444]
q=6,physics,74.7 [44.3-143],77.9 [47-138],62.6 [40.7-106],4.17 [2.71-4.81],0.916 [0.819-1.16],0.181 [0.13-0.24]
q=6,twin,84.8 [30.5-92.4],0.994 [0.368-5.01],0.424 [0.258-1.43],0.501 [0.348-1.42],0.725 [0.601-2.02],0.394 [0.368-1.73]
q=8,physics,94.4 [43.9-107],98.9 [43.7-105],78.7 [36.4-84.1],6.31 [3.7-7.22],1.02 [0.896-1.24],0.18 [0.157-0.205]
q=8,twin,68.1 [35.5-101],1.2 [0.519-2.01],0.733 [0.276-0.887],0.724 [0.525-0.864],1.22 [0.639-2.01],0.7 [0.364-1.82]
q=10,physics,54.2 [33.4-89.8],54.1 [31.6-88.8],45.5 [26-70.9],5.24 [4.28-10.4],1.1 [0.816-1.4],0.192 [0.154-0.225]
q=10,twin,50.6 [36.7-101],0.893 [0.677-1.53],0.529 [0.317-0.752],0.71 [0.588-1.08],1.01 [0.77-3.13],0.55 [0.409-0.915]
q=12,physics,63.4 [39.6-105],59.2 [37-101],48.4 [29.7-82.2],6.53 [3.92-8.42],1.05 [0.932-1.17],0.171 [0.144-0.186]
q=12,twin,53.8 [45.9-64.8],1.42 [0.719-4.22],1.15 [0.319-1.86],1.09 [0.679-1.62],1.59 [0.917-1.74],1.46 [0.639-1.58]
q=14,physics,61.7 [46.1-89.4],58.4 [44.9-84.6],49 [38.1-68.5],5.82 [4.51-6.27],1.13 [0.832-1.34],0.172 [0.161-0.236]
q=14,twin,50.8 [33.3-95.1],1.07 [0.603-3.61],0.475 [0.258-1.39],0.507 [0.367-1.72],0.951 [0.702-1.89],0.506 [0.343-1.62]
q=16,physics,60.5 [41.1-126],60.5 [41.3-124],50.3 [35.1-93.4],5.1 [4.31-8.16],1.02 [0.864-1.11],0.164 [0.124-0.211]
q=16,twin,38.6 [20.6-101],0.793 [0.445-1.84],0.514 [0.379-0.879],0.714 [0.496-1.13],1.15 [0.718-1.48],0.618 [0.41-0.971]
q=18,physics,60.5 [38.6-78],59.6 [38-74.8],48 [31.6-59.9],5.48 [4.23-6.26],1 [0.923-1.36],0.174 [0.153-0.205]
q=18,twin,42.5 [25.3-119],1.27 [0.532-2.73],1.2 [0.55-1.57],0.86 [0.639-1.58],1.32 [0.882-1.94],0.921 [0.551-1.14]
q=20,physics,59.7 [39.3-131],58.8 [38.3-122],47.6 [30.8-91.7],4.51 [3.88-7.05],1.02 [0.654-1.21],0.165 [0.156-0.2]
q=20,twin,50.2 [29-72.1],1.6 [0.621-2.41],1.06 [0.558-1.85],1.01 [0.701-1.23],2.14 [0.979-2.38],1.12 [0.542-3.67]
straight line,straight line,187.9,182.6,182.6,182.6,182.6,182.6
material floor,material floor,0.4187,0.3986,0.3986,0.3986,0.3986,0.3986
reference floor,reference floor,,,,,,
