row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,2 [1.28-2.28],1.85 [1.34-2.15],1.76 [1.35-2.01],1.06 [0.86-1.37],0.325 [0.259-0.47],0.169 [0.144-0.191]
q=2,twin,0.754 [0.574-1.47],0.508 [0.475-1.09],0.671 [0.374-1.02],0.538 [0.38-0.708],0.605 [0.432-1.02],0.568 [0.462-0.639]
q=4,physics,2.17 [1.05-4.15],2.32 [0.988-4.47],2.37 [0.978-4.35],0.943 [0.87-1.02],0.296 [0.23-0.462],0.0864 [0.0689-0.101]
q=4,twin,1.03 [0.556-2.08],0.472 [0.344-0.717],0.493 [0.295-1.11],0.469 [0.328-0.575],0.493 [0.459-0.624],0.574 [0.348-0.717]
q=6,physics,2.32 [0.848-3.11],2.47 [0.957-3.43],2.25 [0.943-3.29],1.06 [0.928-1.51],0.338 [0.33-0.52],0.0653 [0.0536-0.0854]
q=6,twin,0.761 [0.57-0.954],0.455 [0.409-0.561],0.501 [0.411-0.722],0.468 [0.389-0.603],0.47 [0.351-0.642],0.526 [0.495-0.643]
q=8,physics,2.57 [1.03-3.98],2.61 [0.97-3.9],2.52 [0.896-4.14],1.23 [0.77-1.61],0.377 [0.296-0.416],0.0713 [0.0561-0.0768]
q=8,twin,0.674 [0.556-0.754],0.403 [0.34-0.771],0.456 [0.322-0.68],0.482 [0.327-0.623],0.43 [0.395-0.452],0.526 [0.496-0.62]
q=10,physics,2.11 [1.05-6.36],1.96 [0.927-6.65],1.95 [0.896-6.34],0.822 [0.643-1.34],0.362 [0.237-0.452],0.0653 [0.0559-0.0729]
q=10,twin,0.764 [0.444-1.05],0.549 [0.418-0.924],0.453 [0.392-0.768],0.455 [0.401-0.669],0.439 [0.415-0.659],0.586 [0.511-0.761]
q=12,physics,1.53 [1.16-1.89],1.51 [1.09-1.81],1.55 [1.21-1.75],0.9 [0.762-1.04],0.324 [0.301-0.383],0.0601 [0.0511-0.0651]
q=12,twin,0.946 [0.749-1.17],0.563 [0.436-0.876],0.589 [0.485-0.725],0.447 [0.358-0.82],0.464 [0.389-0.668],0.725 [0.62-1.04]
q=14,physics,2.27 [1.2-4.62],2.28 [1.27-4.63],2.57 [1.11-4.83],1.03 [0.558-1.18],0.344 [0.209-0.42],0.0643 [0.0544-0.0711]
q=14,twin,0.859 [0.553-1.15],0.536 [0.413-0.825],0.556 [0.453-1.03],0.49 [0.423-0.797],0.552 [0.456-1.03],0.762 [0.415-0.982]
q=16,physics,1.36 [1.01-1.99],1.24 [0.983-1.77],1.31 [0.912-1.7],1.01 [0.523-1.43],0.331 [0.283-0.383],0.0646 [0.0575-0.0729]
q=16,twin,0.982 [0.598-1.17],0.577 [0.41-0.772],0.59 [0.445-0.689],0.483 [0.375-0.783],0.453 [0.365-0.833],0.532 [0.43-0.844]
q=18,physics,1.9 [0.835-4.44],1.78 [0.758-4.16],1.74 [0.657-4.05],0.775 [0.765-0.813],0.341 [0.288-0.412],0.0621 [0.0463-0.0665]
q=18,twin,0.926 [0.606-1.28],0.523 [0.428-1.2],0.733 [0.477-1.03],0.577 [0.337-0.812],0.505 [0.369-0.669],0.764 [0.546-1.05]
q=20,physics,1.49 [1.06-3.54],1.56 [1.01-3.39],1.63 [0.939-3.28],0.845 [0.621-2.08],0.332 [0.289-0.402],0.0621 [0.0503-0.0713]
q=20,twin,0.891 [0.678-1.25],0.761 [0.387-0.893],0.595 [0.401-1.18],0.633 [0.453-0.711],0.42 [0.354-0.604],0.588 [0.413-0.666]
straight line,straight line,0.4113,0.3281,0.3281,0.3281,0.3281,0.3281
material floor,material floor,0.2754,0.2624,0.2624,0.2624,0.2624,0.2624
reference floor,reference floor,,,,,,
