row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,5.93e+03 [3.31e+03-1.15e+04],5.89e+03 [3.84e+03-1.11e+04],5.62e+03 [3.81e+03-1.05e+04],3.37e+03 [2.19e+03-5.35e+03],967 [806-1.15e+03],690 [600-798]
q=2,twin,2.51e+03 [1.86e+03-3.4e+03],2.23e+03 [1.67e+03-3.71e+03],2.22e+03 [1.12e+03-3.65e+03],1.75e+03 [1.07e+03-2.89e+03],2.24e+03 [1.52e+03-3.01e+03],2.04e+03 [1.54e+03-3.18e+03]
q=4,physics,4.29e+03 [3.05e+03-1.5e+04],4.22e+03 [3.17e+03-1.51e+04],3.96e+03 [3.05e+03-1.44e+04],2.63e+03 [1.82e+03-3.5e+03],851 [780-1.03e+03],219 [177-338]
q=4,twin,2.69e+03 [1.73e+03-4.82e+03],2.16e+03 [631-2.66e+03],1.59e+03 [500-3.02e+03],1.31e+03 [599-2.33e+03],1.74e+03 [849-2.5e+03],1.56e+03 [562-3.52e+03]
q=6,physics,6.49e+03 [2.28e+03-7.43e+03],6.71e+03 [2.44e+03-7.74e+03],6.72e+03 [2.22e+03-7.53e+03],2.84e+03 [1.9e+03-3.43e+03],820 [682-979],207 [178-257]
q=6,twin,2.43e+03 [1.98e+03-3.02e+03],1.31e+03 [801-2.17e+03],1.82e+03 [713-2.3e+03],1.27e+03 [983-2.37e+03],1.66e+03 [1.28e+03-3.05e+03],1.6e+03 [620-2.73e+03]
q=8,physics,7.16e+03 [3.94e+03-1.48e+04],7.21e+03 [3.88e+03-1.44e+04],6.98e+03 [3.73e+03-1.44e+04],3.31e+03 [2.39e+03-5.63e+03],754 [635-873],187 [130-213]
q=8,twin,2.77e+03 [2.21e+03-5.9e+03],1.7e+03 [1.07e+03-2.72e+03],1.88e+03 [1.15e+03-2.57e+03],1.6e+03 [1.21e+03-2.23e+03],1.81e+03 [1.13e+03-2.95e+03],2.35e+03 [1.2e+03-2.83e+03]
q=10,physics,5.76e+03 [3.55e+03-1.66e+04],6.02e+03 [3.42e+03-1.63e+04],6.14e+03 [3.39e+03-1.65e+04],2.81e+03 [1.44e+03-3.09e+03],781 [584-998],176 [159-242]
q=10,twin,2.92e+03 [2.32e+03-3.83e+03],2.12e+03 [1.5e+03-2.89e+03],2.49e+03 [1.19e+03-3.53e+03],1.78e+03 [1.28e+03-2.65e+03],1.99e+03 [1.16e+03-2.37e+03],1.78e+03 [1.28e+03-2.41e+03]
q=12,physics,4.97e+03 [3.92e+03-7.84e+03],4.56e+03 [3.82e+03-8.63e+03],3.83e+03 [3.52e+03-7.9e+03],2.38e+03 [1.93e+03-3.76e+03],859 [695-1.14e+03],189 [147-223]
q=12,twin,2.72e+03 [2.07e+03-7.32e+03],2.24e+03 [796-7.42e+03],1.65e+03 [641-2.53e+03],1.68e+03 [842-2.22e+03],1.63e+03 [781-2.27e+03],2.2e+03 [545-3.17e+03]
q=14,physics,6.43e+03 [3.78e+03-9.12e+03],6.73e+03 [3.68e+03-9.14e+03],5.51e+03 [3.06e+03-8.97e+03],2.32e+03 [1.8e+03-3.14e+03],840 [719-960],164 [140-248]
q=14,twin,2.32e+03 [1.91e+03-2.61e+03],1.89e+03 [1.27e+03-2.8e+03],2.2e+03 [1.11e+03-2.45e+03],1.7e+03 [1.13e+03-2.26e+03],1.85e+03 [1.02e+03-2.33e+03],2.06e+03 [1.46e+03-3.7e+03]
q=16,physics,5.24e+03 [3.29e+03-1.08e+04],5.59e+03 [3.25e+03-1.11e+04],4.98e+03 [2.85e+03-1.07e+04],2.82e+03 [2.22e+03-3.29e+03],920 [777-1.1e+03],188 [172-215]
q=16,twin,2.82e+03 [2.04e+03-3.13e+03],1.94e+03 [1.09e+03-4.15e+03],1.89e+03 [1.15e+03-2.82e+03],2.06e+03 [1.13e+03-3.56e+03],1.77e+03 [1e+03-2.53e+03],2.08e+03 [1.89e+03-3.33e+03]
q=18,physics,5.33e+03 [3.12e+03-7.97e+03],5.34e+03 [3.01e+03-7.79e+03],5.41e+03 [2.85e+03-7.34e+03],3.19e+03 [2.11e+03-4.15e+03],812 [627-1.19e+03],188 [147-201]
q=18,twin,2.88e+03 [2.7e+03-5.46e+03],2.33e+03 [1.57e+03-2.65e+03],1.55e+03 [884-2.65e+03],1.51e+03 [963-2.36e+03],1.62e+03 [935-2.48e+03],1.75e+03 [1.14e+03-2.66e+03]
q=20,physics,4.11e+03 [3.16e+03-5.76e+03],4.08e+03 [2.96e+03-5.56e+03],3.95e+03 [2.8e+03-5.11e+03],2.36e+03 [2e+03-3.11e+03],871 [721-1.07e+03],202 [148-240]
q=20,twin,2.66e+03 [1.96e+03-3.07e+03],2.34e+03 [1.26e+03-3.42e+03],2.41e+03 [999-3.97e+03],2.18e+03 [1.12e+03-2.53e+03],1.68e+03 [1.19e+03-2.38e+03],2.28e+03 [929-3.38e+03]
straight line,straight line,1493,1405,1405,1405,1405,1405
material floor,material floor,767.5,745.2,745.2,745.2,745.2,745.2
reference floor,reference floor,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05
