arch,mode,column,component,unit,median_abs,p95_abs,bias_over_rms,bias_over_median,p95_over_median,n_cells
2x128,data,0.1 mm,max_xy,um,283746,2.14485e+06,nan,nan,7.76969,30
2x128,data,0.1 mm,tx,mrad,115.261,838.608,0.10319,0.34417,7.69833,30
2x128,data,0.1 mm,ty,mrad,1.20126,30.2906,0.0886293,1.26352,26.7442,30
2x128,data,0.1 mm,x,um,281632,2.14485e+06,0.072566,0.238889,7.82693,30
2x128,data,0.1 mm,y,um,2928.78,74089.4,0.0539708,0.728019,27.0165,30
2x128,data,1 mm,max_xy,um,140424,1.91168e+06,nan,nan,13.9711,30
2x128,data,1 mm,tx,mrad,51.4825,760.167,0.0779647,0.548313,15.2058,30
2x128,data,1 mm,ty,mrad,0.922476,29.0112,0.0572292,1.31683,28.7955,30
2x128,data,1 mm,x,um,137080,1.91168e+06,0.0869333,0.559466,14.1301,30
2x128,data,1 mm,y,um,2534.39,74921.3,0.0413008,0.75021,29.4753,30
2x128,data,10 mm,max_xy,um,13870.3,391962,nan,nan,23.2817,30
2x128,data,10 mm,tx,mrad,4.68847,145.791,0.0388694,1.14773,25.4787,30
2x128,data,10 mm,ty,mrad,0.64593,14.7477,0.0320829,0.567404,22.9999,30
2x128,data,10 mm,x,um,12358.6,391962,0.0749035,1.87034,24.5451,30
2x128,data,10 mm,y,um,2021.3,49082.4,0.0279805,0.475849,24.5985,30
2x128,data,100 mm,max_xy,um,8555.94,105162,nan,nan,12.6855,30
2x128,data,100 mm,tx,mrad,2.59479,34.2677,0.0394395,0.407319,14.9982,30
2x128,data,100 mm,ty,mrad,0.794023,12.9109,0.0501048,0.476372,16.8624,30
2x128,data,100 mm,x,um,6999.34,101952,0.063223,0.759541,14.5024,30
2x128,data,100 mm,y,um,2114.84,39466.1,0.0529348,0.518426,16.954,30
2x128,data,1000 mm,max_xy,um,6845.16,77621.1,nan,nan,12.0613,30
2x128,data,1000 mm,tx,mrad,1.90417,30.4278,0.0454256,0.395069,15.6036,30
2x128,data,1000 mm,ty,mrad,0.718903,12.5502,0.0359477,0.298281,17.9648,30
2x128,data,1000 mm,x,um,5445.88,74530.9,0.0685646,0.632406,13.7208,30
2x128,data,1000 mm,y,um,1908.89,34457.8,0.0511954,0.515687,17.2556,30
2x128,data,full crossing,max_xy,um,4244.53,55305.2,nan,nan,12.6086,30
2x128,data,full crossing,tx,mrad,1.29797,21.7495,0.039716,0.403609,15.5089,30
2x128,data,full crossing,ty,mrad,0.534431,10.3884,0.0433799,0.417655,18.6955,30
2x128,data,full crossing,x,um,3284.75,48785.2,0.0689097,0.628638,15.341,30
2x128,data,full crossing,y,um,1710.21,31392.7,0.0251014,0.204932,17.5197,30
2x128,physics,0.1 mm,max_xy,um,391564,1.03222e+06,nan,nan,2.6951,30
2x128,physics,0.1 mm,tx,mrad,137.563,380.362,0.0352652,0.0507091,2.86151,30
2x128,physics,0.1 mm,ty,mrad,2.60916,25.3407,0.0961275,0.531977,9.43181,30
2x128,physics,0.1 mm,x,um,391564,1.03222e+06,0.142803,0.204502,2.6951,30
2x128,physics,0.1 mm,y,um,6316.22,77059.8,0.110788,0.746562,12.0824,30
2x128,physics,1 mm,max_xy,um,379470,1.04731e+06,nan,nan,2.73829,30
2x128,physics,1 mm,tx,mrad,134.873,388.236,0.0419959,0.0616363,2.89766,30
2x128,physics,1 mm,ty,mrad,2.53073,24.8099,0.0933192,0.465387,9.84214,30
2x128,physics,1 mm,x,um,379470,1.04731e+06,0.17458,0.243314,2.73829,30
2x128,physics,1 mm,y,um,5949.04,75019.6,0.164993,0.900003,12.0515,30
2x128,physics,10 mm,max_xy,um,332286,918416,nan,nan,2.79791,30
2x128,physics,10 mm,tx,mrad,117.546,343.956,0.0430257,0.0681885,2.9987,30
2x128,physics,10 mm,ty,mrad,2.36623,22.536,0.0810856,0.415339,9.47673,30
2x128,physics,10 mm,x,um,332286,918416,0.172787,0.233905,2.79791,30
2x128,physics,10 mm,y,um,5665.43,69833.7,0.162062,0.887501,11.9753,30
2x128,physics,100 mm,max_xy,um,29582.5,139206,nan,nan,4.83971,30
2x128,physics,100 mm,tx,mrad,10.6918,49.9394,0.118049,0.276614,4.65019,30
2x128,physics,100 mm,ty,mrad,1.14417,11.5464,0.0794656,0.384743,9.7989,30
2x128,physics,100 mm,x,um,28711.3,138858,0.133676,0.347401,4.91929,30
2x128,physics,100 mm,y,um,3376.22,39673.6,0.0659091,0.348987,11.8126,30
2x128,physics,1000 mm,max_xy,um,3512.66,31651.2,nan,nan,9.2811,30
2x128,physics,1000 mm,tx,mrad,1.38016,15.0187,0.0438744,0.264378,11.1359,30
2x128,physics,1000 mm,ty,mrad,0.431519,6.58822,0.0592866,0.57228,15.0097,30
2x128,physics,1000 mm,x,um,3077.76,29293.2,0.0599786,0.379333,9.68011,30
