tag,width,depth,q,mode,seed,wall_s,host,created
w128_d2_q02_data_s0,128,2,2,data,0,386.2,wn-lot-050.nikhef.nl,2026-09-08 13:32:50
w128_d2_q02_data_s1,128,2,2,data,1,384.3,wn-knek-003.nikhef.nl,2026-09-08 13:32:50
w128_d2_q02_data_s2,128,2,2,data,2,388.9,wn-knek-014.nikhef.nl,2026-09-08 13:32:55
w128_d2_q02_physics_s0,128,2,2,physics,0,383.6,wn-knek-010.nikhef.nl,2026-09-08 13:32:47
w128_d2_q02_physics_s1,128,2,2,physics,1,396,wn-knek-015.nikhef.nl,2026-09-08 13:33:00
w128_d2_q02_physics_s2,128,2,2,physics,2,391.7,wn-knek-013.nikhef.nl,2026-09-08 13:32:55
w128_d2_q04_data_s0,128,2,4,data,0,402.2,wn-knek-007.nikhef.nl,2026-09-08 13:33:15
w128_d2_q04_data_s1,128,2,4,data,1,399.6,wn-lot-050.nikhef.nl,2026-09-08 13:33:10
w128_d2_q04_data_s2,128,2,4,data,2,400.5,wn-knek-017.nikhef.nl,2026-09-08 13:33:14
w128_d2_q04_physics_s0,128,2,4,physics,0,422.8,wn-lot-038.nikhef.nl,2026-09-08 13:33:31
w128_d2_q04_physics_s1,128,2,4,physics,1,430.2,wn-lot-049.nikhef.nl,2026-09-08 13:33:39
w128_d2_q04_physics_s2,128,2,4,physics,2,406.8,wn-knek-005.nikhef.nl,2026-09-08 13:33:18
w128_d2_q06_data_s0,128,2,6,data,0,407,wn-lot-050.nikhef.nl,2026-09-08 13:33:23
w128_d2_q06_data_s1,128,2,6,data,1,417.2,wn-lot-048.nikhef.nl,2026-09-08 13:33:34
w128_d2_q06_data_s2,128,2,6,data,2,419.1,wn-lot-048.nikhef.nl,2026-09-08 13:33:36
w128_d2_q06_physics_s0,128,2,6,physics,0,430.6,wn-lot-059.nikhef.nl,2026-09-08 13:33:42
w128_d2_q06_physics_s1,128,2,6,physics,1,415.3,wn-lot-045.nikhef.nl,2026-09-08 13:33:29
w128_d2_q06_physics_s2,128,2,6,physics,2,432.4,wn-lot-044.nikhef.nl,2026-09-08 13:33:47
w128_d2_q08_data_s0,128,2,8,data,0,428,wn-lot-053.nikhef.nl,2026-09-08 13:33:47
w128_d2_q08_data_s1,128,2,8,data,1,425,wn-lot-048.nikhef.nl,2026-09-08 13:33:44
w128_d2_q08_data_s2,128,2,8,data,2,424,wn-lot-048.nikhef.nl,2026-09-08 13:33:44
w128_d2_q08_physics_s0,128,2,8,physics,0,418.2,wn-lot-046.nikhef.nl,2026-09-08 13:33:36
w128_d2_q08_physics_s1,128,2,8,physics,1,440.6,wn-lot-055.nikhef.nl,2026-09-08 13:33:59
w128_d2_q08_physics_s2,128,2,8,physics,2,407.3,wn-lot-047.nikhef.nl,2026-09-08 13:33:27
