arm,group,place,rank,tag,arch,width,depth,q,mode,seed,best_column,best_median_um,single_step_full_crossing_um,n_parameters,multiply_adds,col_0.1_mm,col_1_mm,col_10_mm,col_100_mm,col_1000_mm,col_full_crossing
physics,best,1,1,w128_d8_q14_physics_s0,8x128,128,8,14,physics,0,full crossing,549.323,673.202,124348,123264,188321,171971,120584,9040.77,2692.15,549.323
physics,best,2,2,w128_d8_q12_physics_s2,8x128,128,8,12,physics,2,full crossing,572.562,677.336,123316,122240,165647,178225,120202,10953.1,2214.08,572.562
physics,best,3,3,w128_d8_q18_physics_s0,8x128,128,8,18,physics,0,full crossing,590.349,673.724,126412,125312,131875,120557,84479.6,10708.1,2251.02,590.349
physics,worst,1,562,w256_d2_q02_physics_s2,2x256,256,2,2,physics,2,1000 mm,5394.42,10046.6,70924,70400,351191,353203,321558,71280.9,5394.42,10777.3
physics,worst,2,548,w256_d2_q02_physics_s1,2x256,256,2,2,physics,1,1000 mm,5085.5,10046.6,70924,70400,390089,384352,347950,54349.1,5085.5,10544.5
physics,worst,3,527,w32_d2_q02_physics_s1,2x32,32,2,2,physics,1,1000 mm,4668.87,9831.02,1708,1632,431448,438826,363087,17852.2,4668.87,10160.4
twin,best,1,175,w256_d4_q02_data_s1,4x256,256,4,2,data,1,10 mm,893.806,905.764,202508,201472,186842,1558.44,893.806,2014.06,2265.46,1011.35
twin,best,2,196,w256_d4_q02_data_s0,4x256,256,4,2,data,0,full crossing,928.313,905.764,202508,201472,141575,3318.15,1021.56,1276.56,2155.71,928.313
twin,best,3,213,w128_d4_q04_data_s1,4x128,128,4,4,data,1,full crossing,954.762,969.966,53140,52608,100099,1197.26,1705.71,1499.99,1882.17,954.762
twin,worst,1,720,w32_d2_q10_data_s2,2x32,32,2,10,data,2,full crossing,10477.6,9614.8,2764,2656,65447.6,14747.7,14533,14637.4,14845.9,10477.6
twin,worst,2,719,w32_d2_q14_data_s2,2x32,32,2,14,data,2,1 mm,10155.6,9876.78,3292,3168,19554,10155.6,10241.3,11846.8,11620.9,10733.4
twin,worst,3,718,w64_d2_q20_data_s0,2x64,64,2,20,data,0,1000 mm,9849.51,10183.4,10132,9920,187933,15876.9,9947.31,10441.5,9849.51,11199.7
