row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,0.00282 [0.0028-0.00285],0.0284 [0.0283-0.0285],0.256 [0.252-0.257],0.569 [0.548-0.623],0.601 [0.543-0.643],3.96 [3.94-3.97]
q=2,twin,0.00329 [0.00297-0.00332],0.0264 [0.0231-0.0274],0.084 [0.0788-0.11],0.699 [0.664-0.734],3.8 [2.86-3.99],2.03 [1.08-2.04]
q=4,physics,0.00284 [0.00278-0.00285],0.0284 [0.028-0.0285],0.258 [0.254-0.258],0.558 [0.547-0.615],0.634 [0.499-0.651],1.58 [1.49-1.58]
q=4,twin,0.00333 [0.00276-0.00335],0.0235 [0.0211-0.0273],0.0867 [0.0607-0.106],0.584 [0.485-0.965],2.89 [2.08-4.19],1.11 [0.876-1.18]
q=6,physics,0.00284 [0.00284-0.00287],0.028 [0.0276-0.0289],0.256 [0.253-0.26],0.567 [0.474-0.588],0.528 [0.504-0.563],0.241 [0.24-0.26]
q=6,twin,0.00307 [0.003-0.00321],0.0228 [0.022-0.0229],0.046 [0.0427-0.0512],0.37 [0.339-0.514],1.64 [1.19-2.22],0.801 [0.69-0.838]
q=8,physics,0.0028 [0.00278-0.00288],0.0281 [0.0278-0.0282],0.258 [0.248-0.259],0.488 [0.421-0.528],0.542 [0.536-0.685],0.225 [0.192-0.237]
q=8,twin,0.00329 [0.00321-0.00357],0.0276 [0.0256-0.031],0.0727 [0.0581-0.083],0.479 [0.341-0.558],1.37 [1.16-2.74],0.784 [0.731-0.902]
q=10,physics,0.00282 [0.00277-0.00285],0.0283 [0.0279-0.0284],0.255 [0.249-0.261],0.501 [0.42-0.537],0.505 [0.492-0.554],0.21 [0.189-0.23]
q=10,twin,0.00306 [0.0029-0.00322],0.022 [0.0182-0.026],0.0174 [0.0131-0.0676],0.285 [0.213-0.331],1.04 [0.994-1.22],0.566 [0.515-0.671]
q=12,physics,0.00279 [0.00277-0.00282],0.0279 [0.0278-0.0281],0.253 [0.25-0.255],0.479 [0.404-0.548],0.527 [0.49-0.58],0.203 [0.193-0.225]
q=12,twin,0.00291 [0.00286-0.003],0.0236 [0.0207-0.0243],0.0538 [0.0268-0.0577],0.28 [0.246-0.305],1.08 [0.984-1.09],0.648 [0.537-0.71]
q=14,physics,0.0029 [0.00282-0.00291],0.0279 [0.0279-0.029],0.254 [0.253-0.255],0.493 [0.444-0.495],0.475 [0.44-0.588],0.203 [0.2-0.23]
q=14,twin,0.0028 [0.00267-0.00282],0.0208 [0.0162-0.023],0.0293 [0.0289-0.0584],0.277 [0.239-0.436],1.11 [0.77-1.63],0.657 [0.654-0.743]
q=16,physics,0.00286 [0.0028-0.00294],0.0279 [0.0278-0.0285],0.256 [0.252-0.258],0.433 [0.418-0.466],0.495 [0.473-0.534],0.217 [0.214-0.239]
q=16,twin,0.00301 [0.00282-0.00317],0.0222 [0.0216-0.0227],0.0318 [0.0185-0.0585],0.244 [0.208-0.38],0.892 [0.666-1.19],0.607 [0.581-0.696]
q=18,physics,0.00284 [0.00273-0.0029],0.0281 [0.0277-0.0284],0.251 [0.25-0.257],0.474 [0.381-0.485],0.518 [0.458-0.654],0.209 [0.207-0.227]
q=18,twin,0.00305 [0.00296-0.00321],0.0246 [0.0178-0.0259],0.0399 [0.016-0.0709],0.244 [0.129-0.259],0.61 [0.543-0.619],0.588 [0.536-0.601]
q=20,physics,0.00281 [0.00278-0.00288],0.0277 [0.0274-0.0285],0.25 [0.249-0.253],0.468 [0.45-0.479],0.538 [0.467-0.592],0.207 [0.203-0.222]
q=20,twin,0.00268 [0.00267-0.00294],0.0176 [0.017-0.019],0.0176 [0.0164-0.0184],0.216 [0.182-0.238],0.844 [0.693-1.02],0.647 [0.638-0.655]
