row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,7.69e-05 [5.78e-05-8.49e-05],0.000819 [0.000626-0.000864],0.00753 [0.00606-0.00944],0.0587 [0.0512-0.0653],0.197 [0.184-0.206],0.199 [0.198-0.208]
q=2,twin,1.28e-05 [1.27e-05-1.48e-05],0.000144 [0.000126-0.000151],0.00139 [0.00131-0.00144],0.0141 [0.0135-0.0144],0.112 [0.096-0.112],0.406 [0.382-0.427]
q=4,physics,5.25e-05 [5.02e-05-6.81e-05],0.000532 [0.000512-0.000606],0.00546 [0.00499-0.00681],0.0463 [0.0437-0.058],0.165 [0.158-0.174],0.138 [0.126-0.138]
q=4,twin,1.16e-05 [1.03e-05-1.73e-05],0.000125 [0.000124-0.000134],0.00131 [0.00126-0.00132],0.0136 [0.0135-0.0148],0.105 [0.1-0.112],0.369 [0.359-0.38]
q=6,physics,5.52e-05 [5.38e-05-6.44e-05],0.000555 [0.000537-0.000662],0.00563 [0.00544-0.00646],0.0486 [0.0465-0.0578],0.188 [0.186-0.189],0.131 [0.125-0.132]
q=6,twin,1.26e-05 [1.13e-05-1.83e-05],0.00014 [0.00012-0.00018],0.00131 [0.0012-0.00144],0.0137 [0.0127-0.0163],0.117 [0.0978-0.141],0.384 [0.365-0.527]
q=8,physics,4.16e-05 [3.68e-05-5.81e-05],0.000425 [0.000355-0.000593],0.00483 [0.00357-0.0058],0.0414 [0.0376-0.0576],0.193 [0.176-0.199],0.138 [0.134-0.153]
q=8,twin,1.35e-05 [1.11e-05-1.42e-05],0.000134 [0.000129-0.000155],0.0013 [0.00123-0.00134],0.0135 [0.0126-0.0139],0.104 [0.102-0.111],0.377 [0.373-0.421]
q=10,physics,4.17e-05 [4.15e-05-9.64e-05],0.000477 [0.000441-0.000958],0.00438 [0.0041-0.01],0.0443 [0.0413-0.0587],0.224 [0.172-0.239],0.153 [0.115-0.154]
q=10,twin,1.09e-05 [1.07e-05-1.18e-05],0.000128 [0.000128-0.000135],0.00126 [0.0012-0.00127],0.0133 [0.0132-0.0133],0.1 [0.0961-0.102],0.369 [0.366-0.386]
q=12,physics,3.28e-05 [3.14e-05-4.42e-05],0.000338 [0.000318-0.000489],0.00336 [0.00331-0.00503],0.0383 [0.0342-0.0492],0.217 [0.161-0.247],0.133 [0.111-0.148]
q=12,twin,1.1e-05 [1.06e-05-1.25e-05],0.000128 [0.000125-0.000142],0.00121 [0.00118-0.00126],0.013 [0.0123-0.0133],0.0988 [0.0965-0.0994],0.358 [0.357-0.37]
q=14,physics,3.62e-05 [3.52e-05-3.72e-05],0.000367 [0.000366-0.000379],0.00374 [0.00368-0.00413],0.0364 [0.0351-0.0398],0.221 [0.162-0.23],0.142 [0.137-0.142]
q=14,twin,1.08e-05 [1.07e-05-1.28e-05],0.000125 [0.000123-0.000133],0.00123 [0.0012-0.00127],0.0131 [0.0128-0.0133],0.101 [0.0963-0.101],0.375 [0.359-0.383]
q=16,physics,3.95e-05 [2.6e-05-4.56e-05],0.000417 [0.000291-0.000445],0.00406 [0.00274-0.00422],0.0378 [0.0258-0.0403],0.186 [0.163-0.228],0.128 [0.123-0.133]
q=16,twin,1.19e-05 [1.15e-05-1.21e-05],0.000129 [0.000129-0.000134],0.00129 [0.00123-0.00131],0.0131 [0.0127-0.0135],0.106 [0.0984-0.11],0.384 [0.362-0.403]
q=18,physics,3.12e-05 [3.04e-05-3.82e-05],0.000327 [0.000296-0.000388],0.00317 [0.00313-0.00379],0.0368 [0.0323-0.0398],0.212 [0.182-0.22],0.148 [0.142-0.152]
q=18,twin,1.08e-05 [1e-05-1.11e-05],0.000125 [0.000124-0.000127],0.00126 [0.0012-0.00126],0.0131 [0.0124-0.0133],0.101 [0.0951-0.104],0.369 [0.365-0.37]
q=20,physics,3.12e-05 [2.99e-05-3.13e-05],0.00031 [0.00031-0.000311],0.00316 [0.0031-0.00321],0.0323 [0.0314-0.0334],0.207 [0.188-0.217],0.139 [0.113-0.155]
q=20,twin,1.15e-05 [1.09e-05-1.57e-05],0.000125 [0.000124-0.000165],0.00125 [0.00125-0.00125],0.0134 [0.0129-0.0145],0.105 [0.103-0.112],0.383 [0.367-0.413]
