row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,3.21e-05 [1.16e-05-3.48e-05],0.00331 [0.0012-0.00373],0.34 [0.123-0.37],22.9 [14.3-37.8],484 [479-492],8.63e+03 [8.07e+03-8.64e+03]
q=2,twin,1.96e-06 [1.21e-06-2.67e-06],0.0002 [0.000128-0.000306],0.0223 [0.0161-0.0376],3.18 [2.88-4.33],638 [573-799],5.16e+03 [4.94e+03-6.59e+03]
q=4,physics,1.42e-05 [1.22e-05-2.91e-05],0.00154 [0.00129-0.00305],0.154 [0.141-0.315],13.3 [12.3-24.5],463 [376-463],3.51e+03 [3.45e+03-3.57e+03]
q=4,twin,1.7e-06 [1.56e-06-1.79e-06],0.000188 [0.000159-0.000206],0.021 [0.0206-0.025],2.87 [2.41-3.16],580 [525-698],5.82e+03 [4.7e+03-6.01e+03]
q=6,physics,1.26e-05 [1.25e-05-2.44e-05],0.00124 [0.00121-0.00255],0.153 [0.127-0.256],18 [14-28.4],405 [375-447],889 [852-1.01e+03]
q=6,twin,1.85e-06 [1.3e-06-2.39e-06],0.000193 [0.00012-0.000256],0.0273 [0.0179-0.0296],3.04 [2.39-3.14],683 [464-712],5.67e+03 [5.43e+03-6.86e+03]
q=8,physics,1.4e-05 [1.16e-05-2.21e-05],0.00149 [0.00114-0.00228],0.154 [0.118-0.232],17.9 [11.3-22.1],409 [397-467],840 [772-951]
q=8,twin,2.23e-06 [1.96e-06-2.6e-06],0.00025 [0.000236-0.000299],0.0263 [0.0256-0.0284],3.08 [2.88-3.38],677 [661-771],5.96e+03 [5.91e+03-7.6e+03]
q=10,physics,1.19e-05 [1.12e-05-1.23e-05],0.00128 [0.00122-0.0013],0.127 [0.121-0.129],12.5 [11.9-16.5],414 [353-493],857 [850-862]
q=10,twin,3.39e-06 [2.18e-06-3.52e-06],0.000309 [0.000269-0.000315],0.0277 [0.0263-0.0301],3.2 [2.71-3.27],915 [706-977],7.47e+03 [6.9e+03-8.94e+03]
q=12,physics,7.08e-06 [5.98e-06-1.64e-05],0.000731 [0.000648-0.00178],0.0726 [0.0617-0.176],7.36 [7-24.5],433 [344-446],836 [728-871]
q=12,twin,2.65e-06 [2.04e-06-3.07e-06],0.000234 [0.000219-0.000303],0.0262 [0.0244-0.0343],3.14 [2.38-3.32],999 [788-1.01e+03],8.69e+03 [8.53e+03-1.03e+04]
q=14,physics,1.01e-05 [4.48e-06-1.27e-05],0.00102 [0.000461-0.00129],0.105 [0.0458-0.129],10.3 [4.98-28.5],406 [393-440],923 [797-1.07e+03]
q=14,twin,2.37e-06 [1.8e-06-3.51e-06],0.00022 [0.00019-0.00029],0.0212 [0.0212-0.0246],2.67 [2.61-3.05],943 [842-1.02e+03],8.16e+03 [7.95e+03-8.92e+03]
q=16,physics,7.96e-06 [5.33e-06-8.4e-06],0.000732 [0.000539-0.000837],0.0773 [0.0576-0.0843],6.98 [6.67-8.59],426 [357-484],961 [846-968]
q=16,twin,2.43e-06 [1.94e-06-3.66e-06],0.000239 [0.000218-0.000298],0.0269 [0.0247-0.0296],3.34 [3.26-3.65],863 [702-932],9.33e+03 [7.33e+03-1.02e+04]
q=18,physics,9.98e-06 [6.62e-06-1.64e-05],0.000992 [0.000682-0.00187],0.107 [0.0707-0.182],7.52 [6.85-17.5],439 [430-465],988 [966-1.06e+03]
q=18,twin,3.14e-06 [2.91e-06-3.52e-06],0.000279 [0.000267-0.000355],0.0275 [0.027-0.0309],3.17 [3.07-3.27],1.01e+03 [963-1.01e+03],9.06e+03 [8.18e+03-9.07e+03]
q=20,physics,8.47e-06 [6.72e-06-1.01e-05],0.000837 [0.000687-0.00103],0.0838 [0.0741-0.111],13.3 [9.38-15.9],437 [420-511],917 [883-1.11e+03]
q=20,twin,3.64e-06 [3.35e-06-4.46e-06],0.000316 [0.000314-0.000345],0.0265 [0.022-0.0318],3.13 [2.98-3.54],1e+03 [965-1.02e+03],9.45e+03 [7.65e+03-9.65e+03]
