row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,6.27e-06 [2.43e-06-6.43e-06],0.000662 [0.000245-0.000727],0.0651 [0.0246-0.0715],3.99 [3.01-6.43],117 [90.9-123],634 [607-661]
q=2,twin,3.67e-07 [2.95e-07-5.35e-07],3.14e-05 [3.06e-05-4.24e-05],0.00333 [0.00321-0.00416],0.458 [0.432-0.495],58 [54.5-72.4],649 [517-658]
q=4,physics,2.13e-06 [1.51e-06-3.92e-06],0.000225 [0.000174-0.000394],0.0229 [0.016-0.0382],2.41 [1.58-3.68],99.3 [97.9-120],309 [293-334]
q=4,twin,3.09e-07 [2.67e-07-3.55e-07],2.85e-05 [2.06e-05-2.86e-05],0.00278 [0.00266-0.00329],0.404 [0.325-0.485],49.8 [43.2-64.8],513 [486-702]
q=6,physics,5.18e-06 [3.15e-06-6.27e-06],0.000509 [0.000348-0.000673],0.0544 [0.0326-0.0664],4.8 [2.88-4.97],106 [102-127],247 [241-251]
q=6,twin,3.3e-07 [2.96e-07-9.47e-07],3.52e-05 [3.22e-05-0.000106],0.00414 [0.00342-0.0108],0.474 [0.446-1.37],66.2 [54.4-120],584 [455-2.68e+03]
q=8,physics,3.86e-06 [2.26e-06-5.24e-06],0.000424 [0.000235-0.000579],0.0399 [0.0252-0.0563],2.63 [2.61-4.53],102 [101-124],252 [206-255]
q=8,twin,6.42e-07 [4.88e-07-7.11e-07],5.94e-05 [3.68e-05-7.26e-05],0.00739 [0.0036-0.00832],0.634 [0.449-0.833],110 [61.9-111],984 [970-2.06e+03]
q=10,physics,2.69e-06 [2.44e-06-6.01e-06],0.000271 [0.000261-0.000642],0.0314 [0.027-0.061],2.95 [2.89-5.74],120 [105-122],252 [228-265]
q=10,twin,6.32e-07 [4.86e-07-6.69e-07],4.48e-05 [3.84e-05-5.74e-05],0.00537 [0.004-0.00685],0.575 [0.567-0.631],85.1 [65.4-87.1],1.22e+03 [844-1.3e+03]
q=12,physics,2.22e-06 [2.17e-06-2.91e-06],0.000233 [0.000218-0.000302],0.0236 [0.023-0.033],2.43 [2.02-2.67],97.7 [93.6-116],243 [231-309]
q=12,twin,8.44e-07 [6.15e-07-1.04e-06],7.79e-05 [3.64e-05-8.43e-05],0.00839 [0.00563-0.00879],0.828 [0.664-0.876],85.2 [81.1-88.6],1.64e+03 [937-3.09e+03]
q=14,physics,1.86e-06 [1.79e-06-2.44e-06],0.000199 [0.000179-0.000255],0.0208 [0.0197-0.0257],2.09 [1.47-2.14],97.5 [88.4-102],273 [231-279]
q=14,twin,5.81e-07 [4.73e-07-1.02e-06],3.58e-05 [3.43e-05-7.33e-05],0.00408 [0.00363-0.0072],0.566 [0.493-0.785],67.9 [67.9-109],644 [558-1.6e+03]
q=16,physics,3.02e-06 [2.17e-06-4.23e-06],0.000323 [0.00022-0.000441],0.0308 [0.0244-0.0472],3.02 [3-4.39],110 [100-116],229 [228-253]
q=16,twin,6.5e-07 [4.9e-07-6.62e-07],4.13e-05 [3.56e-05-5.72e-05],0.00472 [0.00438-0.00598],0.641 [0.506-0.676],74.7 [68.7-80.7],1.14e+03 [912-1.24e+03]
q=18,physics,2.05e-06 [1.99e-06-2.72e-06],0.000219 [0.000208-0.000271],0.0223 [0.0221-0.0268],2.4 [2.06-2.43],106 [84.1-115],214 [207-228]
q=18,twin,6.96e-07 [5.43e-07-9.14e-07],5.93e-05 [4.68e-05-7.31e-05],0.00599 [0.00511-0.00815],0.638 [0.58-0.777],66.6 [61.9-124],1.59e+03 [893-2.23e+03]
q=20,physics,2.85e-06 [1.98e-06-3.16e-06],0.000297 [0.000202-0.000324],0.029 [0.0222-0.033],2.59 [2.19-2.81],94.7 [89.7-102],230 [195-243]
q=20,twin,7.6e-07 [6.83e-07-8.12e-07],6.22e-05 [4.89e-05-7.56e-05],0.00653 [0.00477-0.00761],0.617 [0.586-0.834],81.6 [75.7-114],1.81e+03 [838-2.15e+03]
