row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,2.04e-05 [1.01e-05-2.87e-05],0.00212 [0.00108-0.00302],0.204 [0.108-0.293],11.1 [7.46-21.2],273 [215-280],9.89e+03 [9.79e+03-1.01e+04]
q=2,twin,2.29e-06 [1.98e-06-3.34e-06],0.000269 [0.000173-0.000303],0.0334 [0.0156-0.0353],3.57 [2.57-3.6],813 [386-1.02e+03],7.66e+03 [4.51e+03-8.19e+03]
q=4,physics,1.46e-05 [5.67e-06-2.09e-05],0.00154 [0.000577-0.00218],0.161 [0.0594-0.218],12.7 [5-16.6],268 [224-282],3.54e+03 [3.5e+03-3.66e+03]
q=4,twin,2.99e-06 [2.39e-06-3.16e-06],0.000224 [0.000197-0.000236],0.0234 [0.022-0.0274],2.74 [2.61-4.22],436 [433-795],5.95e+03 [5.06e+03-6.35e+03]
q=6,physics,9.57e-06 [7.54e-06-3.16e-05],0.00105 [0.000789-0.00321],0.102 [0.0842-0.322],10.2 [8.73-14.8],274 [270-307],885 [842-926]
q=6,twin,2.54e-06 [2.36e-06-3.61e-06],0.000254 [0.000209-0.000257],0.0244 [0.0226-0.0296],3.41 [3.35-4.45],626 [608-655],6.72e+03 [6.59e+03-6.78e+03]
q=8,physics,1.06e-05 [5.9e-06-1.23e-05],0.00115 [0.000652-0.00127],0.114 [0.0631-0.125],9.88 [6.04-12.2],278 [239-380],920 [734-976]
q=8,twin,2.56e-06 [2.31e-06-3.1e-06],0.000272 [0.000225-0.000303],0.0292 [0.0252-0.034],3.6 [3.13-3.61],985 [595-1e+03],8.49e+03 [6.28e+03-9.68e+03]
q=10,physics,1.56e-05 [1.18e-05-1.83e-05],0.00156 [0.00121-0.00198],0.165 [0.119-0.193],16 [10.1-18.6],311 [275-381],867 [783-1.03e+03]
q=10,twin,3.26e-06 [2.37e-06-3.81e-06],0.000261 [0.000181-0.000304],0.0276 [0.0236-0.0287],3.07 [3.06-3.53],637 [519-856],6.64e+03 [4.98e+03-8.55e+03]
q=12,physics,1.29e-05 [1.12e-05-2.05e-05],0.00134 [0.00113-0.0021],0.133 [0.12-0.219],12.8 [11.5-14.7],326 [309-348],852 [852-941]
q=12,twin,1.92e-06 [1.62e-06-2.86e-06],0.000222 [0.000149-0.000234],0.0206 [0.016-0.0279],3.15 [2.31-3.15],482 [433-645],6.46e+03 [5.96e+03-7.4e+03]
q=14,physics,8.94e-06 [8.13e-06-1.38e-05],0.000978 [0.000801-0.00149],0.0947 [0.0894-0.149],8.7 [7.27-14.8],268 [260-399],917 [820-1.04e+03]
q=14,twin,3.61e-06 [2.95e-06-4.56e-06],0.000254 [0.000211-0.000321],0.0292 [0.0275-0.0364],3.66 [3.36-3.89],752 [609-800],7e+03 [6.85e+03-7.05e+03]
q=16,physics,1.2e-05 [9.9e-06-1.45e-05],0.00129 [0.00104-0.00146],0.125 [0.108-0.145],11.3 [8.94-12.8],334 [313-365],910 [727-931]
q=16,twin,3.1e-06 [1.66e-06-3.17e-06],0.000228 [0.000207-0.000295],0.0252 [0.0192-0.0354],2.84 [2.18-3.67],608 [471-1.01e+03],6.79e+03 [5.23e+03-8.89e+03]
q=18,physics,1.42e-05 [1.4e-05-1.45e-05],0.00151 [0.00144-0.00153],0.161 [0.161-0.17],13.1 [10.7-17],300 [267-326],879 [800-885]
q=18,twin,3.41e-06 [2.69e-06-4.41e-06],0.000267 [0.000182-0.0003],0.0293 [0.0231-0.0327],3.42 [3.2-3.83],682 [594-1.03e+03],7.75e+03 [7.66e+03-9.42e+03]
q=20,physics,2.03e-05 [7.99e-06-2.3e-05],0.00212 [0.000799-0.0023],0.239 [0.0875-0.242],13.3 [8.65-14.6],301 [295-308],924 [883-946]
q=20,twin,3.11e-06 [3.06e-06-3.81e-06],0.000304 [0.000252-0.000311],0.03 [0.027-0.0353],3.69 [3.35-3.95],894 [771-1.01e+03],7.68e+03 [7.39e+03-9.48e+03]
straight line,straight line,0.0001306,0.0139,1.415,141.1,1.599e+04,4.561e+05
reference floor,reference floor,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05
