N,q,split,comparator,component,unit,med,p95,mean,bias,qop_max_abs_change,qop_passthrough_max_abs_change
1,1,val,vs_rk6_endpoint,x,um,173574.98429940257,720728.7084450353,249551.23920247634,-17893.63920439093,0.0,0.0
1,1,val,vs_rk6_endpoint,y,um,1416.6898100721141,40767.87963726541,7989.435257579131,-257.5262187650978,0.0,0.0
1,1,val,vs_rk6_endpoint,tx,mrad,69.48889276694476,267.9318315728372,96.2032724423367,-6.848485936948931,0.0,0.0
1,1,val,vs_rk6_endpoint,ty,mrad,0.7434634596006005,24.59279939297258,4.70976610285766,0.14703623933326448,0.0,0.0
1,1,val,vs_real_scifi_state,x,um,172581.14645508488,710320.3655109992,246493.21536103226,-17937.51500484215,0.0,0.0
1,1,val,vs_real_scifi_state,y,um,1931.7161742252722,45188.722843798365,8897.510544827413,-310.8254609463728,0.0,0.0
1,1,val,vs_real_scifi_state,tx,mrad,68.95787319196067,262.6643754934927,95.09283708887406,-6.859598999467615,0.0,0.0
1,1,val,vs_real_scifi_state,ty,mrad,0.8751524487730298,25.399647204965206,4.965353459500759,0.17125812037606553,0.0,0.0
1,1,val,straight_line_vs_rk6_endpoint,x,um,452941.9385569637,1271615.6766418347,550215.9132434177,41618.78322767855,0.0,0.0
1,1,val,straight_line_vs_rk6_endpoint,y,um,939.8698722209815,26843.640905457592,5421.254429651422,-244.2714338410775,0.0,0.0
1,1,val,straight_line_vs_rk6_endpoint,tx,mrad,171.65128524149225,507.04651578564443,212.97744119602592,16.152241795459236,0.0,0.0
1,1,val,straight_line_vs_rk6_endpoint,ty,mrad,0.31992626243849964,14.429391014288012,2.497643817836807,0.038032989776136804,0.0,0.0
1,1,val,rk6_truth_vs_real_scifi_state,x,um,1372.6751053558246,12368.517364561547,3696.747692734388,-47.58627783002851,0.0,0.0
1,1,val,rk6_truth_vs_real_scifi_state,y,um,767.5951085464021,5835.671284375892,1918.4556712124586,-66.28849554554735,0.0,0.0
1,1,val,rk6_truth_vs_real_scifi_state,tx,mrad,0.3944228909283365,4.877535585362279,1.2899261902975303,-0.010919015564202064,0.0,0.0
1,1,val,rk6_truth_vs_real_scifi_state,ty,mrad,0.2241700032497712,1.5462122120480999,0.5447264670301872,0.025675432691703217,0.0,0.0
1,1,test,vs_rk6_endpoint,x,um,171524.1322932768,694265.9185733411,237318.89174325127,-1875.1229001588597,0.0,0.0
1,1,test,vs_rk6_endpoint,y,um,1280.0534405548801,33260.97341018394,6988.923190429889,-14.09650887264203,0.0,0.0
1,1,test,vs_rk6_endpoint,tx,mrad,68.12580992578228,256.9089692677503,91.73683148825278,-0.7070925556090703,0.0,0.0
1,1,test,vs_rk6_endpoint,ty,mrad,0.6565745821360044,21.20882137759494,4.09011201535053,-0.2163626193703811,0.0,0.0
1,1,test,vs_real_scifi_state,x,um,170426.95457011467,682365.8057158664,234484.1448627354,-1902.8754188398955,0.0,0.0
