N,q,networks_per_crossing,parameters_per_leg,parameters_per_crossing,forward_us_per_track_per_crossing_batch1452,test_med_um_vs_rk6,note
1,8,1,21924,21924,12.833595728832323,225.63428206032654,"one thread, fp64, PyTorch eager, includes the field integral for the scale"
1,16,1,26052,26052,12.485047523677927,211.42911627640615,"one thread, fp64, PyTorch eager, includes the field integral for the scale"
4,5,4,20376,81504,46.368801653463414,211.98930568031216,"one thread, fp64, PyTorch eager, includes the field integral for the scale"
4,8,4,21924,87696,47.1800612963219,237.3630615337987,"one thread, fp64, PyTorch eager, includes the field integral for the scale"
16,8,16,21924,350784,184.16251377381363,971.1077053271424,"one thread, fp64, PyTorch eager, includes the field integral for the scale"
16,15,16,25536,408576,194.38476033240832,717.9271777965255,"one thread, fp64, PyTorch eager, includes the field integral for the scale"
64,7,64,21408,1370112,735.7340674932672,1982.5968187053604,"one thread, fp64, PyTorch eager, includes the field integral for the scale"
64,8,64,21924,1403136,741.2840096391343,2219.012884629965,"one thread, fp64, PyTorch eager, includes the field integral for the scale"
128,7,128,21408,2740224,1485.7192024813157,2539.3699197086335,"one thread, fp64, PyTorch eager, includes the field integral for the scale"
128,8,128,21924,2806272,1494.0567975213587,3116.1112812940246,"one thread, fp64, PyTorch eager, includes the field integral for the scale"
