N,q,median_abs_tx_increment_per_leg_mrad,median_over_legs_of_population_bias_mrad,legs_with_positive_population_bias,final_tx_bias_mean_mrad,final_tx_abs_median_mrad,final_x_bias_mean_um,final_x_abs_median_um,median_coherence_per_track,note
1,8,0.08897179051849113,-0.007590430377731166,0,-0.007590430377731166,0.08897179051849113,-57.87449853724717,168.81998995279446,1.0,coherence = |sum of a track's per-leg tx increments| / sum of |increments|; 1 means the same sign on every leg
1,16,0.08730693904879239,0.04710629463345911,1,0.04710629463345911,0.08730693904879239,111.53230987237275,158.41769469685119,1.0,coherence = |sum of a track's per-leg tx increments| / sum of |increments|; 1 means the same sign on every leg
4,5,0.0421464848115536,0.0002320669804784309,2,0.0006884536293238839,0.1396839610465217,11.973423090680939,182.0230167669905,0.7262413055623075,coherence = |sum of a track's per-leg tx increments| / sum of |increments|; 1 means the same sign on every leg
4,8,0.03810414401283352,-0.0016146648498040696,1,0.0013522378857303145,0.10720335665715536,-10.160371234840927,201.65018681618818,0.6192747953896811,coherence = |sum of a track's per-leg tx increments| / sum of |increments|; 1 means the same sign on every leg
16,8,0.024060970999453812,0.00018085771669000002,9,-0.003833529618810166,0.24910311968027316,29.21076841411637,939.1822940022791,0.560027614274237,coherence = |sum of a track's per-leg tx increments| / sum of |increments|; 1 means the same sign on every leg
16,15,0.02363553203968416,0.0006194408082112002,11,0.0019131144497966516,0.2457416621691605,-22.222790160138185,672.735352316721,0.57808336380228,coherence = |sum of a track's per-leg tx increments| / sum of |increments|; 1 means the same sign on every leg
64,7,0.01729980536723652,-0.0005780833923605078,28,-0.03540263329029684,1.013677092450288,-435.24313511970684,1864.7771157596367,0.8306265818085381,coherence = |sum of a track's per-leg tx increments| / sum of |increments|; 1 means the same sign on every leg
64,8,0.017586047296425447,-0.0004081812801328984,28,-0.07198511679437179,1.1212718474585825,-81.88320220717596,2118.876251504009,0.894967823034349,coherence = |sum of a track's per-leg tx increments| / sum of |increments|; 1 means the same sign on every leg
128,7,0.01054069106667943,-0.00046738371230236025,53,-0.05350421171546588,1.1381240984994558,-397.1956617391964,2435.5110291458145,0.7995882602428251,coherence = |sum of a track's per-leg tx increments| / sum of |increments|; 1 means the same sign on every leg
128,8,0.011700684973668829,-0.0011354084192225335,36,-0.13614204358814877,1.3926235472769415,-86.56222381703874,2945.4044165132273,0.8718329357541588,coherence = |sum of a track's per-leg tx increments| / sum of |increments|; 1 means the same sign on every leg
