N,q,qop_max_abs_change_test,qop_max_abs_change_val
1,1,0.0,0.0
1,2,0.0,0.0
1,3,0.0,0.0
1,4,0.0,0.0
1,5,0.0,0.0
1,6,0.0,0.0
1,7,0.0,0.0
1,8,0.0,0.0
1,9,0.0,0.0
1,10,0.0,0.0
1,11,0.0,0.0
1,12,0.0,0.0
1,13,0.0,0.0
1,14,0.0,0.0
1,15,0.0,0.0
1,16,0.0,0.0
1,17,0.0,0.0
1,18,0.0,0.0
1,19,0.0,0.0
1,20,0.0,0.0
4,1,0.0,0.0
4,2,0.0,0.0
4,3,0.0,0.0
4,4,0.0,0.0
4,5,0.0,0.0
4,6,0.0,0.0
4,7,0.0,0.0
4,8,0.0,0.0
4,9,0.0,0.0
4,10,0.0,0.0
4,11,0.0,0.0
4,12,0.0,0.0
4,13,0.0,0.0
4,14,0.0,0.0
4,15,0.0,0.0
4,16,0.0,0.0
4,17,0.0,0.0
4,18,0.0,0.0
4,19,0.0,0.0
4,20,0.0,0.0
16,1,0.0,0.0
16,2,0.0,0.0
16,3,0.0,0.0
16,4,0.0,0.0
16,5,0.0,0.0
16,6,0.0,0.0
16,7,0.0,0.0
16,8,0.0,0.0
16,9,0.0,0.0
16,10,0.0,0.0
16,11,0.0,0.0
16,12,0.0,0.0
16,13,0.0,0.0
16,14,0.0,0.0
16,15,0.0,0.0
16,16,0.0,0.0
16,17,0.0,0.0
16,18,0.0,0.0
16,19,0.0,0.0
16,20,0.0,0.0
64,1,0.0,0.0
64,2,0.0,0.0
64,3,0.0,0.0
64,4,0.0,0.0
64,5,0.0,0.0
64,6,0.0,0.0
64,7,0.0,0.0
64,8,0.0,0.0
64,9,0.0,0.0
64,10,0.0,0.0
64,11,0.0,0.0
64,12,0.0,0.0
64,13,0.0,0.0
64,14,0.0,0.0
64,15,0.0,0.0
64,16,0.0,0.0
64,17,0.0,0.0
64,18,0.0,0.0
64,19,0.0,0.0
64,20,0.0,0.0
128,1,0.0,0.0
128,2,0.0,0.0
128,3,0.0,0.0
128,4,0.0,0.0
128,5,0.0,0.0
128,6,0.0,0.0
128,7,0.0,0.0
128,8,0.0,0.0
128,9,0.0,0.0
128,10,0.0,0.0
