N,q,done,all_legs_converged,total_restarts,total_train_wall_s
1,1,True,True,35,264.1
1,2,True,True,61,447.2
1,3,True,True,50,387.1
1,4,True,True,86,695.1
1,5,True,True,61,517.3
1,6,True,True,79,688.5
1,7,True,True,37,324.5
1,8,True,True,55,514.4
1,9,True,True,72,707.1
1,10,True,True,90,907.7
1,11,True,True,67,819.6
1,12,True,True,52,618.7
1,13,True,True,63,788.7
1,14,True,True,65,1440.3
1,15,True,True,63,1381.9
1,16,True,True,71,939.0
1,17,True,True,84,1133.9
1,18,True,True,61,798.8
1,19,True,True,47,706.8
1,20,True,True,58,775.7
4,1,True,True,74,553.3000000000001
4,2,True,True,71,581.2
4,3,True,True,67,576.1
4,4,True,True,69,618.6
4,5,True,True,64,519.0
4,6,True,True,63,542.9
4,7,True,True,71,673.7
4,8,True,True,65,632.0
4,9,True,True,60,604.4
4,10,True,True,67,701.5
4,11,True,True,69,738.4000000000001
4,12,True,True,70,786.0
4,13,True,True,68,789.8
4,14,True,True,71,853.9
4,15,True,True,79,974.3000000000001
4,16,True,True,76,932.7
4,17,True,True,73,1078.1999999999998
4,18,True,True,86,1141.8999999999999
4,19,True,True,81,1276.8999999999999
4,20,True,True,77,1203.6
16,1,True,True,158,1716.4
16,2,True,True,145,1689.6000000000004
16,3,True,True,162,1929.5
16,4,True,True,159,1463.3999999999996
16,5,True,True,160,2107.1
16,6,True,True,168,1688.3999999999999
16,7,True,True,161,2187.4000000000005
16,8,True,True,174,1846.8999999999999
16,9,True,True,152,1677.8000000000004
16,10,True,True,156,1777.2999999999997
16,11,True,True,162,1777.6
16,12,True,True,198,2465.5
16,13,True,True,177,2300.9
16,14,True,True,179,2362.8
16,15,True,True,174,2435.6000000000004
16,16,True,True,168,2321.8
16,17,True,True,179,2659.2
16,18,True,True,179,2684.7999999999997
16,19,True,True,179,2827.5
16,20,True,True,190,2971.6000000000004
64,1,True,True,676,7943.7
64,2,True,True,771,9843.699999999997
64,3,True,True,723,7924.800000000002
64,4,True,True,755,9671.800000000003
64,5,True,True,862,10192.600000000004
64,6,True,True,854,11546.300000000003
64,7,True,True,826,10819.1
64,8,True,True,868,13943.500000000007
64,9,True,True,860,11841.900000000001
64,10,True,True,867,13503.300000000001
64,11,True,True,969,16372.299999999997
64,12,True,True,939,17068.100000000002
64,13,True,True,909,17832.1
64,14,True,True,908,18243.899999999994
64,15,True,True,924,16045.299999999997
64,16,True,True,890,18058.099999999995
64,17,True,True,957,19294.1
64,18,True,True,900,21029.100000000002
64,19,True,True,994,21982.600000000002
64,20,True,True,876,19301.499999999993
128,1,True,True,2044,21818.400000000005
128,2,True,True,2243,25073.400000000005
128,3,True,True,2431,26930.29999999998
128,4,True,True,2366,26662.300000000014
128,5,True,True,2596,31713.79999999999
128,6,True,True,2541,32268.50000000002
128,7,True,True,2421,32351.100000000024
128,8,True,True,2715,36252.6
128,9,True,True,2619,35236.2
128,10,True,True,2649,38743.39999999998
128,11,False,,,
128,12,False,,,
128,13,False,,,
128,14,False,,,
128,15,False,,,
128,16,False,,,
128,17,False,,,
128,18,False,,,
128,19,False,,,
128,20,False,,,
