N,q,leg,outer,phase,loss,train_endpoint_med_um,val_endpoint_med_um,test_endpoint_med_um,val_endpoint_p95_um,test_endpoint_p95_um,val_slope_med_mrad,wall_s
1,16,0,0,stall,0.0003826504121625632,4794.957750716293,4903.037532076852,4808.457346859455,24156.44739839693,21724.255146883526,1.8350640873628783,13.2
1,16,0,1,stall,0.0001592972938791168,3306.743987050325,3368.8505383619827,3395.8518907011094,15660.901073998331,15758.057139424427,1.4030922977688876,13.9
1,16,0,2,stall,8.322495542928904e-05,2035.9009727021942,2042.9570272105339,2103.430099436423,11844.430376722055,11955.912776418136,0.758445963586013,13.7
1,16,0,3,stall,5.186223258541426e-05,1485.4367159712253,1511.6835115234721,1503.0211760264365,8312.437959168938,8709.13327194801,0.5141759772041565,13.6
1,16,0,4,stall,3.6625119640177115e-05,1119.1806321483,1128.340418930371,1145.920532954392,6664.685551368437,7169.347717732004,0.3839718288674576,13.9
1,16,0,5,stall,2.9348811682254847e-05,838.8617886217986,841.6028979844583,863.4894584391901,6055.000150668737,6046.97060198767,0.41836696460823,14.0
1,16,0,6,stall,2.4763697981916537e-05,817.331362895473,814.5179111822927,814.4358556117481,6023.808725839403,5854.221099386118,0.4163231536429418,13.8
1,16,0,7,stall,2.1723646766122706e-05,858.3793290585362,837.3796496838111,863.1702965567456,4979.334168576838,5101.80835728566,0.427099069301079,13.9
1,16,0,8,stall,1.9126003315567116e-05,858.8330219074152,848.3991005587086,859.0524911146531,4837.728668787576,4431.570459817806,0.4293665799129376,13.8
1,16,0,9,stall,1.7055448917222733e-05,798.1722974692218,770.4871094947521,785.0705868161469,4417.758043191498,4263.889897635143,0.4126729603221302,13.8
1,16,0,10,stall,1.5510763614842557e-05,739.0659847740011,739.7316061200172,753.1939169683426,3955.8118266611914,3651.8387395371724,0.36089531537898506,13.7
1,16,0,11,stall,1.4135394952823783e-05,720.4834982679387,708.7195649048397,727.5387957277388,3762.987880376248,3533.091192072081,0.3243539529376033,13.7
1,16,0,12,stall,1.2950111053313167e-05,640.3110347277732,645.9167517961077,653.3544884320222,3461.6075475762714,3496.3919477058394,0.29475483185747303,14.0
1,16,0,13,stall,1.1842339823418235e-05,623.7220553588685,610.611976101211,633.0978972271879,3527.014736111017,3428.0388159138315,0.2786012222679643,13.7
1,16,0,14,stall,1.0997209301286289e-05,559.9168692408227,569.6571190754867,565.4077566770042,3212.272233503354,3416.270905331442,0.2508914374962645,13.7
1,16,0,15,stall,1.0274054983495352e-05,516.0885258189865,527.2210463488705,538.3430263855615,3300.605865230111,3219.388839900842,0.2213542638372923,13.7
