tag,width,depth,q,mode,seed,column,direction,component,reference,unit,median_abs,p95_abs,mean,rms,n,n_steps
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,all,x,fine,um,217208,1.26979e+06,78803.5,633677,500,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,all,y,fine,um,2794.29,65210.2,-5003.48,32704.3,500,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,all,tx,fine,mrad,85.5924,495.793,8.96821,223.926,500,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,all,ty,fine,mrad,1.50382,23.5315,2.3251,10.4321,500,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,all,max_xy,fine,um,217208,1.26979e+06,393829,633686,500,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,all,x,hit,um,219202,1.279e+06,79454.3,635847,500,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,all,y,hit,um,3146.3,64243,-5153.66,33308.6,500,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,all,tx,hit,mrad,85.9891,495.534,9.04428,224.823,500,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,all,ty,hit,mrad,1.59208,24.4053,2.28461,10.5751,500,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,all,max_xy,hit,um,219202,1.279e+06,395262,635856,500,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,forward,x,fine,um,225181,1.72734e+06,90442.6,739115,250,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,forward,y,fine,um,1895.85,34624.4,1073.37,19094.8,250,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,forward,tx,fine,mrad,93.4857,642.157,26.8881,277.54,250,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,forward,ty,fine,mrad,0.992182,19.3434,0.286752,8.56225,250,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,forward,max_xy,fine,um,225181,1.72734e+06,443690,739115,250,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,forward,x,hit,um,226134,1.72901e+06,91414.9,741417,250,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,forward,y,hit,um,2322.05,37445,880.544,19950.6,250,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,forward,tx,hit,mrad,93.9661,643.528,27.2194,278.467,250,51759
w128_d2_q02_data_s0,128,2,2,data,0,0.1 mm,forward,ty,hit,mrad,1.1071,19.5148,0.21599,8.72547,250,51759
