row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,6.88e+03 [5.88e+03-1.15e+04],6.83e+03 [5.45e+03-1.2e+04],6.55e+03 [5.04e+03-1.12e+04],3.36e+03 [2.58e+03-4.29e+03],1.22e+03 [819-1.4e+03],677 [573-827]
q=2,twin,3.77e+03 [1.9e+03-1.28e+04],2.9e+03 [1.93e+03-7.19e+03],2.03e+03 [1.33e+03-4.18e+03],2.45e+03 [2.19e+03-2.97e+03],1.95e+03 [1.47e+03-2.89e+03],1.51e+03 [1.26e+03-2.42e+03]
q=4,physics,7.59e+03 [4.29e+03-1.32e+04],7.28e+03 [3.89e+03-1.34e+04],6.89e+03 [3.63e+03-1.26e+04],3.29e+03 [2.09e+03-7e+03],1.08e+03 [858-1.42e+03],337 [288-372]
q=4,twin,3.05e+03 [2.24e+03-7.13e+03],2.63e+03 [1.88e+03-4.46e+03],2.03e+03 [1.34e+03-2.4e+03],2.13e+03 [1.47e+03-3.65e+03],1.92e+03 [1.28e+03-2.84e+03],1.45e+03 [1.3e+03-2.09e+03]
q=6,physics,6.63e+03 [4.22e+03-1.12e+04],6.62e+03 [3.96e+03-1.1e+04],5.59e+03 [3.57e+03-9.75e+03],3.22e+03 [2.23e+03-3.96e+03],1.11e+03 [942-1.45e+03],288 [257-357]
q=6,twin,3.8e+03 [2.69e+03-9.52e+03],2.41e+03 [1.97e+03-6.35e+03],2.01e+03 [1.6e+03-2.37e+03],2.21e+03 [1.71e+03-2.82e+03],1.84e+03 [1.72e+03-2.44e+03],1.74e+03 [1.12e+03-2.03e+03]
q=8,physics,5.07e+03 [3.78e+03-1.07e+04],4.9e+03 [3.33e+03-1.12e+04],4.56e+03 [3.04e+03-1.08e+04],3.26e+03 [2.86e+03-4.3e+03],1.1e+03 [937-1.5e+03],336 [271-382]
q=8,twin,2.76e+03 [1.91e+03-5.99e+03],2.14e+03 [1.39e+03-3.32e+03],1.72e+03 [1.31e+03-2.7e+03],2.12e+03 [1.35e+03-2.77e+03],2.15e+03 [1.41e+03-2.89e+03],1.82e+03 [1.26e+03-2.26e+03]
q=10,physics,7.23e+03 [5.06e+03-1.2e+04],7.44e+03 [4.93e+03-1.3e+04],6.9e+03 [4.81e+03-1.28e+04],3.55e+03 [2.75e+03-4.48e+03],1.23e+03 [868-1.43e+03],318 [210-349]
q=10,twin,3.26e+03 [2.23e+03-4.94e+03],2.71e+03 [2e+03-3.53e+03],2.14e+03 [1.95e+03-2.67e+03],2.86e+03 [1.62e+03-3.64e+03],1.83e+03 [1.45e+03-3.14e+03],1.63e+03 [1.37e+03-2.08e+03]
q=12,physics,5.84e+03 [4.94e+03-7.88e+03],5.38e+03 [4.85e+03-7.37e+03],5.16e+03 [4.56e+03-6.78e+03],3.36e+03 [2.67e+03-5.08e+03],1.09e+03 [729-1.54e+03],285 [261-351]
q=12,twin,2.56e+03 [1.64e+03-3.94e+03],2.24e+03 [1.36e+03-3.31e+03],1.81e+03 [1.19e+03-2.26e+03],1.75e+03 [1.35e+03-2.63e+03],1.77e+03 [1.32e+03-2.09e+03],1.53e+03 [1.25e+03-2.3e+03]
q=14,physics,6.07e+03 [3.88e+03-1.21e+04],5.38e+03 [3.72e+03-1.23e+04],5.37e+03 [3.44e+03-1.06e+04],3.89e+03 [2.89e+03-4.24e+03],1.09e+03 [949-1.33e+03],320 [300-371]
q=14,twin,2.79e+03 [1.86e+03-5.96e+03],2.45e+03 [1.62e+03-3.78e+03],1.82e+03 [1.16e+03-3.97e+03],1.98e+03 [1.56e+03-2.28e+03],3.04e+03 [1.61e+03-4.26e+03],1.87e+03 [1.4e+03-2.65e+03]
q=16,physics,4.73e+03 [3.8e+03-9.73e+03],4.27e+03 [3.43e+03-1.01e+04],4.13e+03 [3.38e+03-9.52e+03],3.38e+03 [2.4e+03-4.68e+03],1.3e+03 [989-1.92e+03],306 [275-355]
q=16,twin,2.86e+03 [1.41e+03-5.72e+03],2.65e+03 [1.35e+03-4.21e+03],2.12e+03 [1.11e+03-3.31e+03],2.52e+03 [1.59e+03-3.98e+03],1.96e+03 [1.47e+03-3.18e+03],1.89e+03 [1.4e+03-3.81e+03]
q=18,physics,6.64e+03 [3.25e+03-1.5e+04],6.16e+03 [2.88e+03-1.49e+04],5.62e+03 [2.85e+03-1.4e+04],3.92e+03 [2.84e+03-6.58e+03],1.38e+03 [772-1.81e+03],354 [284-405]
q=18,twin,2.94e+03 [1.31e+03-6.8e+03],2.32e+03 [1.46e+03-4.59e+03],2.14e+03 [1.21e+03-2.98e+03],1.91e+03 [1.32e+03-2.03e+03],1.75e+03 [1.3e+03-3.07e+03],1.7e+03 [1.22e+03-3.01e+03]
q=20,physics,5.5e+03 [4.46e+03-8.42e+03],5.73e+03 [4.26e+03-8.98e+03],5.7e+03 [4.23e+03-8.12e+03],3.71e+03 [2.97e+03-5.49e+03],1.15e+03 [936-1.65e+03],302 [241-385]
q=20,twin,3.21e+03 [1.57e+03-4.24e+03],2.68e+03 [1.45e+03-3.79e+03],2.07e+03 [1.58e+03-4.15e+03],2.33e+03 [1.46e+03-3.51e+03],1.89e+03 [1.6e+03-2.92e+03],2.38e+03 [1.43e+03-3.55e+03]
straight line,straight line,1493,1405,1405,1405,1405,1405
material floor,material floor,767.5,745.2,745.2,745.2,745.2,745.2
reference floor,reference floor,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05
