row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,151 [120-165],146 [125-165],124 [105-140],5.91 [4.32-9.73],1.12 [1.02-1.4],4.06 [3.91-4.15]
q=2,twin,77.6 [35.1-148],10.3 [3.77-17.6],3.37 [2.2-3.9],2.33 [1.93-3.75],2.53 [1.5-3.64],2.88 [1.97-4.12]
q=4,physics,142 [114-206],137 [107-207],114 [85.9-177],7.36 [6.19-11.3],1.28 [1.06-1.63],1.56 [1.47-1.79]
q=4,twin,33.1 [27.9-73.1],9.85 [5.91-15.4],2.94 [2.46-3.7],2.39 [1.71-3.81],2.48 [2.02-2.8],2.12 [1.66-2.82]
q=6,physics,151 [118-177],152 [123-175],129 [101-150],6.08 [3.06-9.81],1.18 [0.832-1.45],0.259 [0.204-0.336]
q=6,twin,54.6 [31.5-79.5],7.1 [5.36-12.7],2.84 [1.37-4.8],2.24 [1.16-3.28],2.18 [1.43-4.38],2.53 [1.73-3.3]
q=8,physics,139 [110-204],130 [111-203],110 [92.3-175],6.25 [4.85-7.54],1.35 [0.927-1.56],0.237 [0.199-0.266]
q=8,twin,59.1 [42.5-82.3],14.4 [6.22-36],3.3 [2.08-6.94],2.07 [1.6-4.03],2.6 [2.2-3.77],2.48 [1.9-3.22]
q=10,physics,122 [110-163],119 [106-164],102 [92.5-140],6.51 [3.99-18.9],1.41 [1.02-1.8],0.233 [0.2-0.305]
q=10,twin,65.7 [29.7-75.5],5.92 [3.09-25.4],3.21 [2.02-4.95],2.88 [1.63-3.83],2.87 [1.78-3.77],3.48 [2.49-4.1]
q=12,physics,161 [118-174],152 [115-182],131 [99.7-151],5.84 [3.68-10.3],1.29 [1.08-1.74],0.236 [0.189-0.271]
q=12,twin,55 [23-98.3],3.1 [2.45-8.9],2.58 [1.61-7.69],2.67 [1.58-2.89],2.49 [2.31-3.31],2.54 [2.18-2.9]
q=14,physics,155 [143-164],153 [144-164],134 [127-138],12.2 [8.23-20.5],1.54 [0.794-2.04],0.253 [0.173-0.299]
q=14,twin,41.2 [23.2-64.9],3.92 [3.01-8.44],2.83 [2-3.09],2.83 [1.56-3.03],2.54 [1.66-3.13],2.69 [1.93-3.04]
q=16,physics,134 [106-156],134 [93.8-153],118 [82.5-135],14.3 [5.02-17.9],1.48 [0.839-2.47],0.241 [0.156-0.296]
q=16,twin,27.9 [16.1-190],3.39 [2.46-20.4],2.64 [1.53-6.23],2.11 [1.32-3.25],2.65 [2.16-3.03],2.63 [2.03-3.74]
q=18,physics,114 [91.5-147],114 [88.4-144],101 [77.3-128],14.5 [10.8-20.6],1.36 [1.22-1.87],0.254 [0.227-0.309]
q=18,twin,95.7 [54.2-144],5.5 [2.93-11.5],2.87 [2.05-9.38],2.98 [2.58-3.51],3.34 [2.62-4.97],2.94 [2.18-3.63]
q=20,physics,128 [94-135],125 [91.4-134],107 [82.1-116],14.1 [8.42-17.8],1.74 [1.28-2.14],0.247 [0.212-0.298]
q=20,twin,42.3 [16.8-92],5.16 [2.28-10.3],2.66 [1.85-3.89],2.84 [2.34-3.89],2.8 [2.04-3.76],2.72 [2.4-3.62]
straight line,straight line,187.9,182.6,182.6,182.6,182.6,182.6
material floor,material floor,0.4187,0.3986,0.3986,0.3986,0.3986,0.3986
reference floor,reference floor,,,,,,
