row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,1.81e+05 [1.22e+05-2.04e+05],1.73e+05 [1.3e+05-2.08e+05],1.29e+05 [9.99e+04-1.48e+05],1.33e+04 [1.1e+04-1.86e+04],2.84e+03 [2.12e+03-3.42e+03],1.07e+04 [5.17e+03-2.66e+04]
q=2,twin,6.12e+04 [4.23e+04-8.22e+04],3.19e+03 [2.6e+03-3.98e+03],3.92e+03 [3.07e+03-4.37e+03],3.91e+03 [3.71e+03-5.73e+03],4.74e+03 [3.94e+03-8.99e+03],4.02e+03 [3.04e+03-4.84e+03]
q=4,physics,2.02e+05 [1.59e+05-2.38e+05],1.98e+05 [1.53e+05-2.64e+05],1.61e+05 [1.22e+05-2.05e+05],1.72e+04 [1.05e+04-2.43e+04],2.77e+03 [2.28e+03-3.16e+03],3.78e+03 [2.87e+03-5.37e+03]
q=4,twin,5.26e+04 [2.79e+04-1.31e+05],4.3e+03 [3.26e+03-7.23e+03],3.61e+03 [3.17e+03-4.74e+03],3.95e+03 [3.37e+03-5.37e+03],4.35e+03 [3.91e+03-9.69e+03],4.02e+03 [3.26e+03-7.16e+03]
q=6,physics,1.93e+05 [1.31e+05-2.37e+05],1.91e+05 [1.28e+05-2.4e+05],1.51e+05 [1.08e+05-1.78e+05],1.63e+04 [1.43e+04-2.43e+04],2.94e+03 [2.7e+03-3.59e+03],791 [692-918]
q=6,twin,1.02e+05 [2.16e+04-2.27e+05],5.04e+03 [2.22e+03-1.04e+04],4.98e+03 [2.03e+03-6.03e+03],5.16e+03 [2.52e+03-7.7e+03],8.11e+03 [3.53e+03-1.48e+04],5.93e+03 [3.99e+03-9.41e+03]
q=8,physics,2.73e+05 [2.26e+05-3.96e+05],2.67e+05 [2.46e+05-4.06e+05],2.03e+05 [1.91e+05-2.83e+05],1.4e+04 [1.17e+04-2.46e+04],2.81e+03 [2.27e+03-3.35e+03],837 [645-977]
q=8,twin,8.66e+04 [3.54e+04-1.8e+05],4.7e+03 [3.43e+03-1.03e+04],4.15e+03 [2.88e+03-6.07e+03],5.07e+03 [2.91e+03-9.29e+03],9.09e+03 [8.29e+03-1.17e+04],5.36e+03 [4.43e+03-1.23e+04]
q=10,physics,3.1e+05 [2.1e+05-5.83e+05],3.17e+05 [2.05e+05-5.16e+05],2.45e+05 [1.58e+05-3.83e+05],1.46e+04 [9.21e+03-1.88e+04],3.1e+03 [2.43e+03-3.19e+03],769 [707-899]
q=10,twin,7e+04 [6.1e+04-1.72e+05],5.53e+03 [4.42e+03-8.56e+03],4.28e+03 [3.55e+03-5.57e+03],4.67e+03 [3.95e+03-6.62e+03],9.17e+03 [7.62e+03-1.2e+04],5.45e+03 [3.93e+03-7.71e+03]
q=12,physics,1.56e+05 [1.37e+05-2.99e+05],1.46e+05 [1.34e+05-3.21e+05],1.2e+05 [1.09e+05-2.52e+05],1.52e+04 [1.06e+04-1.95e+04],2.91e+03 [2.54e+03-3.5e+03],744 [657-1.02e+03]
q=12,twin,7.98e+04 [4.09e+04-1.07e+05],5.89e+03 [4.1e+03-7.29e+03],5.63e+03 [3.44e+03-8.85e+03],5.52e+03 [3.37e+03-6.32e+03],1.12e+04 [7.06e+03-1.5e+04],6.48e+03 [5.58e+03-8.77e+03]
q=14,physics,1.52e+05 [1.22e+05-5.14e+05],1.58e+05 [1.2e+05-4.99e+05],1.24e+05 [9.48e+04-2.97e+05],1.62e+04 [1.35e+04-2.29e+04],3.02e+03 [2.29e+03-3.72e+03],815 [721-891]
q=14,twin,6.02e+04 [4.42e+04-2e+05],4.65e+03 [3.71e+03-8.31e+03],4.76e+03 [3.67e+03-6.85e+03],4.91e+03 [4.03e+03-6.27e+03],1.02e+04 [6.75e+03-1.23e+04],6.36e+03 [4.69e+03-1.13e+04]
q=16,physics,2.12e+05 [1.67e+05-2.65e+05],2.05e+05 [1.73e+05-2.61e+05],1.56e+05 [1.38e+05-2.04e+05],1.62e+04 [1.21e+04-2.39e+04],3.1e+03 [2.48e+03-3.7e+03],739 [623-848]
q=16,twin,5.81e+04 [2.97e+04-1.82e+05],3.87e+03 [3.04e+03-1.09e+04],5.34e+03 [3.36e+03-6.45e+03],4.81e+03 [3.39e+03-7.67e+03],9.79e+03 [6.79e+03-1.34e+04],5.34e+03 [3.45e+03-8.86e+03]
q=18,physics,1.71e+05 [1.35e+05-2.52e+05],1.65e+05 [1.33e+05-2.53e+05],1.25e+05 [1.1e+05-1.94e+05],1.37e+04 [1.16e+04-2.73e+04],2.62e+03 [2.31e+03-3.14e+03],786 [705-845]
q=18,twin,9.55e+04 [4.05e+04-2.45e+05],4.58e+03 [3.47e+03-6.87e+03],4.61e+03 [3.86e+03-5.64e+03],4.28e+03 [3.36e+03-5.07e+03],1.09e+04 [6.43e+03-1.47e+04],5.55e+03 [3.37e+03-5.79e+03]
q=20,physics,2.07e+05 [1.56e+05-2.23e+05],2.03e+05 [1.52e+05-2.12e+05],1.51e+05 [1.13e+05-1.64e+05],1.43e+04 [1.17e+04-2.17e+04],2.75e+03 [2.44e+03-2.94e+03],767 [712-953]
q=20,twin,1.22e+05 [9.3e+04-1.88e+05],4.2e+03 [3.65e+03-6.62e+03],4.37e+03 [3.23e+03-6.13e+03],4.31e+03 [3.64e+03-5.85e+03],9.48e+03 [7.71e+03-1.92e+04],5.95e+03 [3.92e+03-7.48e+03]
single step (grid C4) q=2,"physics, single step",,,,,,9.92e+03 [9.74e+03-1.03e+04]
single step (grid C4) q=2,"twin, single step",,,,,,3.57e+03 [2.87e+03-4.02e+03]
single step (grid C4) q=4,"physics, single step",,,,,,3.58e+03 [3.53e+03-3.72e+03]
single step (grid C4) q=4,"twin, single step",,,,,,3.86e+03 [3.21e+03-6.33e+03]
single step (grid C4) q=6,"physics, single step",,,,,,755 [737-785]
single step (grid C4) q=6,"twin, single step",,,,,,5.78e+03 [3.72e+03-7.25e+03]
single step (grid C4) q=8,"physics, single step",,,,,,776 [733-807]
single step (grid C4) q=8,"twin, single step",,,,,,4.77e+03 [4.57e+03-8.17e+03]
single step (grid C4) q=10,"physics, single step",,,,,,736 [706-749]
single step (grid C4) q=10,"twin, single step",,,,,,5.42e+03 [3.93e+03-6.17e+03]
single step (grid C4) q=12,"physics, single step",,,,,,726 [699-889]
single step (grid C4) q=12,"twin, single step",,,,,,5.85e+03 [5.72e+03-6.55e+03]
single step (grid C4) q=14,"physics, single step",,,,,,814 [752-820]
single step (grid C4) q=14,"twin, single step",,,,,,6.2e+03 [5.23e+03-7.52e+03]
single step (grid C4) q=16,"physics, single step",,,,,,766 [657-770]
single step (grid C4) q=16,"twin, single step",,,,,,4.97e+03 [3.35e+03-6.52e+03]
single step (grid C4) q=18,"physics, single step",,,,,,770 [697-780]
single step (grid C4) q=18,"twin, single step",,,,,,4.83e+03 [4.36e+03-5.25e+03]
single step (grid C4) q=20,"physics, single step",,,,,,735 [714-853]
single step (grid C4) q=20,"twin, single step",,,,,,5.66e+03 [3.7e+03-6.4e+03]
straight line,straight line,4.891e+05,4.783e+05,4.783e+05,4.783e+05,4.783e+05,4.783e+05
material floor,material floor,1678,1643,1643,1643,1643,1643
reference floor,reference floor,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05
