row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,1.01e+05 [6.58e+04-1.85e+05],9.59e+04 [6.5e+04-1.74e+05],6.62e+04 [5e+04-1.15e+05],1.06e+04 [7.21e+03-1.53e+04],3.38e+03 [2.43e+03-4.28e+03],1.08e+04 [4.45e+03-2.72e+04]
q=2,twin,1.6e+05 [8.62e+04-3.31e+05],8.59e+03 [6.66e+03-1.24e+04],4.98e+03 [4.72e+03-7.43e+03],6.36e+03 [4.77e+03-8.58e+03],1.05e+04 [8.46e+03-1.39e+04],6.8e+03 [4.49e+03-8e+03]
q=4,physics,1.48e+05 [8.73e+04-1.86e+05],1.4e+05 [8.1e+04-1.82e+05],9.05e+04 [5.88e+04-1.24e+05],1.11e+04 [9.99e+03-1.7e+04],3.33e+03 [2.7e+03-4.32e+03],3.18e+03 [2.49e+03-4.08e+03]
q=4,twin,1.69e+05 [1.37e+05-2.15e+05],6.02e+03 [2.67e+03-9.09e+03],5.88e+03 [2.25e+03-8.48e+03],5.55e+03 [2.82e+03-8.75e+03],1.05e+04 [3.09e+03-1.19e+04],5.55e+03 [2.62e+03-8.35e+03]
q=6,physics,1.52e+05 [1.19e+05-2.35e+05],1.59e+05 [1.21e+05-2.18e+05],1.23e+05 [9.48e+04-1.36e+05],1.18e+04 [7.31e+03-1.5e+04],3.34e+03 [2.72e+03-4.29e+03],2.03e+03 [1.6e+03-2.48e+03]
q=6,twin,1.51e+05 [9.89e+04-4.04e+05],1.36e+04 [4.99e+03-1.83e+04],7.38e+03 [5.49e+03-9.42e+03],6.69e+03 [4.67e+03-1.13e+04],1.08e+04 [9.06e+03-1.36e+04],6.44e+03 [5.52e+03-7.3e+03]
q=8,physics,1.63e+05 [9.92e+04-3.07e+05],1.75e+05 [9.04e+04-2.82e+05],1.27e+05 [6.8e+04-2.01e+05],1.02e+04 [9.25e+03-1.2e+04],3.21e+03 [2.73e+03-4.31e+03],2.02e+03 [1.71e+03-2.36e+03]
q=8,twin,1.02e+05 [3.19e+04-1.58e+05],6.3e+03 [4.52e+03-1.17e+04],6.6e+03 [5.05e+03-9.89e+03],6.37e+03 [4.35e+03-9.26e+03],1.14e+04 [9.23e+03-1.59e+04],5.76e+03 [4.88e+03-9.45e+03]
q=10,physics,2.88e+05 [1.72e+05-3.79e+05],2.78e+05 [1.59e+05-3.73e+05],1.62e+05 [1.01e+05-2.32e+05],8.77e+03 [7.45e+03-1.26e+04],3.59e+03 [2.44e+03-4.43e+03],1.96e+03 [1.65e+03-2.26e+03]
q=10,twin,1.23e+05 [6.66e+04-1.58e+05],1.25e+04 [9.54e+03-2.09e+04],6.82e+03 [5.53e+03-1.34e+04],7.28e+03 [6.48e+03-1.12e+04],1.1e+04 [8.32e+03-1.55e+04],9.09e+03 [5.19e+03-1.04e+04]
q=12,physics,1.55e+05 [1.27e+05-1.88e+05],1.57e+05 [1.22e+05-1.96e+05],1.12e+05 [8.95e+04-1.28e+05],1.14e+04 [1.05e+04-1.31e+04],3.5e+03 [2.55e+03-4.86e+03],1.93e+03 [1.49e+03-2.39e+03]
q=12,twin,2.19e+05 [5.83e+04-3.76e+05],1.75e+04 [9.21e+03-2.09e+04],7.17e+03 [5.68e+03-1.01e+04],7.35e+03 [6.45e+03-1.01e+04],9.18e+03 [7.12e+03-1.08e+04],8.53e+03 [5.61e+03-1.26e+04]
q=14,physics,1.74e+05 [1.24e+05-2.53e+05],1.65e+05 [1.23e+05-2.28e+05],1.18e+05 [9.38e+04-1.55e+05],1.05e+04 [7.66e+03-1.46e+04],3.55e+03 [2.66e+03-4.81e+03],1.95e+03 [1.64e+03-2.3e+03]
q=14,twin,1.44e+05 [7.05e+04-2.84e+05],1.54e+04 [7.66e+03-1.88e+04],7.74e+03 [4.77e+03-1.18e+04],8.96e+03 [6.51e+03-1.06e+04],8.5e+03 [6.52e+03-1.4e+04],7.38e+03 [7.03e+03-9.47e+03]
q=16,physics,1.29e+05 [8.83e+04-1.86e+05],1.23e+05 [8.93e+04-1.69e+05],8.88e+04 [6.84e+04-1.01e+05],9.82e+03 [7.65e+03-1.45e+04],2.99e+03 [2.67e+03-3.82e+03],1.93e+03 [1.6e+03-2.29e+03]
q=16,twin,1.93e+05 [6.86e+04-3.24e+05],8.18e+03 [6.87e+03-1.45e+04],5.57e+03 [4.29e+03-1.68e+04],4.71e+03 [3.75e+03-1.36e+04],9.54e+03 [6.55e+03-1.32e+04],6e+03 [4.36e+03-1.09e+04]
q=18,physics,1.5e+05 [1.12e+05-2.92e+05],1.45e+05 [1.07e+05-2.68e+05],1.01e+05 [7.33e+04-1.53e+05],1.09e+04 [8.04e+03-1.25e+04],3.23e+03 [2.36e+03-4.43e+03],1.95e+03 [1.59e+03-2.28e+03]
q=18,twin,1.35e+05 [7.47e+04-4.83e+05],1.46e+04 [8.76e+03-2.26e+04],8.34e+03 [5.28e+03-1.42e+04],8.16e+03 [5.88e+03-1.26e+04],8.47e+03 [6.28e+03-1.42e+04],7.94e+03 [6.37e+03-8.89e+03]
q=20,physics,1.41e+05 [1.01e+05-3.71e+05],1.32e+05 [9.88e+04-3.75e+05],9.4e+04 [7.37e+04-2.04e+05],1.19e+04 [7.52e+03-1.43e+04],3.03e+03 [2.42e+03-4.62e+03],1.97e+03 [1.58e+03-2.36e+03]
q=20,twin,1.23e+05 [7.92e+04-2.41e+05],1.68e+04 [1.21e+04-1.92e+04],8.46e+03 [5.15e+03-1.25e+04],7.82e+03 [6.77e+03-1.22e+04],1e+04 [8.11e+03-1.83e+04],8.68e+03 [6.95e+03-1.02e+04]
single step (grid C4) q=2,"physics, single step",,,,,,9.77e+03 [9.66e+03-1e+04]
single step (grid C4) q=2,"twin, single step",,,,,,5.72e+03 [3.95e+03-6.53e+03]
single step (grid C4) q=4,"physics, single step",,,,,,3.53e+03 [3.51e+03-3.54e+03]
single step (grid C4) q=4,"twin, single step",,,,,,5.17e+03 [1.69e+03-5.29e+03]
single step (grid C4) q=6,"physics, single step",,,,,,739 [726-824]
single step (grid C4) q=6,"twin, single step",,,,,,5.02e+03 [4.5e+03-5.93e+03]
single step (grid C4) q=8,"physics, single step",,,,,,771 [640-776]
single step (grid C4) q=8,"twin, single step",,,,,,4.85e+03 [4.27e+03-7.79e+03]
single step (grid C4) q=10,"physics, single step",,,,,,659 [576-764]
single step (grid C4) q=10,"twin, single step",,,,,,6.99e+03 [5.29e+03-7.91e+03]
single step (grid C4) q=12,"physics, single step",,,,,,677 [564-694]
single step (grid C4) q=12,"twin, single step",,,,,,7.11e+03 [5.09e+03-1e+04]
single step (grid C4) q=14,"physics, single step",,,,,,673 [537-708]
single step (grid C4) q=14,"twin, single step",,,,,,6.14e+03 [5.76e+03-7.71e+03]
single step (grid C4) q=16,"physics, single step",,,,,,632 [594-672]
single step (grid C4) q=16,"twin, single step",,,,,,4.59e+03 [3.71e+03-7.6e+03]
single step (grid C4) q=18,"physics, single step",,,,,,674 [548-710]
single step (grid C4) q=18,"twin, single step",,,,,,6.29e+03 [6.14e+03-6.32e+03]
single step (grid C4) q=20,"physics, single step",,,,,,648 [627-660]
single step (grid C4) q=20,"twin, single step",,,,,,7.1e+03 [6.91e+03-7.59e+03]
straight line,straight line,4.895e+05,4.797e+05,4.797e+05,4.797e+05,4.797e+05,4.797e+05
reference floor,reference floor,,,,,,
