row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,1e+05 [6.52e+04-1.83e+05],9.37e+04 [6.44e+04-1.73e+05],6.29e+04 [4.91e+04-1.13e+05],8.34e+03 [5.79e+03-1.21e+04],2.14e+03 [1.69e+03-2.53e+03],8.8e+03 [4.52e+03-2.65e+04]
q=2,twin,1.55e+05 [8.33e+04-3.31e+05],6.53e+03 [2.7e+03-1.25e+04],2.99e+03 [2.82e+03-5.99e+03],4.23e+03 [2.77e+03-6.01e+03],8.12e+03 [6.61e+03-9.97e+03],5.07e+03 [2.99e+03-6.42e+03]
q=4,physics,1.45e+05 [8.64e+04-1.84e+05],1.39e+05 [8.02e+04-1.79e+05],8.91e+04 [5.71e+04-1.23e+05],1e+04 [8.38e+03-1.67e+04],2.33e+03 [1.8e+03-2.68e+03],3.66e+03 [2.68e+03-5.09e+03]
q=4,twin,1.69e+05 [1.38e+05-2.16e+05],4.4e+03 [942-8.5e+03],3.77e+03 [1.32e+03-6.96e+03],4.01e+03 [1.41e+03-6.8e+03],8.76e+03 [1.53e+03-1.02e+04],4.16e+03 [1.02e+03-5.79e+03]
q=6,physics,1.52e+05 [1.19e+05-2.32e+05],1.59e+05 [1.19e+05-2.17e+05],1.21e+05 [9.43e+04-1.32e+05],1.16e+04 [6.88e+03-1.49e+04],2.16e+03 [1.68e+03-2.91e+03],721 [604-812]
q=6,twin,1.48e+05 [9.78e+04-4.04e+05],1.19e+04 [2.82e+03-1.69e+04],5.06e+03 [3.92e+03-7.38e+03],4.22e+03 [3.81e+03-8.31e+03],8.01e+03 [7.05e+03-1.09e+04],4.28e+03 [3.04e+03-5.88e+03]
q=8,physics,1.6e+05 [9.71e+04-3.06e+05],1.73e+05 [8.88e+04-2.81e+05],1.24e+05 [6.61e+04-1.95e+05],9.84e+03 [7.43e+03-1.15e+04],2.08e+03 [1.88e+03-2.9e+03],735 [547-804]
q=8,twin,9.98e+04 [3.04e+04-1.6e+05],4.18e+03 [2.91e+03-1e+04],4.44e+03 [3.01e+03-7.52e+03],4.23e+03 [3.27e+03-7.07e+03],9.28e+03 [7.35e+03-1.27e+04],4.05e+03 [3.14e+03-8.04e+03]
q=10,physics,2.86e+05 [1.66e+05-3.79e+05],2.69e+05 [1.57e+05-3.68e+05],1.63e+05 [1e+05-2.28e+05],7.56e+03 [6.67e+03-1.21e+04],2.42e+03 [1.7e+03-2.99e+03],606 [530-769]
q=10,twin,1.22e+05 [6.46e+04-1.56e+05],1.06e+04 [9.1e+03-1.97e+04],5.11e+03 [3.74e+03-1.12e+04],5.03e+03 [3.97e+03-1.13e+04],9.53e+03 [6.69e+03-1.33e+04],6.51e+03 [3.61e+03-7.95e+03]
