row,arm,0.1 mm,1 mm,10 mm,100 mm,1000 mm,full crossing
q=2,physics,2.46 [1.69-4.33],2.52 [1.55-4.2],2.47 [1.67-4.2],0.88 [0.686-1.42],0.331 [0.297-0.423],0.175 [0.154-0.195]
q=2,twin,0.676 [0.495-1.65],0.547 [0.493-0.67],0.588 [0.464-0.75],0.452 [0.339-0.562],0.498 [0.35-0.89],0.482 [0.375-0.578]
q=4,physics,2.47 [1.32-3.52],2.35 [1.34-3.67],2.19 [1.03-3.27],1.1 [0.65-1.85],0.391 [0.277-0.499],0.0917 [0.0745-0.108]
q=4,twin,0.711 [0.618-1.52],0.468 [0.391-0.576],0.491 [0.352-0.778],0.505 [0.33-0.688],0.46 [0.384-0.554],0.445 [0.362-0.676]
q=6,physics,3.15 [1.47-4.6],3.08 [1.32-4.77],2.88 [1.37-5.47],1.2 [0.821-1.78],0.427 [0.328-0.492],0.0873 [0.0659-0.109]
q=6,twin,1.1 [0.48-1.52],0.627 [0.458-0.867],0.538 [0.385-0.646],0.428 [0.394-0.641],0.432 [0.373-0.649],0.544 [0.382-0.812]
q=8,physics,3.85 [1.89-5.48],4.01 [1.7-5.53],3.25 [1.4-5.88],1.26 [0.55-1.75],0.384 [0.312-0.475],0.0733 [0.0672-0.087]
q=8,twin,0.886 [0.641-1.26],0.442 [0.385-0.893],0.47 [0.341-0.71],0.414 [0.3-0.747],0.417 [0.344-0.715],0.466 [0.328-0.944]
q=10,physics,2.5 [1.73-4.77],2.17 [1.67-5.04],2.46 [1.67-5.21],1.22 [1.05-1.29],0.385 [0.279-0.489],0.088 [0.0595-0.103]
q=10,twin,1.41 [0.68-3.81],0.897 [0.405-1.25],0.644 [0.408-0.887],0.494 [0.384-0.622],0.649 [0.406-0.695],0.669 [0.543-0.97]
q=12,physics,2.34 [1.06-3.56],2.47 [1.13-3.67],2.3 [1.04-3.49],0.886 [0.64-1.12],0.364 [0.316-0.515],0.0718 [0.0619-0.0854]
q=12,twin,0.955 [0.759-1.5],0.652 [0.52-0.821],0.5 [0.401-1.17],0.403 [0.368-0.807],0.638 [0.365-1.11],0.798 [0.385-1.25]
q=14,physics,2.91 [2.26-3.73],2.86 [2.06-4.53],2.93 [1.97-5.36],0.833 [0.665-1.21],0.416 [0.251-0.468],0.0768 [0.068-0.0849]
q=14,twin,1.53 [0.688-1.86],0.645 [0.517-0.71],0.544 [0.376-0.701],0.519 [0.325-0.834],0.547 [0.352-0.64],0.556 [0.331-0.757]
q=16,physics,3.1 [2.51-4.42],3.08 [2.15-4.24],3.01 [1.77-4.16],0.9 [0.655-1.65],0.38 [0.278-0.464],0.0759 [0.0667-0.102]
q=16,twin,0.79 [0.651-1.95],0.67 [0.466-0.9],0.602 [0.421-1.02],0.528 [0.379-0.837],0.472 [0.413-0.94],0.477 [0.442-0.935]
q=18,physics,1.93 [1.44-6.43],2.04 [1.35-5.87],1.91 [1.15-4.74],0.973 [0.759-1.81],0.375 [0.284-0.52],0.0716 [0.0647-0.0855]
q=18,twin,0.911 [0.653-1.37],0.721 [0.403-1.12],0.487 [0.396-0.557],0.556 [0.38-0.881],0.546 [0.356-0.629],0.562 [0.383-0.844]
q=20,physics,2.11 [1.06-3.11],2.05 [1.09-3.7],1.67 [1.07-3.68],1.05 [0.668-1.27],0.357 [0.297-0.473],0.0863 [0.0704-0.0914]
q=20,twin,0.915 [0.597-1.52],0.626 [0.371-0.858],0.463 [0.373-0.997],0.468 [0.37-1.09],0.425 [0.398-0.886],0.634 [0.346-1.03]
straight line,straight line,0.4113,0.3281,0.3281,0.3281,0.3281,0.3281
material floor,material floor,0.2754,0.2624,0.2624,0.2624,0.2624,0.2624
reference floor,reference floor,,,,,,
