rank,tag,arch,width,depth,q,mode,seed,best_column,best_median_um,single_step_full_crossing_um,n_parameters,multiply_adds,col_0.1_mm,col_1_mm,col_10_mm,col_100_mm,col_1000_mm,col_full_crossing
1,w128_d8_q14_physics_s0,8x128,128,8,14,physics,0,full crossing,549.323,673.202,124348,123264,188321,171971,120584,9040.77,2692.15,549.323
2,w128_d8_q12_physics_s2,8x128,128,8,12,physics,2,full crossing,572.562,677.336,123316,122240,165647,178225,120202,10953.1,2214.08,572.562
3,w128_d8_q18_physics_s0,8x128,128,8,18,physics,0,full crossing,590.349,673.724,126412,125312,131875,120557,84479.6,10708.1,2251.02,590.349
4,w64_d8_q18_physics_s1,8x64,64,8,18,physics,1,full crossing,592.09,647.261,34572,33984,241615,221823,155211,9201.8,2053.18,592.09
5,w256_d8_q18_physics_s1,8x256,256,8,18,physics,1,full crossing,593.911,592.895,482124,480000,146557,142378,100332,13865.4,2187.59,593.911
6,w256_d8_q14_physics_s2,8x256,256,8,14,physics,2,full crossing,612.244,621.325,478012,475904,121147,116311,86657.3,11770.1,2281.83,612.244
7,w256_d8_q18_physics_s2,8x256,256,8,18,physics,2,full crossing,613.805,592.895,482124,480000,209855,199287,135041,11737.1,2172.87,613.805
8,w256_d8_q12_physics_s2,8x256,256,8,12,physics,2,full crossing,623.397,645.284,475956,473856,108343,103964,78379.8,7367.94,2136.08,623.397
9,w128_d8_q16_physics_s1,8x128,128,8,16,physics,1,full crossing,634.655,631.616,125380,124288,127948,122398,88149.4,7925.53,2558.82,634.655
10,w128_d8_q20_physics_s2,8x128,128,8,20,physics,2,full crossing,642.56,648.301,127444,126336,285074,275019,169614,8768.27,2930.41,642.56
11,w128_d8_q10_physics_s0,8x128,128,8,10,physics,0,full crossing,642.732,658.747,122284,121216,169780,156889,100787,8095.05,2648.76,642.732
12,w64_d8_q20_physics_s0,8x64,64,8,20,physics,0,full crossing,642.732,638.527,35092,34496,179141,173051,109998,10328.1,2440.97,642.732
13,w256_d8_q20_physics_s1,8x256,256,8,20,physics,1,full crossing,646.463,655.726,484180,482048,130241,130505,98727.2,11841.5,2750.18,646.463
14,w256_d8_q16_physics_s1,8x256,256,8,16,physics,1,full crossing,647.571,669.552,480068,477952,106734,104942,75369,14561.5,2402.73,647.571
15,w256_d8_q08_physics_s1,8x256,256,8,8,physics,1,full crossing,652.628,659.571,471844,469760,136013,148180,104416,11645.9,2333.73,652.628
16,w128_d8_q20_physics_s0,8x128,128,8,20,physics,0,full crossing,655.243,648.301,127444,126336,138308,127132,92760.2,11977,2707,655.243
17,w64_d8_q18_physics_s0,8x64,64,8,18,physics,0,full crossing,657.655,647.261,34572,33984,223873,217896,151782,9098.66,1993.76,657.655
18,w256_d8_q14_physics_s1,8x256,256,8,14,physics,1,full crossing,660.471,621.325,478012,475904,192785,229221,162973,15267,2421.47,660.471
19,w256_d8_q20_physics_s0,8x256,256,8,20,physics,0,full crossing,662.336,655.726,484180,482048,128114,124086,97126.6,11158,2572.73,662.336
20,w256_d4_q10_physics_s0,4x256,256,4,10,physics,0,full crossing,666.643,814.932,210732,209664,190240,171759,138813,18398.4,2716.71,666.643
21,w128_d4_q16_physics_s1,4x128,128,4,16,physics,1,full crossing,666.702,729.159,59332,58752,213581,205159,163555,20345.5,2838.78,666.702
22,w64_d8_q08_physics_s0,8x64,64,8,8,physics,0,full crossing,675.205,685.532,31972,31424,157502,141712,99151.4,10872.5,2758.16,675.205
23,w64_d4_q16_physics_s2,4x64,64,4,16,physics,2,full crossing,675.582,765.959,17412,17088,256213,249861,193522,14528.5,2770.15,675.582
24,w128_d8_q16_physics_s0,8x128,128,8,16,physics,0,full crossing,678.339,631.616,125380,124288,164390,147271,94632.4,9281.42,2094.69,678.339
25,w128_d8_q08_physics_s0,8x128,128,8,8,physics,0,full crossing,684.154,771.173,121252,120192,116487,103296,73011.3,10654.5,2289.31,684.154
26,w64_d8_q20_physics_s1,8x64,64,8,20,physics,1,full crossing,687.187,638.527,35092,34496,139288,131547,92854.7,11466.3,2359.32,687.187
27,w128_d4_q12_physics_s2,4x128,128,4,12,physics,2,full crossing,687.755,775.665,57268,56704,305982,288914,212807,20129.8,3016.95,687.755
28,w256_d8_q16_physics_s0,8x256,256,8,16,physics,0,full crossing,690.305,669.552,480068,477952,164969,161090,120375,9956.42,2165.88,690.305
29,w256_d8_q18_physics_s0,8x256,256,8,18,physics,0,full crossing,691.828,592.895,482124,480000,129794,116822,84092.5,12412.5,2348.79,691.828
30,w128_d8_q12_physics_s0,8x128,128,8,12,physics,0,full crossing,692.847,677.336,123316,122240,153018,144381,101405,12359.7,2512.89,692.847
31,w128_d8_q10_physics_s1,8x128,128,8,10,physics,1,full crossing,694.214,658.747,122284,121216,320355,308831,188958,11892.3,2994.81,694.214
32,w64_d4_q12_physics_s0,4x64,64,4,12,physics,0,full crossing,695.238,725.973,16372,16064,290479,304407,228662,13277.1,3036,695.238
33,w64_d8_q08_physics_s1,8x64,64,8,8,physics,1,full crossing,695.497,685.532,31972,31424,107953,103239,77816.7,7101.2,2556.97,695.497
34,w64_d8_q10_physics_s1,8x64,64,8,10,physics,1,full crossing,697.285,739.572,32492,31936,129185,121383,94800.6,10276.1,2024.76,697.285
35,w128_d8_q16_physics_s2,8x128,128,8,16,physics,2,full crossing,699.332,631.616,125380,124288,101191,100357,67850.7,12775.6,2221.62,699.332
36,w128_d8_q14_physics_s1,8x128,128,8,14,physics,1,full crossing,699.841,673.202,124348,123264,170306,177134,125224,7807.87,2509.71,699.841
37,w128_d4_q14_physics_s1,4x128,128,4,14,physics,1,full crossing,701.846,777.561,58300,57728,184827,179351,144345,16948.5,2583.15,701.846
38,w32_d8_q18_physics_s0,8x32,32,8,18,physics,0,full crossing,702.109,750.273,10156,9824,503616,497213,374685,8014.97,3531.65,702.109
39,w256_d8_q12_physics_s1,8x256,256,8,12,physics,1,full crossing,703.262,645.284,475956,473856,178074,185371,136005,14218.1,2330.57,703.262
40,w256_d8_q08_physics_s2,8x256,256,8,8,physics,2,full crossing,704.623,659.571,471844,469760,79270.5,76716.8,59202.9,8779.22,1998.63,704.623
41,w64_d8_q06_physics_s1,8x64,64,8,6,physics,1,full crossing,704.985,763.304,31452,30912,246434,250206,177052,7298.65,2862.23,704.985
