tag,width,depth,q,mode,seed,stratum,direction,component,unit,median_abs,p95_abs,mean,rms,n
w128_d2_q02_data_s0,128,2,2,data,0,all,all,x,um,0.103357,7205.61,64.6959,8644.65,12000
w128_d2_q02_data_s0,128,2,2,data,0,all,all,y,um,0.0643379,3932.81,-30.0834,4741.09,12000
w128_d2_q02_data_s0,128,2,2,data,0,all,all,tx,mrad,0.0929828,5.8561,0.0137454,7.15557,12000
w128_d2_q02_data_s0,128,2,2,data,0,all,all,ty,mrad,0.00698753,2.32037,-0.0405236,2.276,12000
w128_d2_q02_data_s0,128,2,2,data,0,all,all,max_xy,um,0.164418,8947.8,1928.37,9160.68,12000
w128_d2_q02_data_s0,128,2,2,data,0,all,forward,x,um,0.0904898,8309.81,201.115,8828.41,5968
w128_d2_q02_data_s0,128,2,2,data,0,all,forward,y,um,0.0613091,3818.41,54.3659,4073.11,5968
w128_d2_q02_data_s0,128,2,2,data,0,all,forward,tx,mrad,0.0925182,5.12561,0.247696,4.49507,5968
w128_d2_q02_data_s0,128,2,2,data,0,all,forward,ty,mrad,0.00639144,2.42958,-0.0264993,1.98364,5968
w128_d2_q02_data_s0,128,2,2,data,0,all,forward,max_xy,um,0.152448,9804.46,1962.86,9228.51,5968
w128_d2_q02_data_s0,128,2,2,data,0,all,backward,x,um,0.118862,6405.86,-70.2754,8458.92,6032
w128_d2_q02_data_s0,128,2,2,data,0,all,backward,y,um,0.0700834,4145.02,-113.637,5320.08,6032
w128_d2_q02_data_s0,128,2,2,data,0,all,backward,tx,mrad,0.093141,6.53777,-0.217723,9.04819,6032
w128_d2_q02_data_s0,128,2,2,data,0,all,backward,ty,mrad,0.00780234,2.22056,-0.0543992,2.53225,6032
w128_d2_q02_data_s0,128,2,2,data,0,all,backward,max_xy,um,0.175769,8324.3,1894.25,9093.06,6032
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,all,x,um,6.16211e-07,1.74271e-05,-4.69092e-07,1.36209e-05,2000
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,all,y,um,4.83602e-07,1.04647e-05,6.5562e-07,7.76456e-06,2000
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,all,tx,mrad,0.00291757,0.0361973,1.54995e-05,0.0212156,2000
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,all,ty,mrad,1.8691e-05,0.000517282,1.42551e-05,0.000318653,2000
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,all,max_xy,um,9.08173e-07,1.84547e-05,4.63827e-06,1.44649e-05,2000
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,forward,x,um,6.38892e-07,1.63286e-05,3.48053e-08,1.21605e-05,1017
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,forward,y,um,5.0845e-07,1.06181e-05,8.45218e-07,8.26492e-06,1017
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,forward,tx,mrad,0.00306138,0.037225,0.000335904,0.0191543,1017
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,forward,ty,mrad,1.98216e-05,0.000539958,2.44104e-05,0.000301439,1017
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,forward,max_xy,um,9.75916e-07,1.76747e-05,4.32236e-06,1.3435e-05,1017
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,backward,x,um,5.92877e-07,1.76235e-05,-9.90418e-07,1.49827e-05,983
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,backward,y,um,4.66883e-07,1.03796e-05,4.59464e-07,7.21044e-06,983
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,backward,tx,mrad,0.00282293,0.0350343,-0.000315987,0.0231559,983
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,backward,ty,mrad,1.68564e-05,0.000477466,3.74862e-06,0.000335533,983
w128_d2_q02_data_s0,128,2,2,data,0,0.05-0.2 mm,backward,max_xy,um,8.60652e-07,1.96525e-05,4.96511e-06,1.54583e-05,983
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,all,x,um,7.18413e-05,0.00178546,-9.90214e-05,0.00161837,2000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,all,y,um,4.82529e-05,0.00112083,5.69417e-05,0.000885876,2000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,all,tx,mrad,0.0159833,0.357231,-0.00748876,0.197968,2000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,all,ty,mrad,0.00019472,0.00414979,0.000238792,0.00376898,2000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,all,max_xy,um,9.83137e-05,0.00215827,0.00050908,0.00173234,2000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,forward,x,um,6.93768e-05,0.00158456,-0.000139104,0.00176827,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,forward,y,um,4.96503e-05,0.00102107,4.49532e-05,0.000740169,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,forward,tx,mrad,0.0142338,0.354788,-0.00409368,0.205962,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,forward,ty,mrad,0.000182826,0.00376447,0.000268154,0.00322804,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,forward,max_xy,um,9.6231e-05,0.00183638,0.000476536,0.00181844,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,backward,x,um,7.49217e-05,0.00214005,-5.89388e-05,0.00145309,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,backward,y,um,4.57539e-05,0.00125858,6.89302e-05,0.00101079,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,backward,tx,mrad,0.0171405,0.357778,-0.0108838,0.189637,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,backward,ty,mrad,0.000214861,0.00499418,0.000209429,0.00424148,1000
w128_d2_q02_data_s0,128,2,2,data,0,0.5-2 mm,backward,max_xy,um,0.000100708,0.00262332,0.000541625,0.00164174,1000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,all,x,um,0.00815095,0.17504,-0.000571559,0.108839,2000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,all,y,um,0.0056969,0.10933,-0.00123928,0.066525,2000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,all,tx,mrad,0.043346,0.496469,-0.00823833,0.523226,2000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,all,ty,mrad,0.00176428,0.0342121,-0.000475651,0.0239598,2000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,all,max_xy,um,0.0120947,0.206446,0.0461696,0.118221,2000
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,forward,x,um,0.00860756,0.176558,-0.00263599,0.0982226,994
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,forward,y,um,0.00575191,0.112539,-0.00249912,0.064207,994
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,forward,tx,mrad,0.0452644,0.497951,0.0229443,0.436789,994
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,forward,ty,mrad,0.00177354,0.0383091,-0.00159172,0.0209602,994
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,forward,max_xy,um,0.0123158,0.2129,0.0450508,0.107948,994
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,backward,x,um,0.00774312,0.172655,0.00146824,0.118397,1006
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,backward,y,um,0.00567061,0.104052,5.52817e-06,0.0687386,1006
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,backward,tx,mrad,0.0410288,0.495801,-0.039049,0.596453,1006
w128_d2_q02_data_s0,128,2,2,data,0,5-20 mm,backward,ty,mrad,0.00174815,0.0285436,0.0006271,0.0265935,1006
