row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,8.86e-06 [7.46e-06-1.08e-05],0.000867 [0.000773-0.00112],0.0954 [0.0768-0.112],9.63 [8.59-10.4],406 [383-481],8.26e+03 [8.24e+03-8.58e+03]
q=2,twin,7.22e-07 [6.16e-07-8.41e-07],8.36e-05 [7.18e-05-8.72e-05],0.00867 [0.00815-0.00965],1.75 [1.43-1.91],300 [259-351],2.58e+03 [2.57e+03-2.65e+03]
q=4,physics,9.47e-06 [8.63e-06-1.41e-05],0.000969 [0.000905-0.00151],0.102 [0.0952-0.142],13.3 [8.66-13.6],427 [427-427],3.79e+03 [3.73e+03-3.82e+03]
q=4,twin,6.95e-07 [5.87e-07-8.09e-07],6.56e-05 [5.72e-05-9.3e-05],0.00832 [0.00798-0.0103],1.47 [1.34-1.84],336 [274-345],2.55e+03 [2.16e+03-2.66e+03]
q=6,physics,9.1e-06 [7.12e-06-1.01e-05],0.000971 [0.000725-0.00104],0.0992 [0.0818-0.116],10.1 [8.46-10.7],407 [381-505],844 [801-1e+03]
q=6,twin,7.24e-07 [6.95e-07-7.31e-07],7.59e-05 [7.51e-05-7.77e-05],0.00925 [0.00836-0.0093],1.58 [1.47-1.6],299 [297-311],2.7e+03 [2.47e+03-2.87e+03]
q=8,physics,8.03e-06 [5.62e-06-1.05e-05],0.000872 [0.000571-0.00114],0.0905 [0.0607-0.111],8.24 [5.86-10.4],414 [386-428],820 [816-1.02e+03]
q=8,twin,7.98e-07 [6.76e-07-8.42e-07],7.66e-05 [7.53e-05-8.78e-05],0.009 [0.00847-0.0111],1.66 [1.59-2.49],335 [290-355],2.59e+03 [2.42e+03-3.1e+03]
q=10,physics,1.09e-05 [8.54e-06-2.32e-05],0.00113 [0.000871-0.00235],0.115 [0.0856-0.242],13 [8.69-18.1],396 [381-433],791 [768-801]
q=10,twin,8.62e-07 [6.63e-07-9.39e-07],8.84e-05 [7.56e-05-0.000109],0.00979 [0.00812-0.0133],1.87 [1.62-2.43],341 [335-381],3.23e+03 [2.88e+03-3.46e+03]
q=12,physics,7.6e-06 [6.17e-06-9.32e-06],0.000833 [0.000655-0.000929],0.0906 [0.0609-0.0967],8.67 [6.75-9.18],409 [406-413],806 [755-812]
q=12,twin,1.07e-06 [1e-06-1.42e-06],0.000116 [0.000111-0.000158],0.0128 [0.0112-0.017],2.58 [2.07-3.23],385 [328-479],3.2e+03 [2.63e+03-4.75e+03]
q=14,physics,9.73e-06 [8.52e-06-1.67e-05],0.000982 [0.000855-0.00184],0.0981 [0.0858-0.178],12.5 [9.6-16.7],418 [410-472],796 [771-992]
q=14,twin,8.47e-07 [8.34e-07-8.76e-07],8.96e-05 [8.2e-05-9.52e-05],0.0096 [0.00921-0.0116],1.99 [1.36-2.06],341 [319-377],3.21e+03 [3.21e+03-4.16e+03]
q=16,physics,1.2e-05 [1.08e-05-1.28e-05],0.00128 [0.00118-0.0013],0.117 [0.114-0.135],13.7 [11.7-14.6],413 [381-416],759 [697-842]
q=16,twin,1.08e-06 [7.82e-07-1.17e-06],0.000121 [8.1e-05-0.000139],0.0134 [0.00896-0.0171],2.15 [1.91-2.85],358 [301-376],3.65e+03 [2.21e+03-3.95e+03]
q=18,physics,8.62e-06 [5.97e-06-9.11e-06],0.000886 [0.000632-0.00096],0.0977 [0.0617-0.101],9.38 [7.81-16],367 [334-436],779 [776-782]
q=18,twin,9.29e-07 [7.4e-07-1.23e-06],0.000102 [7.48e-05-0.000124],0.012 [0.00846-0.0163],1.69 [1.59-2.04],358 [318-375],4.11e+03 [3.22e+03-4.13e+03]
q=20,physics,9.92e-06 [8.89e-06-1.43e-05],0.000981 [0.000918-0.00149],0.102 [0.0996-0.162],14.1 [9.45-14.9],391 [342-483],845 [686-891]
q=20,twin,1.09e-06 [9.79e-07-1.53e-06],0.00012 [0.000103-0.000154],0.0146 [0.0132-0.019],2.4 [1.77-3.14],387 [310-413],3.38e+03 [3.33e+03-3.74e+03]
