row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,3.38e-05 [3.2e-05-4.48e-05],0.00036 [0.000341-0.000434],0.00363 [0.0032-0.00473],0.0292 [0.0292-0.0312],0.132 [0.127-0.137],0.158 [0.144-0.163]
q=2,twin,1.88e-05 [1.75e-05-1.9e-05],0.000141 [0.000134-0.000155],0.00181 [0.00165-0.00225],0.0183 [0.0181-0.0238],0.204 [0.193-0.261],0.526 [0.448-0.597]
q=4,physics,3.49e-05 [3.21e-05-6.73e-05],0.000361 [0.000316-0.000701],0.00376 [0.00319-0.0065],0.0298 [0.0288-0.0307],0.126 [0.119-0.135],0.0876 [0.0866-0.0998]
q=4,twin,1.85e-05 [1.65e-05-2.52e-05],0.000186 [0.00012-0.000199],0.00148 [0.00136-0.0017],0.016 [0.0157-0.018],0.197 [0.154-0.241],0.65 [0.531-0.779]
q=6,physics,2.7e-05 [2.05e-05-7.61e-05],0.000264 [0.000226-0.000769],0.00278 [0.00224-0.00754],0.0269 [0.0224-0.0338],0.12 [0.111-0.13],0.0811 [0.0745-0.0841]
q=6,twin,1.8e-05 [1.14e-05-1.83e-05],0.000179 [0.000102-0.000185],0.00148 [0.00114-0.00201],0.0169 [0.0153-0.0186],0.174 [0.161-0.176],0.461 [0.351-0.744]
q=8,physics,2.61e-05 [2.52e-05-5.24e-05],0.000265 [0.000265-0.000579],0.00272 [0.00262-0.00519],0.0269 [0.0255-0.028],0.121 [0.106-0.129],0.0746 [0.0722-0.0912]
q=8,twin,1.38e-05 [1.35e-05-1.69e-05],0.000151 [0.000137-0.000154],0.00142 [0.00129-0.00156],0.0152 [0.0125-0.0153],0.124 [0.115-0.171],0.468 [0.42-0.53]
q=10,physics,3.75e-05 [2.97e-05-4.3e-05],0.000338 [0.000328-0.000417],0.00387 [0.00334-0.00446],0.0302 [0.0295-0.0354],0.109 [0.108-0.119],0.0692 [0.0662-0.0789]
q=10,twin,2.57e-05 [1.77e-05-2.72e-05],0.000197 [0.000145-0.000203],0.00169 [0.00128-0.00226],0.015 [0.0149-0.0218],0.19 [0.14-0.242],0.694 [0.658-0.769]
q=12,physics,2.83e-05 [2.55e-05-3.36e-05],0.000301 [0.000249-0.000332],0.00288 [0.00252-0.00362],0.026 [0.0193-0.0316],0.113 [0.107-0.113],0.0787 [0.0725-0.0901]
q=12,twin,1.87e-05 [1.63e-05-2.06e-05],0.000148 [0.000136-0.00016],0.00133 [0.00127-0.00162],0.0146 [0.0134-0.0166],0.143 [0.112-0.154],0.55 [0.391-0.879]
q=14,physics,3.39e-05 [2.65e-05-3.77e-05],0.000334 [0.00026-0.00038],0.00369 [0.00267-0.00383],0.0274 [0.0241-0.0301],0.112 [0.11-0.122],0.0738 [0.0737-0.0795]
q=14,twin,1.67e-05 [1.48e-05-3.03e-05],0.000147 [0.000134-0.000157],0.00157 [0.00144-0.00159],0.0155 [0.0141-0.0195],0.159 [0.146-0.19],0.727 [0.722-0.934]
q=16,physics,2.98e-05 [2.78e-05-3.56e-05],0.000309 [0.000289-0.000347],0.00312 [0.00293-0.00342],0.025 [0.0197-0.0277],0.121 [0.114-0.124],0.0849 [0.0794-0.0894]
q=16,twin,1.46e-05 [1.33e-05-1.78e-05],0.000142 [0.000131-0.000147],0.00153 [0.00123-0.00165],0.0157 [0.0128-0.0171],0.168 [0.139-0.185],0.545 [0.532-0.557]
q=18,physics,2.88e-05 [2.67e-05-3.32e-05],0.0003 [0.0003-0.000357],0.00299 [0.00295-0.00376],0.0263 [0.0262-0.0303],0.111 [0.107-0.122],0.0684 [0.0642-0.0816]
q=18,twin,1.74e-05 [1.69e-05-1.86e-05],0.000161 [0.000131-0.000206],0.00148 [0.00139-0.0016],0.0148 [0.014-0.0162],0.136 [0.118-0.153],0.813 [0.503-0.98]
q=20,physics,4.59e-05 [4.58e-05-5.06e-05],0.000499 [0.000471-0.000504],0.00473 [0.00443-0.00511],0.0299 [0.0275-0.0319],0.119 [0.111-0.119],0.0705 [0.0666-0.0706]
q=20,twin,1.49e-05 [1.31e-05-1.91e-05],0.000138 [0.000124-0.000146],0.00136 [0.00134-0.00148],0.0148 [0.0127-0.0153],0.149 [0.137-0.171],0.52 [0.501-0.763]
