row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,2.3e-05 [2.2e-05-4.47e-05],0.00234 [0.00232-0.00456],0.23 [0.213-0.461],7.9 [5.79-14.5],247 [221-265],9.82e+03 [9.75e+03-1.04e+04]
q=2,twin,3.27e-06 [2.5e-06-3.69e-06],0.000296 [0.000246-0.000302],0.0318 [0.0271-0.0324],3.71 [3.1-3.74],942 [761-1.01e+03],7.7e+03 [5.67e+03-9.06e+03]
q=4,physics,3.14e-05 [2.21e-05-3.15e-05],0.00336 [0.00242-0.00352],0.309 [0.24-0.336],16.5 [8.79-17.7],240 [222-244],3.6e+03 [3.48e+03-3.68e+03]
q=4,twin,3.73e-06 [3.29e-06-4.26e-06],0.00029 [0.00027-0.000374],0.0382 [0.0355-0.0408],4.01 [3.54-4.44],982 [812-1.01e+03],7.89e+03 [5.71e+03-8.56e+03]
q=6,physics,2.53e-05 [1.84e-05-3.24e-05],0.00244 [0.00186-0.00332],0.239 [0.197-0.334],8 [7.99-14.2],219 [210-250],878 [730-892]
q=6,twin,3.52e-06 [3.22e-06-5.57e-06],0.000313 [0.000308-0.000325],0.0333 [0.0318-0.0346],3.69 [3.59-3.7],1.02e+03 [1e+03-1.03e+03],8.87e+03 [8.32e+03-1.02e+04]
q=8,physics,1.9e-05 [1.81e-05-2.65e-05],0.00197 [0.00185-0.0027],0.216 [0.175-0.246],9.5 [9.47-12.2],232 [188-233],767 [679-792]
q=8,twin,3.08e-06 [2.49e-06-3.14e-06],0.000277 [0.000183-0.000356],0.032 [0.0205-0.0358],3.49 [2.24-3.55],1.01e+03 [455-1.03e+03],9.46e+03 [5.45e+03-9.67e+03]
q=10,physics,2.54e-05 [1.89e-05-2.79e-05],0.00267 [0.00209-0.00301],0.26 [0.22-0.275],11 [10.2-11.2],250 [237-260],773 [683-815]
q=10,twin,3.61e-06 [3.37e-06-4.38e-06],0.000351 [0.000314-0.000384],0.034 [0.0337-0.0349],3.52 [3.47-3.63],1.01e+03 [1e+03-1.03e+03],9.66e+03 [8.61e+03-1.01e+04]
q=12,physics,3.12e-05 [2.63e-05-3.14e-05],0.00321 [0.00277-0.00329],0.319 [0.238-0.322],15.9 [7.21-20.6],215 [210-238],844 [758-925]
q=12,twin,3.68e-06 [3.29e-06-4.62e-06],0.000309 [0.000287-0.00038],0.0348 [0.031-0.0374],3.54 [3.5-4.08],990 [988-1.02e+03],7.64e+03 [6.07e+03-9.65e+03]
q=14,physics,1.82e-05 [1.07e-05-1.9e-05],0.00198 [0.0011-0.00208],0.199 [0.111-0.227],8.55 [8.06-12.6],220 [214-220],734 [701-841]
q=14,twin,3.73e-06 [3.64e-06-5.9e-06],0.000334 [0.000323-0.0004],0.0335 [0.0324-0.0345],3.6 [3.58-4.61],1.02e+03 [1.01e+03-1.04e+03],1.01e+04 [9.48e+03-1.26e+04]
q=16,physics,3.23e-05 [1.23e-05-3.86e-05],0.00349 [0.00126-0.00397],0.312 [0.149-0.369],9.41 [6.83-12],248 [218-263],724 [714-747]
q=16,twin,3.86e-06 [3.63e-06-5.36e-06],0.000339 [0.000339-0.000352],0.0333 [0.0321-0.0359],3.6 [3.53-3.81],1.02e+03 [1e+03-1.04e+03],8.75e+03 [8.46e+03-9.06e+03]
q=18,physics,1.54e-05 [1.2e-05-2.01e-05],0.00158 [0.00124-0.00208],0.166 [0.131-0.212],7.43 [6.63-11.4],221 [220-230],750 [700-799]
q=18,twin,3.82e-06 [3.81e-06-4.52e-06],0.00036 [0.000312-0.000375],0.0361 [0.0353-0.0369],3.52 [3.52-3.77],1.02e+03 [1.01e+03-1.02e+03],9.49e+03 [8.72e+03-1.01e+04]
q=20,physics,1.87e-05 [1.66e-05-2.31e-05],0.00217 [0.0017-0.00247],0.207 [0.175-0.231],12.1 [11.3-23.1],268 [218-274],732 [722-768]
q=20,twin,3.14e-06 [2.65e-06-5.03e-06],0.000307 [0.000237-0.000378],0.032 [0.0238-0.0363],3.62 [2.5-3.7],1e+03 [439-1.01e+03],9.04e+03 [6.58e+03-9.25e+03]
straight line,straight line,0.0001306,0.0139,1.415,141.1,1.599e+04,4.561e+05
reference floor,reference floor,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05
