row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,0.00188 [0.00182-0.00193],0.018 [0.0177-0.0183],0.089 [0.0862-0.0895],0.0893 [0.0885-0.0947],0.242 [0.235-0.26],3.82 [3.79-3.84]
q=2,twin,0.000174 [6.52e-05-0.000206],0.000697 [0.000348-0.000718],0.00544 [0.00383-0.00668],0.0601 [0.0466-0.0645],0.681 [0.642-0.797],2.21 [1.87-3.08]
q=4,physics,0.00183 [0.00171-0.00202],0.0181 [0.0181-0.0188],0.0973 [0.0959-0.105],0.0953 [0.0768-0.0974],0.261 [0.249-0.263],1.5 [1.45-1.53]
q=4,twin,9.41e-05 [8.75e-05-0.000132],0.000589 [0.000544-0.000598],0.00639 [0.00539-0.00686],0.0646 [0.0643-0.0656],0.622 [0.414-0.821],2.77 [2.01-3.14]
q=6,physics,0.00206 [0.00205-0.00214],0.0201 [0.0179-0.0211],0.0903 [0.0811-0.127],0.0885 [0.0799-0.0936],0.288 [0.288-0.329],0.216 [0.211-0.217]
q=6,twin,0.00013 [0.000112-0.000132],0.00051 [0.000492-0.000537],0.00595 [0.00535-0.00657],0.0638 [0.059-0.0648],0.578 [0.525-0.64],2.42 [2.24-2.49]
q=8,physics,0.00207 [0.00175-0.00226],0.021 [0.0173-0.0225],0.116 [0.0984-0.119],0.096 [0.0754-0.1],0.269 [0.266-0.29],0.184 [0.179-0.259]
q=8,twin,9.91e-05 [4.98e-05-0.000127],0.00053 [0.000238-0.000533],0.0057 [0.00337-0.00628],0.0633 [0.0309-0.0714],0.671 [0.619-1.12],2.61 [2.27-3.01]
q=10,physics,0.00231 [0.00181-0.00238],0.0223 [0.0172-0.0228],0.106 [0.0959-0.122],0.11 [0.0942-0.113],0.26 [0.234-0.309],0.193 [0.189-0.226]
q=10,twin,0.00012 [0.000105-0.000157],0.0007 [0.000614-0.000749],0.00596 [0.00576-0.00667],0.0624 [0.0594-0.0653],0.631 [0.622-0.64],2.64 [2.59-3.09]
q=12,physics,0.00229 [0.00221-0.00235],0.0223 [0.0213-0.0248],0.144 [0.138-0.159],0.0929 [0.0909-0.0981],0.281 [0.263-0.311],0.182 [0.169-0.232]
q=12,twin,9.74e-05 [9.18e-05-0.000172],0.000612 [0.000606-0.000741],0.00563 [0.00548-0.00675],0.0633 [0.0564-0.0648],0.726 [0.711-0.862],3.17 [2.73-3.77]
q=14,physics,0.00213 [0.00209-0.00224],0.0203 [0.0202-0.0214],0.112 [0.111-0.131],0.0942 [0.0878-0.11],0.27 [0.269-0.28],0.212 [0.209-0.257]
q=14,twin,0.000121 [0.000108-0.000146],0.000622 [0.00058-0.000631],0.0057 [0.00565-0.00586],0.0672 [0.0618-0.0695],0.62 [0.594-0.644],2.65 [2.49-3.21]
q=16,physics,0.00226 [0.00212-0.00233],0.0211 [0.0199-0.0224],0.124 [0.122-0.134],0.0687 [0.0683-0.1],0.266 [0.254-0.306],0.213 [0.168-0.226]
q=16,twin,9.07e-05 [8.54e-05-0.000124],0.000515 [0.000434-0.00072],0.00591 [0.00528-0.00636],0.064 [0.0593-0.0682],0.584 [0.536-0.692],2.37 [2.26-2.87]
q=18,physics,0.0023 [0.00195-0.00246],0.0213 [0.0186-0.0224],0.111 [0.0897-0.143],0.0769 [0.075-0.0958],0.275 [0.266-0.289],0.206 [0.203-0.223]
q=18,twin,0.000112 [9.13e-05-0.000114],0.000548 [0.000541-0.000553],0.00613 [0.00541-0.00645],0.0631 [0.0629-0.0662],0.613 [0.582-0.665],2.59 [2.43-2.77]
q=20,physics,0.00215 [0.00198-0.00223],0.0216 [0.0209-0.0226],0.138 [0.115-0.139],0.102 [0.0996-0.104],0.296 [0.237-0.318],0.206 [0.197-0.234]
q=20,twin,7.55e-05 [5.75e-05-9.08e-05],0.000449 [0.00037-0.000471],0.00619 [0.00347-0.00684],0.0577 [0.041-0.067],0.661 [0.582-1.1],2.57 [2.49-3.02]
