row,arm,0.05-0.2 mm,0.5-2 mm,5-20 mm,50-200 mm,500-2000 mm,full crossing
q=2,physics,4.38e-06 [2.82e-06-5.67e-06],0.000465 [0.000304-0.000613],0.049 [0.0299-0.0582],3.08 [1.6-3.35],63.8 [54.4-66.6],644 [642-693]
q=2,twin,8.29e-07 [6.17e-07-1.09e-06],8.57e-05 [5.37e-05-0.000103],0.00852 [0.00609-0.0104],0.67 [0.615-1.11],95.6 [77-105],1.87e+03 [1.42e+03-1.91e+03]
q=4,physics,5.35e-06 [1.99e-06-1.42e-05],0.000543 [0.000209-0.00149],0.0582 [0.0204-0.147],4.55 [1.98-5.55],65.6 [62.7-72.5],242 [229-298]
q=4,twin,8.05e-07 [7.95e-07-8.86e-07],8.5e-05 [7.76e-05-8.61e-05],0.00918 [0.00795-0.0101],0.764 [0.719-0.983],75.5 [61.3-76.7],1.51e+03 [1.42e+03-2.11e+03]
q=6,physics,6.08e-06 [2.74e-06-7.97e-06],0.000663 [0.000272-0.000828],0.0764 [0.0293-0.0854],3.75 [2.34-4.39],58.6 [58.5-61.5],206 [203-242]
q=6,twin,8.51e-07 [8.11e-07-1.44e-06],8.49e-05 [8.2e-05-0.000112],0.00671 [0.00666-0.00991],0.634 [0.627-0.85],70.6 [51.9-71.7],1.63e+03 [1.47e+03-1.65e+03]
q=8,physics,4.32e-06 [2.33e-06-6.91e-06],0.000438 [0.000233-0.000733],0.0419 [0.029-0.0743],2.88 [2.12-3.16],58.5 [52-77.8],203 [191-230]
q=8,twin,1.01e-06 [7.49e-07-1.19e-06],7.64e-05 [7.57e-05-8.44e-05],0.00894 [0.00624-0.00908],0.792 [0.608-0.978],74.8 [53.8-90.4],2.37e+03 [1.42e+03-3.04e+03]
q=10,physics,2.95e-06 [2.41e-06-7.41e-06],0.000306 [0.000255-0.000801],0.0312 [0.0253-0.0751],2.85 [1.81-2.93],65.4 [61-78.6],211 [203-263]
q=10,twin,8.22e-07 [7.94e-07-1.05e-06],7.34e-05 [5.97e-05-8.11e-05],0.00863 [0.00661-0.00872],0.713 [0.643-0.791],65.1 [57.8-79.3],1.43e+03 [1.39e+03-1.53e+03]
q=12,physics,4.46e-06 [1.28e-06-4.57e-06],0.000483 [0.00013-0.000495],0.0439 [0.0127-0.0442],2.58 [0.954-3.06],65.1 [56.1-65.2],206 [198-220]
q=12,twin,9.42e-07 [8.95e-07-1.29e-06],9.57e-05 [6.78e-05-9.84e-05],0.00876 [0.00645-0.0105],0.87 [0.74-0.965],77.7 [70.1-87],1.65e+03 [1.63e+03-1.88e+03]
q=14,physics,3.43e-06 [3.07e-06-9.37e-06],0.000363 [0.000301-0.000991],0.0436 [0.0337-0.101],3.51 [2.31-5.43],65.7 [62.7-75],221 [211-243]
q=14,twin,1.05e-06 [9.11e-07-1.05e-06],7.3e-05 [6.68e-05-7.74e-05],0.00688 [0.00658-0.0093],0.655 [0.611-0.695],55.8 [53.2-79.5],1.49e+03 [1.49e+03-1.7e+03]
q=16,physics,2.55e-06 [1.57e-06-2.78e-06],0.000267 [0.000153-0.000302],0.0248 [0.0162-0.0295],1.66 [1.21-3.84],65.4 [60.6-73.5],213 [187-240]
q=16,twin,1.12e-06 [8.42e-07-1.8e-06],7.79e-05 [6.63e-05-9.44e-05],0.00789 [0.00733-0.00799],0.716 [0.671-0.9],64.5 [62.4-104],2.07e+03 [1.65e+03-3.08e+03]
q=18,physics,4.77e-06 [3.57e-06-5.75e-06],0.000492 [0.000392-0.000648],0.0473 [0.037-0.0635],3.22 [2.19-3.72],66.6 [49.2-77.5],190 [180-196]
q=18,twin,9.32e-07 [8.05e-07-1.23e-06],8.47e-05 [6.32e-05-8.75e-05],0.00818 [0.0066-0.00866],0.671 [0.624-0.809],58.6 [58-69.9],1.51e+03 [1.43e+03-2.07e+03]
q=20,physics,2.53e-06 [2.52e-06-4.86e-06],0.000273 [0.000271-0.000496],0.0274 [0.0251-0.0506],2.27 [2.23-3.21],61.1 [59-70.1],215 [184-252]
q=20,twin,1.31e-06 [9.06e-07-1.58e-06],9.04e-05 [7.02e-05-0.000101],0.00828 [0.00749-0.0083],0.751 [0.665-0.8],71.5 [61.2-84.8],1.9e+03 [1.41e+03-1.92e+03]
