arm,network,mode,seed,width,depth,converged,particle,n_legs,step,cum_dz_mm,p_GeV,end_err_um,slope_err_mrad
residual,residual_w100_data_s0,data,0,100,4,True,37,4,0,69.79500000000007,6.150146484375,0.151474349252112,0.0038632017180829925
residual,residual_w100_data_s0,data,0,100,4,True,37,4,1,139.88400000000001,6.150146484375,0.5707978452029749,0.007873305422786275
residual,residual_w100_data_s0,data,0,100,4,True,37,4,2,824.9570000000003,6.150146484375,40.31245700559616,0.12845972573833492
residual,residual_w100_data_s0,data,0,100,4,True,37,4,3,894.7540000000008,6.150146484375,49.38370632492273,0.13138546058756584
residual,residual_w100_data_s0,data,0,100,4,True,70,4,0,69.82700000000023,2.9479775428771973,0.6426013608233916,0.01475372260717478
residual,residual_w100_data_s0,data,0,100,4,True,70,4,1,542.2049999999999,2.9479775428771973,215.06602295846733,0.8602768361436058
residual,residual_w100_data_s0,data,0,100,4,True,70,4,2,1227.4650000000001,2.9479775428771973,820.67264049806,1.1664548571887616
residual,residual_w100_data_s0,data,0,100,4,True,70,4,3,1297.2920000000013,2.9479775428771973,902.2294152139239,1.1704480795978607
residual,residual_w100_data_s0,data,0,100,4,True,81,4,0,472.20400000000063,9.942654609680176,0.5708810945250775,0.007244750568700942
residual,residual_w100_data_s0,data,0,100,4,True,81,4,1,542.0039999999999,9.942654609680176,0.927970805349787,0.0069351153966085155
residual,residual_w100_data_s0,data,0,100,4,True,81,4,2,612.206000000001,9.942654609680176,1.4000940152243402,0.006620823957102784
residual,residual_w100_data_s0,data,0,100,4,True,81,4,3,682.0060000000003,9.942654609680176,1.8457309928407994,0.006294649355982618
residual,residual_w100_data_s0,data,0,100,4,True,163,4,0,473.09799999999996,1.7458233833312988,354.5478522794383,1.7308188830092996
residual,residual_w100_data_s0,data,0,100,4,True,163,4,1,543.0310000000009,1.7458233833312988,482.6507179800501,1.9366764631038036
residual,residual_w100_data_s0,data,0,100,4,True,163,4,2,683.2970000000005,1.7458233833312988,776.5586858884035,2.256515307036411
residual,residual_w100_data_s0,data,0,100,4,True,163,4,3,1159.3880000000008,1.7458233833312988,1909.31591015692,2.5501049424169198
residual,residual_w100_data_s0,data,0,100,4,True,188,4,0,69.78600000000006,2.9586055278778076,4.1876457989928895,0.12971422732155347
residual,residual_w100_data_s0,data,0,100,4,True,188,4,1,681.8640000000005,2.9586055278778076,466.28337922993524,1.1582498081016412
residual,residual_w100_data_s0,data,0,100,4,True,188,4,2,751.6510000000007,2.9586055278778076,548.1654388463539,1.1899179080939737
residual,residual_w100_data_s0,data,0,100,4,True,188,4,3,1226.2490000000007,2.9586055278778076,1122.0061140077178,1.1983452960424579
residual,residual_w100_data_s0,data,0,100,4,True,224,4,0,475.246000000001,8.64513874053955,0.5322783239876117,0.00278448727267927
residual,residual_w100_data_s0,data,0,100,4,True,224,4,1,545.0540000000001,8.64513874053955,0.7054159760855327,0.0029941703239902417
residual,residual_w100_data_s0,data,0,100,4,True,224,4,2,615.2620000000006,8.64513874053955,0.8714359365598057,0.003182117497793624
residual,residual_w100_data_s0,data,0,100,4,True,224,4,3,684.8880000000008,8.64513874053955,1.0267239734531586,0.003352966961057968
residual,residual_w100_data_s0,data,0,100,4,True,287,4,0,69.83899999999994,1.9725977182388306,0.4501186358538689,0.01193339375626934
residual,residual_w100_data_s0,data,0,100,4,True,287,4,1,140.07699999999932,1.9725977182388306,1.795239822968142,0.02975490140696979
residual,residual_w100_data_s0,data,0,100,4,True,287,4,2,685.369999999999,1.9725977182388306,144.09383387260277,0.5323864418037283
residual,residual_w100_data_s0,data,0,100,4,True,287,4,3,755.2080000000005,1.9725977182388306,180.33549193478393,0.5059841893965689
residual,residual_w100_data_s0,data,0,100,4,True,290,4,0,55.0,4.232845783233643,0.024142646481095653,0.003070006139346826
residual,residual_w100_data_s0,data,0,100,4,True,290,4,1,5223.359,4.232845783233643,1402.4077583142684,0.7147571689560261
residual,residual_w100_data_s0,data,0,100,4,True,290,4,2,6590.207,4.232845783233643,1713.0779615263236,2.439332636507363
residual,residual_w100_data_s0,data,0,100,4,True,290,4,3,6660.0,4.232845783233643,1703.7639530021238,2.4417190004325517
residual,residual_w100_data_s0,data,0,100,4,True,295,4,0,25.0,17.402267456054688,0.003065955143100041,1.2373943814036892e-06
residual,residual_w100_data_s0,data,0,100,4,True,295,4,1,50.00000000000003,17.402267456054688,0.005226828760029889,1.4177345686317011e-06
residual,residual_w100_data_s0,data,0,100,4,True,295,4,2,75.00000000000003,17.402267456054688,0.006570941760486448,1.296872553790962e-06
residual,residual_w100_data_s0,data,0,100,4,True,295,4,3,163.78200000000004,17.402267456054688,0.007254107342369309,1.640988753215389e-05
residual,residual_w100_data_s0,data,0,100,4,True,347,4,0,24.999999999999986,1.7654365301132202,0.004386120479260569,9.028526150312022e-05
residual,residual_w100_data_s0,data,0,100,4,True,347,4,1,49.999999999999986,1.7654365301132202,0.013182667386146818,0.00018493966613686297
residual,residual_w100_data_s0,data,0,100,4,True,347,4,2,73.718,1.7654365301132202,0.02678488635154963,0.0003317160867516433
residual,residual_w100_data_s0,data,0,100,4,True,347,4,3,86.218,1.7654365301132202,0.03209471615406301,0.0003763410444113102
residual,residual_w100_data_s0,data,0,100,4,True,372,4,0,13.782000000000039,44.894039154052734,0.013133006439680628,7.731853519932219e-05
residual,residual_w100_data_s0,data,0,100,4,True,372,4,1,25.0,44.894039154052734,0.028061993845973632,0.00017223573235691791
residual,residual_w100_data_s0,data,0,100,4,True,372,4,2,38.78200000000001,44.894039154052734,0.04222950221288713,0.00023348227282983525
