width,mode,network,rank_by_val_chain,chain_val_leg4_med_um,chain_test_leg4_med_um,one_step_val_med_um,selected
50,physics,w50_physics_s6,0,3715.149519820429,3408.6624946229167,661.2406165528455,True
50,physics,w50_physics_s1,1,3776.5884206397545,3680.501582674765,724.725816311199,False
50,physics,w50_physics_s8,2,3997.2550611526285,3704.9570413473703,782.0737660607198,False
50,physics,w50_physics_s4,3,4041.210460259972,3792.7793587295755,650.2971732208209,False
50,physics,w50_physics_s9,4,4109.867323161381,3570.681791722777,639.8297591035771,False
50,physics,w50_physics_s0,5,4196.972117434654,4045.6906813588776,854.3494305449262,False
50,physics,w50_physics_s7,6,4543.111355501765,4274.647693282418,736.3388294947981,False
50,physics,w50_physics_s5,7,4775.015314499171,4237.791244513995,737.3753168035364,False
50,physics,w50_physics_s2,8,5610.923012037901,5363.211365335019,1246.3746058163565,False
50,physics,w50_physics_s3,9,6564.5420547022295,6122.072714278858,884.7104968166803,False
50,physics,SPEARMAN,,0.9151515151515152,0.7575757575757576,0.6484848484848484,columns: val-chain vs test-chain | one-step-val vs test-chain | one-step-val vs val-chain
50,data,w50_data_s2,0,3694.902319324214,3634.4968908133524,633.5177311462985,True
50,data,w50_data_s1,1,3932.013051590985,4025.3665395221387,645.556675372172,False
50,data,w50_data_s0,2,4137.840230673732,3571.2152895750933,594.239448308084,False
50,data,SPEARMAN,,-0.5,1.0,-0.5,columns: val-chain vs test-chain | one-step-val vs test-chain | one-step-val vs val-chain
100,physics,w100_physics_s6,0,2086.279506049607,1975.013405397931,391.9573599051205,True
100,physics,w100_physics_s8,1,2190.0013001895786,2054.3660738398157,389.1918471612197,False
100,physics,w100_physics_s5,2,2208.8727669079162,2102.039241359023,373.125351716169,False
100,physics,w100_physics_s4,3,2373.514557066528,2186.584840176124,413.01221634856586,False
100,physics,w100_physics_s9,4,2391.0766639212397,2289.5943082768044,415.8280837610118,False
100,physics,w100_physics_s1,5,2412.6247366608595,2303.267121249405,338.6893948707268,False
100,physics,w100_physics_s3,6,2443.288555508161,2342.769177315745,431.78472918595645,False
100,physics,w100_physics_s2,7,2484.229534989332,2295.7060895570294,389.95248591685794,False
100,physics,w100_physics_s0,8,2683.496597966837,2582.6396021743394,351.80645524816237,False
100,physics,w100_physics_s7,9,2803.432906819978,2580.49836395897,426.98545990685943,False
100,physics,SPEARMAN,,0.9515151515151515,0.07878787878787878,0.15151515151515152,columns: val-chain vs test-chain | one-step-val vs test-chain | one-step-val vs val-chain
100,data,w100_data_s2,0,1489.3871803841207,1403.3330775746435,245.91763866103202,True
100,data,w100_data_s0,1,1563.424608096696,1483.7908114013344,315.5524619463108,False
100,data,w100_data_s1,2,2051.0142497903416,2015.0570389235227,348.01431114014747,False
100,data,SPEARMAN,,1.0,1.0,1.0,columns: val-chain vs test-chain | one-step-val vs test-chain | one-step-val vs val-chain
200,physics,w200_physics_s3,0,1443.0002414412825,1401.7658567190665,258.6781910030993,True
200,physics,w200_physics_s8,1,1696.2424535996092,1596.2884983711447,258.25684677515073,False
200,physics,w200_physics_s5,2,1749.2856412260096,1642.0043639608082,324.6222657834108,False
200,physics,w200_physics_s2,3,1761.1572823994807,1738.2432823961267,234.57413245429848,False
200,physics,w200_physics_s4,4,1768.2544338445823,1638.7391565579037,269.71666895400756,False
200,physics,w200_physics_s9,5,1785.0414399417218,1705.088749474939,278.8259846193597,False
200,physics,w200_physics_s0,6,1917.8469015022301,1806.349467049074,279.62847523307846,False
200,physics,w200_physics_s6,7,1918.239019223904,1855.233923393797,275.4229104276966,False
200,physics,w200_physics_s1,8,2042.9496147331752,1991.8201748045944,282.3642624837639,False
200,physics,w200_physics_s7,9,2126.554687341695,2014.0893675431216,278.6536112330484,False
200,physics,SPEARMAN,,0.9393939393939394,0.41818181818181815,0.45454545454545453,columns: val-chain vs test-chain | one-step-val vs test-chain | one-step-val vs val-chain
200,data,w200_data_s2,0,1250.5865624204944,1278.584155387307,220.56014786085143,True
200,data,w200_data_s0,1,1548.1368093798978,1489.6617681605449,219.401009078271,False
200,data,w200_data_s1,2,1576.8000884418284,1509.5978009622115,243.56559297928015,False
200,data,SPEARMAN,,1.0,0.5,0.5,columns: val-chain vs test-chain | one-step-val vs test-chain | one-step-val vs val-chain
