mode,seed,phase,outer,loss,wall_s
data,1,stall,0,0.003799519735358402,19.7
data,1,stall,1,0.001176543358057196,19.7
data,1,stall,2,0.000640101871612648,20.1
data,1,stall,3,0.0003842949730222029,19.7
data,1,stall,4,0.0002684334841914319,20.6
data,1,stall,5,0.00019760604406264903,20.5
data,1,stall,6,0.00015530320893967164,20.5
data,1,stall,7,0.00012744686439442065,20.3
data,1,stall,8,0.00010609482814255788,20.4
data,1,stall,9,8.903221286782962e-05,20.5
data,1,stall,10,7.571178703330515e-05,20.0
data,1,stall,11,6.514647313692191e-05,20.2
data,1,stall,12,5.687264951322782e-05,20.4
data,1,stall,13,5.024911293779784e-05,20.3
data,1,stall,14,4.493476124820432e-05,20.0
data,1,stall,15,4.04707850740117e-05,20.5
data,1,stall,16,3.6689532111407136e-05,20.3
data,1,stall,17,3.333238665236914e-05,20.2
data,1,stall,18,3.0473807573650098e-05,20.3
data,1,stall,19,2.80705049831632e-05,20.0
data,1,stall,20,2.5915258960190868e-05,20.3
data,1,stall,21,2.4001293418113922e-05,20.2
data,1,stall,22,2.2325208483378084e-05,20.4
data,1,stall,23,2.0815958706059008e-05,20.3
data,1,stall,24,1.941996621244161e-05,20.1
data,1,stall,25,1.8185995486610794e-05,19.9
data,1,stall,26,1.7113169741501566e-05,20.1
data,1,stall,27,1.6236614830371092e-05,20.6
data,1,stall,28,1.5433623482225937e-05,20.1
data,1,stall,29,1.4649940011364866e-05,20.1
data,1,stall,30,1.3969949152374878e-05,20.2
data,1,stall,31,1.3319799728753005e-05,20.2
data,1,stall,32,1.2695800037651529e-05,20.1
data,1,stall,33,1.212412674492595e-05,20.3
data,1,stall,34,1.1576087942735982e-05,20.5
data,1,stall,35,1.1089268448129415e-05,20.8
data,1,stall,36,1.064802439267331e-05,20.5
data,1,stall,37,1.0216145466208308e-05,20.2
data,1,stall,38,9.830469389186632e-06,20.1
data,1,stall,39,9.465250858730176e-06,20.4
data,1,stall,40,9.126059039759444e-06,20.0
data,1,stall,41,8.808646191426783e-06,21.3
data,1,stall,42,8.494154349187506e-06,21.2
data,1,stall,43,8.193431164738205e-06,20.6
data,1,stall,44,7.915329050945274e-06,20.1
data,1,stall,45,7.651932693882771e-06,20.1
data,1,stall,46,7.4131231171732124e-06,21.0
data,1,stall,47,7.177256937955655e-06,21.3
data,1,stall,48,6.945070681449068e-06,20.6
data,1,stall,49,6.727335120408487e-06,20.3
data,1,stall,50,6.522995660402128e-06,20.3
data,1,stall,51,6.3313964986034515e-06,21.3
data,1,stall,52,6.148496247899288e-06,20.5
data,1,stall,53,5.971678480605403e-06,20.3
data,1,stall,54,5.804623487800076e-06,20.4
data,1,stall,55,5.643224951045314e-06,20.5
data,1,stall,56,5.491384102907394e-06,20.4
data,1,stall,57,5.3436697130867064e-06,20.6
data,1,stall,58,5.204386035951036e-06,20.3
data,1,stall,59,5.07193785571921e-06,20.2
data,1,stall,60,4.946279934488223e-06,20.5
data,1,stall,61,4.823343572024174e-06,19.9
data,1,stall,62,4.711697839162216e-06,20.3
data,1,stall,63,4.5993165769547215e-06,20.7
data,1,stall,64,4.4939802497784854e-06,20.6
data,1,stall,65,4.395190481602438e-06,20.3
data,1,stall,66,4.302659595416767e-06,20.4
data,1,stall,67,4.212490618875673e-06,20.1
data,1,stall,68,4.128283381138319e-06,20.2
data,1,stall,69,4.044003983016884e-06,19.8
data,1,stall,70,3.958409688109329e-06,20.5
data,1,stall,71,3.88197289001429e-06,21.4
data,1,stall,72,3.8069213440574007e-06,20.9
data,1,stall,73,3.7345423661696664e-06,20.4
data,1,stall,74,3.6612906164053623e-06,20.5
data,1,stall,75,3.5957610504324386e-06,21.8
data,1,stall,76,3.528593192658019e-06,21.1
data,1,stall,77,3.4656936066329217e-06,21.0
data,1,stall,78,3.405902208766689e-06,21.0
data,1,stall,79,3.3495989135658894e-06,22.3
data,1,stall,80,3.293917317899597e-06,21.3
data,1,stall,81,3.23508198294238e-06,20.9
data,1,stall,82,3.1802420874841e-06,22.3
data,1,stall,83,3.1268307325403536e-06,21.5
data,1,stall,84,3.0766000429386678e-06,21.3
data,1,stall,85,3.0319540094448205e-06,21.7
data,1,stall,86,2.990069299012592e-06,23.2
data,1,stall,87,2.951862171204458e-06,22.5
data,1,stall,88,2.910447012179908e-06,21.5
data,1,stall,89,2.867682446856644e-06,22.7
data,1,stall,90,2.8282857518111083e-06,23.4
data,1,stall,91,2.8029040314175663e-06,23.3
data,1,stall,92,2.8002527884989206e-06,23.9
data,1,confirm,93,2.799914470201934e-06,22.9
data,1,confirm,94,2.7996410688808323e-06,22.2
