mode,seed,phase,outer,loss,wall_s
physics,9,stall,0,0.0003125172239501423,17.2
physics,9,stall,1,0.00012544013870207285,15.7
physics,9,stall,2,8.481154482186899e-05,17.1
physics,9,stall,3,6.576834963259971e-05,16.1
physics,9,stall,4,5.0694041056953714e-05,16.4
physics,9,stall,5,3.793984183441577e-05,16.4
physics,9,stall,6,2.978191270757152e-05,15.5
physics,9,stall,7,2.5074702385082277e-05,16.5
physics,9,stall,8,2.124267411268561e-05,16.1
physics,9,stall,9,1.8144120450358134e-05,16.9
physics,9,stall,10,1.5798246915324636e-05,16.1
physics,9,stall,11,1.4048128299386792e-05,16.0
physics,9,stall,12,1.2639286369457321e-05,16.4
physics,9,stall,13,1.1389631315923943e-05,15.9
physics,9,stall,14,1.0253080509687116e-05,17.1
physics,9,stall,15,9.313310714396782e-06,16.5
physics,9,stall,16,8.42350289147905e-06,16.7
physics,9,stall,17,7.7168932856584e-06,16.4
physics,9,stall,18,7.145403254852185e-06,16.5
physics,9,stall,19,6.597160896845718e-06,17.1
physics,9,stall,20,6.111200208941934e-06,16.6
physics,9,stall,21,5.66589003067946e-06,17.3
physics,9,stall,22,5.297116477991234e-06,15.6
physics,9,stall,23,4.933669159098095e-06,16.1
physics,9,stall,24,4.598208598180977e-06,16.2
physics,9,stall,25,4.317870823581067e-06,16.0
physics,9,stall,26,4.082079716660361e-06,16.8
physics,9,stall,27,3.8629386976159615e-06,15.6
physics,9,stall,28,3.6364861011015674e-06,16.5
physics,9,stall,29,3.4465676448491434e-06,16.9
physics,9,stall,30,3.257163701873186e-06,16.7
physics,9,stall,31,3.0943383591393455e-06,16.4
physics,9,stall,32,2.9495298425567488e-06,15.8
physics,9,stall,33,2.79451490040452e-06,17.0
physics,9,stall,34,2.656464924891721e-06,16.7
physics,9,stall,35,2.5288079951829597e-06,16.2
physics,9,stall,36,2.419282311314176e-06,16.4
physics,9,stall,37,2.3095325599742307e-06,16.4
physics,9,stall,38,2.207267680556248e-06,16.4
physics,9,stall,39,2.1135989196463513e-06,16.4
physics,9,stall,40,2.028564329370161e-06,16.2
physics,9,stall,41,1.945684955943907e-06,16.3
physics,9,stall,42,1.8674527025938225e-06,17.0
physics,9,stall,43,1.7990235746570134e-06,16.8
physics,9,stall,44,1.7400158393663661e-06,17.1
physics,9,stall,45,1.6826071077046235e-06,17.0
physics,9,stall,46,1.6276062971538355e-06,17.7
physics,9,stall,47,1.5718640861488939e-06,17.7
physics,9,stall,48,1.5219595398804728e-06,17.6
physics,9,stall,49,1.4744603475214505e-06,17.4
physics,9,stall,50,1.4263221024589472e-06,19.3
physics,9,stall,51,1.3991741448983374e-06,17.0
physics,9,stall,52,1.397741205889779e-06,15.8
physics,9,stall,53,1.3953013820203675e-06,19.6
physics,9,confirm,54,1.3948647806412276e-06,18.7
physics,9,confirm,55,1.3945271599534689e-06,19.5
