mode,seed,phase,outer,loss,wall_s
data,0,stall,0,0.01879007767505467,14.1
data,0,stall,1,0.009583913345527141,13.9
data,0,stall,2,0.0019397692324853522,14.0
data,0,stall,3,0.0012316087287788388,14.3
data,0,stall,4,0.0009499562619791917,14.2
data,0,stall,5,0.0007512789123389902,14.7
data,0,stall,6,0.0006143731828282826,14.4
data,0,stall,7,0.000539369967950703,14.5
data,0,stall,8,0.00048124270642139913,14.4
data,0,stall,9,0.0004312338114459658,14.3
data,0,stall,10,0.0003928242897120272,14.5
data,0,stall,11,0.00035905019119649524,14.4
data,0,stall,12,0.0003340498220123395,14.6
data,0,stall,13,0.0003120223523381591,15.0
data,0,stall,14,0.00029680595197588194,14.5
data,0,stall,15,0.00028209403306910153,14.7
data,0,stall,16,0.00026952646952629406,14.9
data,0,stall,17,0.00025914202515436526,14.7
data,0,stall,18,0.0002502975351107827,14.7
data,0,stall,19,0.00024030294567110107,15.0
data,0,stall,20,0.00023142651816782835,14.5
