mode,seed,phase,outer,loss,wall_s
physics,4,stall,0,0.018199843556898174,16.0
physics,4,stall,1,0.004009201746763724,15.3
physics,4,stall,2,0.0018415762147101862,15.3
physics,4,stall,3,0.0011119946815826994,15.3
physics,4,stall,4,0.0008611992540505334,15.5
physics,4,stall,5,0.0006915927989531121,15.7
physics,4,stall,6,0.0005700569113828376,15.9
physics,4,stall,7,0.0004905710821671824,15.6
physics,4,stall,8,0.00042818698291462843,16.1
physics,4,stall,9,0.0003745135133730709,15.7
physics,4,stall,10,0.00033981613547808063,15.6
physics,4,stall,11,0.00031036815833974815,15.8
physics,4,stall,12,0.00028863478316248887,15.6
physics,4,stall,13,0.00026947993454180883,15.8
physics,4,stall,14,0.00025370342684112194,16.4
physics,4,stall,15,0.00024162487266401764,16.0
physics,4,stall,16,0.00022986800875095758,16.5
physics,4,stall,17,0.00022031554354139292,16.1
