mode,seed,phase,outer,loss,wall_s
data,7,stall,0,0.0045472853353854615,17.5
data,7,stall,1,0.0011871381060278839,20.4
data,7,stall,2,0.000604123053111025,20.0
data,7,stall,3,0.0002963429296289806,19.5
data,7,stall,4,0.00016585251434555643,20.4
data,7,stall,5,0.0001083933250867988,20.1
data,7,stall,6,7.774793973912048e-05,21.8
data,7,stall,7,6.115339182638735e-05,20.4
data,7,stall,8,4.944592679118229e-05,19.9
data,7,stall,9,4.0812676076696764e-05,20.9
data,7,stall,10,3.450084134353202e-05,20.4
data,7,stall,11,2.9535605780836075e-05,19.6
data,7,stall,12,2.5659487662891703e-05,20.9
data,7,stall,13,2.241462437569009e-05,20.0
data,7,stall,14,1.9733963975311127e-05,20.9
data,7,stall,15,1.7314455766152856e-05,21.0
data,7,stall,16,1.5223398441920216e-05,19.8
data,7,stall,17,1.3740814670526616e-05,21.3
data,7,stall,18,1.2294064029982604e-05,19.8
data,7,stall,19,1.1018967291918266e-05,20.5
data,7,stall,20,9.945296803726026e-06,20.5
data,7,stall,21,8.955943684401266e-06,19.7
data,7,stall,22,8.063002450758337e-06,20.3
data,7,stall,23,7.312497999088657e-06,20.7
data,7,stall,24,6.71042279918872e-06,20.5
data,7,stall,25,6.12946879127648e-06,21.2
data,7,stall,26,5.654772719054796e-06,20.2
data,7,stall,27,5.23027548180692e-06,21.1
data,7,stall,28,4.842018887410088e-06,20.5
data,7,stall,29,4.508946369995215e-06,20.4
data,7,stall,30,4.208528665833387e-06,20.8
data,7,stall,31,3.9148955908377925e-06,20.5
data,7,stall,32,3.648039580362347e-06,20.4
data,7,stall,33,3.3869590729104513e-06,20.5
data,7,stall,34,3.1647987324649116e-06,20.4
data,7,stall,35,2.956701318117705e-06,20.4
data,7,stall,36,2.768273559013643e-06,21.2
data,7,stall,37,2.5883989961406814e-06,19.6
data,7,stall,38,2.4359426715663234e-06,19.2
data,7,stall,39,2.2999079354226075e-06,19.9
data,7,stall,40,2.160424831029853e-06,20.7
data,7,stall,41,2.0493925086781902e-06,20.3
data,7,stall,42,1.9470842468048933e-06,20.4
data,7,stall,43,1.849887224158413e-06,20.9
data,7,stall,44,1.7583413859437409e-06,20.2
data,7,stall,45,1.677993388818409e-06,21.0
data,7,stall,46,1.602742427088694e-06,19.9
data,7,stall,47,1.531038958448845e-06,21.7
data,7,stall,48,1.4655447976242567e-06,21.6
data,7,stall,49,1.4025906887851295e-06,21.2
data,7,stall,50,1.3693816253791308e-06,21.3
data,7,stall,51,1.3685583693053132e-06,19.8
data,7,stall,52,1.3679208052298786e-06,19.4
data,7,confirm,53,1.3678670515454014e-06,16.2
data,7,confirm,54,1.3678189440165408e-06,15.4
