mode,seed,phase,outer,loss,wall_s
physics,0,stall,0,0.004927638009365614,5.0
physics,0,stall,1,0.001687596551529771,5.1
physics,0,stall,2,0.0011884608954411036,5.2
physics,0,stall,3,0.0008762061243907331,5.4
physics,0,stall,4,0.0007016043477263732,5.5
physics,0,stall,5,0.0005842132250538246,5.4
physics,0,stall,6,0.0004896208497457269,5.3
physics,0,stall,7,0.0004032714142159516,5.1
physics,0,stall,8,0.00032995654627222213,5.3
physics,0,stall,9,0.0002745224636996508,5.3
physics,0,stall,10,0.00023619996137495946,5.4
physics,0,stall,11,0.0002050824700959294,5.3
physics,0,stall,12,0.00017897087365422194,5.4
physics,0,stall,13,0.0001599848378646402,5.1
physics,0,stall,14,0.0001460170519777371,5.2
physics,0,stall,15,0.00013528444416802362,5.3
physics,0,stall,16,0.00012527421776207826,5.4
physics,0,stall,17,0.00011720105300541452,5.4
physics,0,stall,18,0.00011045460423378166,5.4
physics,0,stall,19,0.00010400801531795866,5.3
physics,0,stall,20,9.868474564885438e-05,5.4
physics,0,stall,21,9.361830906259573e-05,5.3
physics,0,stall,22,8.938209129699376e-05,5.3
physics,0,stall,23,8.482837939981e-05,5.4
physics,0,stall,24,8.055638896831942e-05,5.5
physics,0,stall,25,7.685640151266835e-05,5.3
physics,0,stall,26,7.324062053535378e-05,5.3
physics,0,stall,27,7.022445730592425e-05,5.4
physics,0,stall,28,6.745493332746464e-05,5.4
physics,0,stall,29,6.49377273919836e-05,5.3
physics,0,stall,30,6.226596569630541e-05,5.3
physics,0,stall,31,5.978548461096545e-05,5.3
physics,0,stall,32,5.756704784723361e-05,5.2
physics,0,stall,33,5.5463227684455024e-05,5.2
physics,0,stall,34,5.369395578922594e-05,5.2
physics,0,stall,35,5.197739540668712e-05,5.3
physics,0,stall,36,5.054417132977922e-05,5.4
physics,0,stall,37,4.9087042481193645e-05,5.4
physics,0,stall,38,4.7802733231788797e-05,5.3
physics,0,stall,39,4.625313856943833e-05,5.4
physics,0,stall,40,4.500444572804808e-05,5.2
physics,0,stall,41,4.3750439390516626e-05,5.3
physics,0,stall,42,4.276647532170512e-05,5.6
physics,0,stall,43,4.1819047649157956e-05,5.3
physics,0,stall,44,4.0983217192348034e-05,5.4
physics,0,stall,45,4.011339620141159e-05,5.3
physics,0,stall,46,3.932208238507922e-05,5.2
physics,0,stall,47,3.858219170954294e-05,5.3
physics,0,stall,48,3.7961517764596e-05,5.5
physics,0,stall,49,3.728183937601799e-05,5.5
physics,0,stall,50,3.661418182433539e-05,5.5
physics,0,stall,51,3.596994421342136e-05,5.5
physics,0,stall,52,3.533474292566394e-05,5.2
physics,0,stall,53,3.478239402880646e-05,5.2
physics,0,stall,54,3.421530811772221e-05,5.2
physics,0,stall,55,3.3735497838766395e-05,5.3
physics,0,stall,56,3.313427000434507e-05,5.5
physics,0,stall,57,3.261155324171847e-05,5.3
physics,0,stall,58,3.2044647531958534e-05,5.3
physics,0,stall,59,3.157779791583298e-05,5.2
physics,0,stall,60,3.105266368474387e-05,5.1
physics,0,stall,61,3.053849012678174e-05,5.3
physics,0,stall,62,3.0034939707973223e-05,5.5
physics,0,stall,63,2.9517963330590542e-05,5.6
physics,0,stall,64,2.8973770694375572e-05,5.3
physics,0,stall,65,2.8501523465361695e-05,5.3
physics,0,stall,66,2.808081661569098e-05,5.3
physics,0,stall,67,2.763430433409508e-05,5.2
physics,0,stall,68,2.721218808232037e-05,5.3
physics,0,stall,69,2.6801356697329252e-05,5.5
physics,0,stall,70,2.6385219321886975e-05,5.4
physics,0,stall,71,2.600027602767249e-05,5.2
physics,0,stall,72,2.56093872821943e-05,5.3
physics,0,stall,73,2.5261762450934983e-05,5.2
physics,0,stall,74,2.493792782332104e-05,5.2
physics,0,stall,75,2.463368356430439e-05,5.3
physics,0,stall,76,2.427004186762224e-05,5.6
physics,0,stall,77,2.3972400117947228e-05,5.4
physics,0,stall,78,2.3649325991983824e-05,5.3
physics,0,stall,79,2.333586914694029e-05,5.2
physics,0,stall,80,2.303498666361235e-05,5.2
physics,0,stall,81,2.273136439770551e-05,5.3
physics,0,stall,82,2.2476155425830605e-05,5.3
physics,0,stall,83,2.2185850354991793e-05,5.3
