mode,seed,outer,loss,wall_s
data,2,0,0.00706516749046035,20.2
data,2,1,0.0041354582836308695,13.2
data,2,2,0.0026252435260644847,13.6
data,2,3,0.001448494923117554,9.9
data,2,4,0.0009840278115758518,9.9
data,2,5,0.0007469313835520667,9.8
data,2,6,0.0005426697937583883,7.2
data,2,7,0.00040573978793473635,7.8
data,2,8,0.00031837941916665086,6.3
data,2,9,0.0002615199012340918,8.4
data,2,10,0.00022118185427308904,10.6
data,2,11,0.0001924492757963861,8.3
data,2,12,0.0001705820940467769,10.8
data,2,13,0.00015169150111764222,8.7
data,2,14,0.00013692048866381306,8.8
data,2,15,0.00012437838005233554,7.9
data,2,16,0.00011406627814171713,8.0
data,2,17,0.00010531309316964539,7.7
data,2,18,9.825640113930228e-05,9.4
data,2,19,9.192255058521667e-05,10.2
data,2,20,8.614200273873172e-05,8.0
data,2,21,8.088405805611602e-05,8.8
data,2,22,7.62427003709858e-05,5.4
data,2,23,7.231919518913208e-05,8.9
data,2,24,6.888014107224292e-05,10.7
data,2,25,6.564301234820808e-05,8.4
data,2,26,6.295938171807866e-05,10.3
data,2,27,5.9611677982516756e-05,12.4
data,2,28,5.709173015730882e-05,8.2
data,2,29,5.460991383027123e-05,7.5
data,2,30,5.2286409930477076e-05,8.4
data,2,31,5.013052764006588e-05,11.3
data,2,32,4.811986754685585e-05,8.5
data,2,33,4.627348163207229e-05,10.0
data,2,34,4.445548660253139e-05,9.3
data,2,35,4.27427307992197e-05,7.2
data,2,36,4.086124248185235e-05,5.6
data,2,37,3.9173636244172526e-05,11.3
data,2,38,3.754779966130635e-05,9.5
data,2,39,3.625900183646392e-05,10.4
data,2,40,3.4986264470113906e-05,11.1
data,2,41,3.36996873420121e-05,8.5
data,2,42,3.2401791892234414e-05,8.1
data,2,43,3.1274448562496906e-05,9.1
data,2,44,3.0250244491137388e-05,6.8
data,2,45,2.919303513050123e-05,8.1
data,2,46,2.8198530976330866e-05,8.9
data,2,47,2.723933544201792e-05,6.0
data,2,48,2.644793592224042e-05,9.1
data,2,49,2.56118055396891e-05,12.2
data,2,50,2.4901281015939056e-05,7.4
data,2,51,2.4146493882528582e-05,9.6
data,2,52,2.335307122569338e-05,8.1
data,2,53,2.2690434250103234e-05,7.1
data,2,54,2.202258964953784e-05,9.0
data,2,55,2.13626409419207e-05,9.3
data,2,56,2.0662482512666083e-05,8.2
data,2,57,2.006873263626055e-05,8.9
data,2,58,1.949646033353859e-05,7.6
data,2,59,1.8929219491397023e-05,8.4
data,2,60,1.836362025791795e-05,12.4
data,2,61,1.7902853012413585e-05,10.0
data,2,62,1.7420989786898458e-05,14.2
data,2,63,1.697838929597493e-05,9.0
data,2,64,1.6495797405029306e-05,11.0
data,2,65,1.6019498336222548e-05,12.2
data,2,66,1.5579737718504043e-05,9.3
data,2,67,1.5198529446148136e-05,11.6
data,2,68,1.4816695983835727e-05,10.1
data,2,69,1.4433165168050109e-05,12.4
data,2,70,1.3984941369070782e-05,11.2
data,2,71,1.3610451878930567e-05,9.9
data,2,72,1.3240354988156572e-05,10.3
data,2,73,1.2883798867455614e-05,9.9
data,2,74,1.252595035303426e-05,9.2
data,2,75,1.2202889402470813e-05,8.2
data,2,76,1.1886017704752584e-05,7.9
data,2,77,1.1575939577912606e-05,8.5
data,2,78,1.1274271124155413e-05,11.0
data,2,79,1.1027415704752911e-05,7.8
data,2,80,1.0750507237998481e-05,10.3
data,2,81,1.047552088411555e-05,8.5
data,2,82,1.0210823480108136e-05,7.9
data,2,83,9.981695641790441e-06,8.1
data,2,84,9.757334309312524e-06,6.6
data,2,85,9.558161404722958e-06,10.7
data,2,86,9.34446487634733e-06,8.7
data,2,87,9.147555639076656e-06,7.7
data,2,88,8.958644222088184e-06,6.4
data,2,89,8.741403296247816e-06,8.6
data,2,90,8.549376163355961e-06,11.0
data,2,91,8.344000532272248e-06,8.0
data,2,92,8.163746862888127e-06,10.1
data,2,93,7.997444126448439e-06,8.9
data,2,94,7.840344829258719e-06,7.4
data,2,95,7.673976161455765e-06,11.3
data,2,96,7.499644867367826e-06,12.5
data,2,97,7.3518905724769405e-06,11.3
data,2,98,7.209759682416679e-06,11.9
data,2,99,7.0721105785257996e-06,9.1
data,2,100,6.942439650898933e-06,10.8
data,2,101,6.811145041089287e-06,8.2
data,2,102,6.681998089954718e-06,9.2
data,2,103,6.552937880529336e-06,8.4
data,2,104,6.443629597711181e-06,6.8
data,2,105,6.3279932938877375e-06,6.6
data,2,106,6.213331439235944e-06,5.7
data,2,107,6.101728947973374e-06,8.8
data,2,108,6.004198977542653e-06,8.7
data,2,109,5.905727842834719e-06,5.8
data,2,110,5.813289597052912e-06,3.8
data,2,111,5.772536809091391e-06,4.0
data,2,112,5.771294434769303e-06,6.7
data,2,113,5.771185336695561e-06,7.9
data,2,114,5.771092624391821e-06,7.9
