mode,seed,phase,outer,loss,wall_s
data,2,stall,0,0.004963830778402047,4.2
data,2,stall,1,0.0020186961789457744,4.5
data,2,stall,2,0.0007587036943825718,4.6
data,2,stall,3,0.00043265103183206795,4.6
data,2,stall,4,0.0002825210540795937,4.6
data,2,stall,5,0.00020909358924834428,4.6
data,2,stall,6,0.00017324593092915845,4.7
data,2,stall,7,0.0001436300659805611,4.7
data,2,stall,8,0.00012265026507606123,4.6
data,2,stall,9,0.00010476672664998195,4.6
data,2,stall,10,9.299877043841804e-05,4.7
data,2,stall,11,8.335069051557517e-05,4.7
data,2,stall,12,7.422249425750533e-05,4.7
data,2,stall,13,6.695366663701116e-05,4.7
data,2,stall,14,5.93968150086896e-05,4.6
data,2,stall,15,5.403358983863001e-05,4.7
data,2,stall,16,4.942038270402152e-05,4.7
data,2,stall,17,4.558019098226041e-05,4.7
data,2,stall,18,4.174390934601219e-05,4.7
data,2,stall,19,3.8301965287725e-05,4.7
data,2,stall,20,3.560403667390295e-05,4.7
data,2,stall,21,3.281482072600943e-05,4.9
data,2,stall,22,3.0819425193624495e-05,4.7
data,2,stall,23,2.8981462106941226e-05,4.8
data,2,stall,24,2.7442957441909442e-05,4.7
data,2,stall,25,2.5907113815607896e-05,4.8
data,2,stall,26,2.4362292279112928e-05,4.7
data,2,stall,27,2.309126843110068e-05,4.8
data,2,stall,28,2.1916027840601394e-05,4.7
data,2,stall,29,2.0763332208095977e-05,4.7
data,2,stall,30,1.9745409901437962e-05,4.7
data,2,stall,31,1.875324385576274e-05,4.7
data,2,stall,32,1.7820003379480085e-05,4.8
data,2,stall,33,1.707670966786561e-05,4.7
data,2,stall,34,1.625717992018178e-05,4.9
data,2,stall,35,1.5498963936592316e-05,4.8
data,2,stall,36,1.474821527460345e-05,4.7
data,2,stall,37,1.406136003023559e-05,4.8
data,2,stall,38,1.3436139693427515e-05,4.7
data,2,stall,39,1.288548731476062e-05,4.7
data,2,stall,40,1.2408373658897532e-05,4.8
data,2,stall,41,1.192883439826677e-05,4.7
data,2,stall,42,1.1477740057705556e-05,4.8
data,2,stall,43,1.1097804720826961e-05,4.7
data,2,stall,44,1.0684517038818143e-05,4.8
data,2,stall,45,1.0319770533250746e-05,4.7
data,2,stall,46,1.0001495720898791e-05,4.7
data,2,stall,47,9.70862967515932e-06,4.6
data,2,stall,48,9.419773914361972e-06,4.6
data,2,stall,49,9.099148539647801e-06,4.7
data,2,stall,50,8.803396613378568e-06,4.6
data,2,stall,51,8.546232060544938e-06,4.7
data,2,stall,52,8.33562874654186e-06,4.7
data,2,stall,53,8.101036417400382e-06,4.7
data,2,stall,54,7.880152863065382e-06,4.7
data,2,stall,55,7.688087629435353e-06,4.7
data,2,stall,56,7.509352513750938e-06,4.7
data,2,stall,57,7.31652227747797e-06,4.7
data,2,stall,58,7.129507434657733e-06,4.8
data,2,stall,59,6.97472624196279e-06,4.7
data,2,stall,60,6.821916449943113e-06,4.6
data,2,stall,61,6.669659112327759e-06,4.7
data,2,stall,62,6.534583330143486e-06,4.7
data,2,stall,63,6.388093439753581e-06,4.7
data,2,stall,64,6.276125036513981e-06,4.6
data,2,stall,65,6.151879574052746e-06,4.7
data,2,stall,66,6.029956378658258e-06,4.7
data,2,stall,67,5.9094205198838765e-06,4.8
data,2,stall,68,5.779728510323435e-06,4.8
data,2,stall,69,5.65658907296555e-06,4.8
data,2,stall,70,5.54965566612335e-06,4.9
data,2,stall,71,5.451943842764745e-06,4.8
data,2,stall,72,5.349235316552167e-06,4.8
data,2,stall,73,5.252290959826014e-06,4.8
data,2,stall,74,5.146027338143938e-06,4.7
data,2,stall,75,5.048345142531074e-06,4.8
data,2,stall,76,4.964149723047582e-06,4.7
data,2,stall,77,4.882758315138394e-06,4.8
data,2,stall,78,4.7980527455661575e-06,4.8
data,2,stall,79,4.711725509383629e-06,4.7
data,2,stall,80,4.625699656092942e-06,4.8
data,2,stall,81,4.617262771695158e-06,4.7
data,2,stall,82,4.615805743051772e-06,4.7
data,2,confirm,83,4.615681714712698e-06,3.8
data,2,confirm,84,4.615571801537237e-06,3.8
