mode,seed,phase,outer,loss,wall_s
physics,2,stall,0,0.005471081640493631,6.9
physics,2,stall,1,0.0028029671582283436,7.7
physics,2,stall,2,0.0015674417563883755,7.7
physics,2,stall,3,0.0012730477318493218,7.5
physics,2,stall,4,0.0011044730742629533,7.5
physics,2,stall,5,0.0009480744942943761,7.4
physics,2,stall,6,0.0008065274170097686,7.6
physics,2,stall,7,0.0006978698762812251,7.5
physics,2,stall,8,0.0006215762078578928,7.3
physics,2,stall,9,0.000554725712675902,7.4
physics,2,stall,10,0.0004979873587090365,7.5
physics,2,stall,11,0.0004580566534693856,7.6
physics,2,stall,12,0.00041934648866274776,7.3
physics,2,stall,13,0.0003778733443062071,7.9
physics,2,stall,14,0.00034126564687718023,7.8
physics,2,stall,15,0.00030764273972459436,7.4
physics,2,stall,16,0.0002807510356705064,7.3
physics,2,stall,17,0.0002562364565075095,7.3
physics,2,stall,18,0.00023597153086886403,7.1
physics,2,stall,19,0.0002155659810391561,7.4
physics,2,stall,20,0.0001972351931696668,7.2
physics,2,stall,21,0.00018000989462348336,7.3
physics,2,stall,22,0.00016563073381213305,7.4
physics,2,stall,23,0.000153200443888349,7.3
physics,2,stall,24,0.00014322544308449908,7.4
physics,2,stall,25,0.0001336496850467898,7.9
physics,2,stall,26,0.00012569578597247585,7.7
physics,2,stall,27,0.0001195036553019212,7.4
physics,2,stall,28,0.00011332096303841408,7.4
physics,2,stall,29,0.00010869869695067376,7.6
physics,2,stall,30,0.00010354965190478267,7.5
physics,2,stall,31,9.910085460417581e-05,7.5
physics,2,stall,32,9.524705183503476e-05,7.7
physics,2,stall,33,9.157486718321621e-05,7.7
physics,2,stall,34,8.809866982614095e-05,7.7
physics,2,stall,35,8.484133241522626e-05,7.3
physics,2,stall,36,8.205983267695384e-05,7.4
physics,2,stall,37,7.929642305732854e-05,8.0
physics,2,stall,38,7.662091695668722e-05,7.9
physics,2,stall,39,7.427540654643973e-05,7.4
physics,2,stall,40,7.177019678924683e-05,7.5
physics,2,stall,41,6.958773709298865e-05,7.7
physics,2,stall,42,6.757930100382654e-05,7.6
physics,2,stall,43,6.550894095809726e-05,7.5
physics,2,stall,44,6.37307466447447e-05,7.4
physics,2,stall,45,6.191372863128203e-05,7.7
physics,2,stall,46,6.0110835026400116e-05,7.8
physics,2,stall,47,5.839357263516873e-05,7.7
physics,2,stall,48,5.692206867337658e-05,7.5
physics,2,stall,49,5.5630934969071776e-05,7.3
