q,mode,seed,test_endpoint_med_um,test_endpoint_p95_um,test_stage_med_um,test_slope_med_mrad,test_rho_median,restarts,converged,wall_s,final_loss,val_endpoint_med_um,train_endpoint_med_um,straight_med_um,n_test,tag
2,data,0,174.1733532596612,3053.005445834173,278.4046420834727,0.05320146741566445,1.3755535938345237e-07,79,True,369.0,4.064733346389245e-06,188.68418590588476,176.81968509111812,520444.39568501245,2018,q02_data_s0
2,data,1,168.11319294731675,3149.531758460579,237.52085510342624,0.051277811674947486,1.527193310133805e-07,80,True,236.2,3.0937151733209323e-06,181.47022962557458,178.94063775494828,520444.39568501245,2018,q02_data_s1
2,data,2,222.514317869134,2760.6512445966546,316.77136078184276,0.05296356693629267,1.8014709689635293e-07,105,True,310.8,4.013600697757458e-06,236.55968194016452,230.61843183563724,520444.39568501245,2018,q02_data_s2
2,physics,0,5199.354994632433,38313.27217669082,16218.3495466652,4.640042118970733,8.007262555372778e-05,89,True,354.8,6.433288900035938e-06,5368.729264231377,5298.839971668983,520444.39568501245,2018,q02_physics_s0
2,physics,1,5202.036912544074,38565.35585700872,16182.00338460856,4.6026173390002345,8.161851701539609e-05,84,True,317.7,5.74431050689514e-06,5372.44593737745,5400.933949138051,520444.39568501245,2018,q02_physics_s1
2,physics,2,5218.390202543176,38653.22554041227,16180.56985553942,4.620038985698391,8.226901707786275e-05,99,True,625.3,5.423091152751615e-06,5365.185513662866,5323.47697585692,520444.39568501245,2018,q02_physics_s2
4,data,0,181.38709548225052,2534.6939784661377,258.11262664354115,0.05505727229424603,1.3639445111075455e-07,85,True,241.8,3.7888389318911586e-06,189.90342992333353,177.1961048054358,520444.33318492764,2018,q04_data_s0
4,data,1,156.7777995409898,2450.0239220553162,230.41725075631447,0.06040532995609384,1.1715634093996675e-07,95,True,271.2,3.45117137180824e-06,163.5130264853899,157.46549666403098,520444.33318492764,2018,q04_data_s1
4,data,2,181.00348525987897,2793.1366970319255,262.4450810229766,0.05282916770278298,1.7538429148199094e-07,85,True,398.4,4.615571801537237e-06,182.134198064972,177.63868683226747,520444.33318492764,2018,q04_data_s2
4,physics,0,5393.924818482099,54777.12384769166,5428.543814822245,1.6880715367865573,8.573720324508958e-05,154,True,1077.3,8.529312000940294e-06,5739.55098759157,5748.589741983607,520444.33318492764,2018,q04_physics_s0
4,physics,1,5371.003483586066,53470.78558467025,5360.260860178358,1.7150107427181016,8.890184898586942e-05,154,True,664.0,8.266177862928992e-06,5665.573871269857,5737.479272292859,520444.33318492764,2018,q04_physics_s1
4,physics,2,5351.759841274472,53229.88172619926,5351.719028935875,1.6690532913854335,8.884045239655056e-05,154,True,1050.7,6.895140300098405e-06,5652.683959879255,5633.213747897344,520444.33318492764,2018,q04_physics_s2
8,data,0,176.04395969757647,2532.5363413066743,240.64160865697204,0.05310043745083287,1.3645973109416004e-07,94,True,454.4,4.32705610897134e-06,188.19085223948662,180.46612354152813,520444.29371907085,2018,q08_data_s0
8,data,1,161.82156824369542,2761.5108355925477,249.84613422110158,0.053972315217223205,1.1880005017721103e-07,107,True,507.7,4.744713006106667e-06,169.53196002998538,163.33987038592568,520444.29371907085,2018,q08_data_s1
8,data,2,204.05219450848477,3135.1486937203613,282.45361139040705,0.06745226848258248,1.6884853374234307e-07,111,True,526.4,6.194921564049233e-06,210.26166238847566,203.80898175278617,520444.29371907085,2018,q08_data_s2
8,physics,0,180.94238081681624,4043.817705902699,246.54751277114428,0.06549471792153747,1.2865019811226533e-07,154,True,811.6,7.4688220883949164e-06,191.7974410654466,188.88386277222935,520444.29371907085,2018,q08_physics_s0
8,physics,1,164.66117008508263,3722.2913457832433,227.9812846431355,0.07444592296151735,1.1551926803918698e-07,154,True,1241.4,7.850304002436363e-06,171.1383913682738,173.5512832618724,520444.29371907085,2018,q08_physics_s1
8,physics,2,240.11563388236823,4376.3067277340915,303.69212910622423,0.07115036351940107,2.861944118439991e-07,154,True,1227.5,1.0682055270656933e-05,265.52151377581623,250.39595231771727,520444.29371907085,2018,q08_physics_s2
16,data,0,146.9180439711124,2443.832888795389,255.91197350984007,0.05997297675332247,1.1108006333071531e-07,123,True,666.1,5.028505249789976e-06,145.76729926073995,143.35296624460625,520444.31402346474,2018,q16_data_s0
16,data,1,176.0872152943982,2543.616020422255,264.3020741418738,0.06350315046163568,1.3384696226192108e-07,119,True,640.4,4.872772705393314e-06,186.9466824878927,170.85831405513474,520444.31402346474,2018,q16_data_s1
16,data,2,169.7020158902376,3017.3776958272497,262.0277688733381,0.06781810748371364,1.466973993396614e-07,123,True,682.1,5.99131842309837e-06,184.4384769201639,174.21562924141654,520444.31402346474,2018,q16_data_s2
16,physics,0,185.67983418824952,4236.832765952528,304.46326889472175,0.08717077795505944,1.691087840557002e-07,115,True,882.7,1.6359401056727986e-05,198.80541617203207,198.47408033729153,520444.31402346474,2018,q16_physics_s0
16,physics,1,187.44316646764503,4420.084517841577,306.0544394294915,0.11284914774382232,1.4757788959666125e-07,113,True,927.7,1.622477953612661e-05,192.07925153840222,197.89598272390663,520444.31402346474,2018,q16_physics_s1
16,physics,2,279.6035508091066,4403.3392647628725,415.1272910424595,0.12275623304356179,4.309731277210778e-07,113,True,871.1,2.2676009489230644e-05,300.2046683636763,287.619844185528,520444.31402346474,2018,q16_physics_s2
