arch,mode,q,stratum,forward_um,backward_um,backward_over_forward
2x128,physics,2,0.05-0.2 mm,1.4130591807770543e-05,1.4098986866883934e-05,0.997763367499638
2x128,physics,2,0.5-2 mm,0.0014205835014990953,0.0014748781591578108,1.038219969189717
2x128,physics,2,5-20 mm,0.13538896597253824,0.14995577246068592,1.1075922722617022
2x128,physics,2,50-200 mm,11.842498452807604,13.21841204617158,1.1161844013615028
2x128,physics,2,500-2000 mm,503.1507695025823,459.98355410732825,0.9142062021729006
2x128,physics,2,full crossing,5412.3422634414455,25324.53771564775,4.679034784386512
2x128,physics,4,0.05-0.2 mm,1.0496805202819814e-05,1.0692588148231152e-05,1.0186516698774921
2x128,physics,4,0.5-2 mm,0.0011639830788112704,0.001100495879313712,0.945456939492286
2x128,physics,4,5-20 mm,0.11994480277977004,0.12192964473456414,1.0165479613021537
2x128,physics,4,50-200 mm,12.299699257567909,15.355025191806426,1.2484065561488098
2x128,physics,4,500-2000 mm,485.97799197827385,477.68971890545583,0.9829451678684483
2x128,physics,4,full crossing,5064.945162034463,2930.0668249222213,0.5784992198701884
2x128,physics,6,0.05-0.2 mm,1.0105537739946158e-05,1.0355336144129978e-05,1.0247189620792165
2x128,physics,6,0.5-2 mm,0.0011310034437883587,0.0010563255727902288,0.9339720215634426
2x128,physics,6,5-20 mm,0.1119990222235856,0.10265486405458546,0.9165692879858698
2x128,physics,6,50-200 mm,12.918796486651729,9.513838305974076,0.7364337936435638
2x128,physics,6,500-2000 mm,446.80735543374084,505.42458536862256,1.131191282377119
2x128,physics,6,full crossing,1042.3444570784568,853.7845111104332,0.8191001595609475
2x128,physics,8,0.05-0.2 mm,1.1747204098355724e-05,1.2038881891385245e-05,1.0248295501284725
2x128,physics,8,0.5-2 mm,0.0012522684187388222,0.001252618119451654,1.0002792537986256
2x128,physics,8,5-20 mm,0.1283988525813129,0.12898039246422854,1.0045291672879038
2x128,physics,8,50-200 mm,10.182266917524885,15.050059866752008,1.4780657380773505
2x128,physics,8,500-2000 mm,448.2769642824138,472.86994609148536,1.0548611322208785
2x128,physics,8,full crossing,967.8075428452075,991.5589662619482,1.0245414737592509
2x128,physics,10,0.05-0.2 mm,1.2472128219087608e-05,1.229705048899632e-05,0.9859624815415747
2x128,physics,10,0.5-2 mm,0.0013303831067901228,0.0013028847547502664,0.9793305011920942
2x128,physics,10,5-20 mm,0.1291680438981757,0.13396436284018876,1.0371323958872833
2x128,physics,10,50-200 mm,12.931266550864962,14.76650320118722,1.141922420599976
2x128,physics,10,500-2000 mm,465.273311221722,465.76644141897594,1.0010598720910062
2x128,physics,10,full crossing,823.4206343778396,914.1816850425837,1.1102244064278537
2x128,physics,12,0.05-0.2 mm,1.0650410331436433e-05,1.0937462491256156e-05,1.026952216007344
2x128,physics,12,0.5-2 mm,0.0010767444678094762,0.0011217431179488813,1.0417913920012518
2x128,physics,12,5-20 mm,0.1143204057427738,0.11335820333613356,0.9915832838381868
2x128,physics,12,50-200 mm,10.58698595861074,11.264997511354125,1.0640419809182742
2x128,physics,12,500-2000 mm,474.5237298290732,470.2904069025742,0.9910787961478262
2x128,physics,12,full crossing,954.1135450906495,858.8865457902841,0.9001932214563436
2x128,physics,14,0.05-0.2 mm,1.188698206533445e-05,1.1624422313616378e-05,0.9779119922723056
2x128,physics,14,0.5-2 mm,0.0011444062977261638,0.0011284522756227489,0.9860591276584949
2x128,physics,14,5-20 mm,0.1266538735933409,0.11557523664151859,0.9125282422281572
2x128,physics,14,50-200 mm,11.403915091790395,14.85930296791338,1.3030001405929876
2x128,physics,14,500-2000 mm,477.86181660460693,479.2674635588901,1.002941534362948
2x128,physics,14,full crossing,960.6980077062417,1000.6769512496447,1.0416144753322187
2x128,physics,16,0.05-0.2 mm,1.334956323262304e-05,1.3506678442354314e-05,1.0117693146205204
2x128,physics,16,0.5-2 mm,0.0014420804035353285,0.0014388040625590293,0.9977280455595492
2x128,physics,16,5-20 mm,0.14138850227851663,0.14430580714908103,1.0206332539319054
2x128,physics,16,50-200 mm,13.839230432409977,18.543802755402794,1.3399446483653614
2x128,physics,16,500-2000 mm,472.6684352592514,479.66309492477603,1.0147982372922537
2x128,physics,16,full crossing,860.39582341391,863.4486382562443,1.0035481516288878
2x128,physics,18,0.05-0.2 mm,1.1378460840205662e-05,1.1415522749302909e-05,1.0032571988090242
